	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12
g47	36	217	143	92	218	139	14	385	778	129	283	308
g48	24	32	41	46	44	43	69	39	124	33	92	82
g49	1262	466	648	707	683	1155	1301	2212	3207	697	2658	2494
g50	21	17	13	6	7	19	26	26	22	26	29	35
g51	21508	22879	16859	10026	15444	20685	38422	61681	77757	83399	88546	85119
g52	1829	2201	534	983	1974	1534	1371	2336	1887	2565	3984	2696
g53	80	115	7	86	147	38	113	82	153	153	105	244
g54	13	24	22	12	38	24	33	4	131	25	36	81
g55	1	4	3	1	5	3	9	4	5	2	12	0
g56	4	7	2	9	3	6	16	16	10	18	18	17
g57	1984	1979	3752	2640	4768	1817	8289	9336	4283	7414	10115	8124
g58	2233	5785	4540	2792	8859	4736	5527	14634	9484	12879	19144	11521
g59	530	377	373	298	290	291	763	419	829	881	384	1257
g60	739	219	626	865	1345	623	1618	1555	3905	4672	2746	1888
g61	26	20	4	0	0	4	2	15	13	0	9	0
g62	442	561	459	301	434	587	502	1073	737	678	599	469
g63	1	0	0	7	2	0	1	13	0	12	10	0
g64	2150	2177	1026	1263	1630	2270	4543	4437	5395	5824	5070	7742
g65	224	412	190	289	82	144	231	218	718	580	543	470
g66	9	13	11	9	14	14	19	22	19	24	33	28
g67	185	1769	130	113	188	179	730	366	31	2148	720	2437
g68	1204	803	1463	1017	530	979	640	17	4385	1461	1275	294
g69	490	593	496	597	339	554	860	1383	1649	1146	1241	1713
g70	1	3	1	2	5	4	3	7	16	2	5	17
g71	3319	4919	2368	2255	1953	2644	2565	7181	14476	12436	17432	9109
g72	1054	1605	1380	1228	1992	1476	3879	4159	4406	2857	5489	5035
g73	140	173	199	107	226	116	332	583	397	474	801	433
g74	4	10	9	7	23	12	5	5	62	32	10	51
g75	28	64	16	10	22	17	1	1	218	151	8	3
g76	33	22	106	7	12	27	159	72	111	189	9	46
g77	894	1304	1113	679	972	870	4085	2724	4213	3205	2875	6333
g78	6837	5560	4944	5430	4884	6953	11296	6807	17515	6954	16623	16896
g79	633	348	519	382	439	494	583	1442	1943	1476	2686	1439
g80	10	10	7	4	26	7	4	42	20	57	22	44
g81	27	53	18	23	51	37	28	26	101	101	210	96
g82	3	11	6	1	0	8	0	65	3	35	8	80
g83	73	45	45	74	71	35	172	149	220	142	306	145
g84	895	963	940	909	700	868	1145	1329	1137	1540	1258	1436
g85	69	21	18	84	84	60	216	323	193	191	346	821
g86	524	1944	532	1182	373	1899	3244	3081	3156	1702	8659	9317
g87	0	3	0	1	12	4	0	6	43	2	92	16
g88	3	8	4	4	2	6	6	23	21	9	27	20
g89	51	87	41	65	72	90	326	210	246	181	186	220
g90	1100	1001	854	1198	1243	1135	3485	3633	3537	4397	6020	3125
g91	0	0	0	2	0	0	39	0	0	0	0	0
g92	1799	1115	2279	2104	1119	2079	3257	4033	4714	3517	5038	4548
g93	78	36	94	46	30	24	74	337	219	79	76	159
g94	62	93	63	65	54	43	56	136	25	60	68	59
g95	948	2797	1146	1557	2831	1622	1479	3043	2554	3447	4147	3548
g96	1316	909	1222	1096	1351	861	1675	1381	2919	1852	2193	2229
g97	20	13	24	21	12	15	58	26	37	53	138	64
g98	591	509	595	427	629	489	2853	2088	2831	3176	3986	3430
g99	37	30	35	39	10	58	38	58	30	55	182	50
g100	2329	9114	8089	16442	23311	3234	20233	7288	23054	12046	20716	29493
g101	99	342	88	314	223	429	485	731	664	699	316	774
g102	49	52	106	24	139	126	206	338	298	270	227	233
g103	106	180	122	165	91	55	315	280	195	450	243	319
g104	166	1078	721	1295	573	1386	1385	2730	3892	2712	230	1674
g105	4	10	17	4	8	16	27	37	32	30	50	16
g106	462	691	508	699	681	568	818	775	1053	804	1808	1572
g107	8	4	3	0	0	0	4	2	0	0	3	59
g108	91	192	100	101	96	118	167	181	134	182	298	195
g109	446	112	229	101	298	588	494	927	1264	652	1039	1073
g110	727	648	694	399	963	843	1809	2217	2232	2193	3291	1491
g111	12	68	115	53	143	48	37	171	175	103	230	49
g112	26	1	3	4	37	8	57	15	4	59	128	0
g113	27	22	15	9	19	7	13	28	46	96	25	13
g114	0	18	21	5	4	16	10	15	31	12	9	24
g115	474	558	427	441	693	469	481	604	924	849	1024	1061
g116	8	21	5	1	11	15	19	3	97	10	70	21
g117	6	13	9	8	5	3	19	8	21	17	24	30
g118	423	534	436	269	158	537	1159	948	3017	2044	2407	1455
g119	39	6	60	73	76	54	83	10	14	36	211	98
g120	38	133	84	89	17	81	372	36	6	171	430	62
g121	74	43	44	90	72	34	76	67	66	150	164	225
g122	618	567	764	675	1038	1185	1910	2475	3659	2908	2690	3917
g123	254	115	114	151	178	216	430	155	156	231	298	176
g124	1452	919	1417	1588	1415	1771	2952	1650	2878	2715	4129	3991
g125	25	25	9	13	15	21	73	64	69	72	123	85
g126	405	645	558	759	314	511	1006	1167	1251	1512	1217	1215
g127	2264	1502	1230	1266	989	1055	1343	1883	2037	3014	1307	4853
g128	8	16	3	11	14	15	56	32	18	26	24	45
g129	1	5	3	3	7	11	9	18	17	25	20	25
g130	804	935	737	487	1159	678	1606	1002	1254	1592	2496	1556
g131	2430	3415	1484	2519	3733	2990	5019	6334	6521	7044	6425	4861
g132	0	1	3	2	2	1	5	29	28	36	19	0
g133	2	2	3	10	0	3	0	6	2	0	6	3
g134	74	35	71	38	81	159	241	343	423	188	501	258
g135	756	1132	221	797	1119	738	982	2229	2120	1803	2222	1142
g136	950	1163	1001	915	1495	1319	2828	3250	4076	2914	5515	3324
g137	5342	10643	8320	4183	8014	2727	10107	11525	8040	9350	17731	17506
g138	4	18	6	9	18	8	30	18	7	19	15	5
g139	779	1027	960	846	1165	1010	1556	1650	1103	1938	2736	2158
g140	477	884	474	770	3363	1673	1356	175	2432	2669	1253	3043
g141	2	2	5	0	2	7	14	9	16	7	21	5
g142	979	739	547	478	576	620	890	1386	699	1178	1407	1267
g143	6	8	1	3	16	4	13	5	17	13	5	22
g144	1675	2562	1291	1553	1962	2377	4860	2618	2431	2675	3276	5248
g145	1	4	1	0	1	31	1	14	16	6	13	35
g146	263	473	231	311	203	419	1225	862	473	1258	942	1387
g147	41	84	179	36	60	81	170	22	71	116	201	18
g148	115	68	68	86	62	69	431	352	316	348	258	205
g149	58	17	0	3	23	0	24	44	156	37	81	13
g150	1266	1652	1436	1279	1889	1803	3477	3941	3744	3499	4612	4390
g151	2255	2667	1632	2155	1845	2342	6526	5840	8888	4609	8562	5568
g152	3	8	6	3	8	0	15	6	4	5	29	2
g153	0	1	14	12	8	7	23	6	2	0	48	24
g154	2217	1662	2518	3108	2539	3478	3409	7378	8171	4748	5138	8464
g155	2	12	6	0	2	9	41	30	29	3	1	23
g156	373	638	257	382	272	160	3279	640	1527	2976	1615	1791
g157	442	179	170	500	395	233	569	383	694	1373	633	716
g158	4519	3809	2877	3491	3443	3897	8426	10916	12628	11455	13293	11390
g159	608	422	581	1028	147	1583	750	1310	2185	628	1382	622
g160	260	292	300	119	414	378	261	335	380	350	299	949
g161	2	15	2	4	13	4	67	72	22	35	57	61
g162	67	139	0	192	20	7	3	83	0	53	299	81
g163	37	47	19	46	26	12	27	58	88	135	41	48
g164	741	570	895	646	915	647	1898	828	1629	1478	2099	2016
g165	1292	690	1134	620	685	964	1759	1396	1944	1241	2582	3411
g166	0	7	37	19	1	0	35	9	13	0	50	1
g167	137	130	149	147	323	141	299	162	370	459	334	357
g168	1305	1101	562	1050	1036	1336	2199	5965	4069	3772	7050	6282
g169	356	116	33	50	514	253	1091	36	191	168	303	583
g170	5	1	2	0	21	0	8	1	32	0	33	10
g171	74	64	7	211	63	93	216	269	162	564	522	242
g172	46	209	141	45	118	26	110	164	212	26	219	192
g173	484	1107	236	923	814	875	792	1900	991	734	1017	512
g174	945	820	633	757	858	739	2674	2960	3186	2836	4054	3749
g175	515	764	413	402	507	648	2245	1670	1810	1796	3313	2747
g176	15	7	16	2	0	17	0	106	3	11	0	2
g177	1942	897	1227	965	836	923	545	1274	1138	2048	1258	2151
g178	907	1309	1064	393	852	837	1124	1547	727	2452	2703	3036
g179	2	2	1	4	0	8	2	3	3	4	6	9
g180	0	2	1	1	1	6	7	4	2	1	0	9
g181	474	229	275	93	219	180	1535	1511	912	1362	2228	1931
g182	2437	3191	2336	1945	4469	3489	3794	4274	5962	3354	3394	6362
g183	11	5	5	7	5	12	31	61	61	15	8	33
g184	20	20	7	6	34	11	27	9	32	26	27	14
g185	32	5	11	7	32	34	19	65	94	45	37	14
g186	1160	2703	1110	2122	2182	1431	2865	2165	3216	3145	6485	3884
g187	105	9	104	332	2	539	359	228	0	161	279	1099
g188	457	620	550	630	723	571	2166	2575	2630	2281	2745	3001
g189	13	36	23	2	23	45	24	55	18	37	46	8
g190	148	290	287	457	642	344	585	659	955	675	567	1138
g191	3	22	10	7	43	5	26	97	41	7	55	7
g192	691	1766	668	907	1283	958	1338	1466	2252	1863	2935	2033
g193	599	672	706	608	1131	730	1000	977	1520	1638	1226	1097
g194	61	18	9	26	1	162	3	28	14	13	69	31
g195	49	4	5	36	4	15	56	14	61	35	104	89
g196	2938	4919	3577	4880	2493	3925	19158	11608	17162	17520	20708	9268
g197	509	313	153	685	662	884	2257	1293	1480	1668	2289	2832
g198	605	262	567	482	435	650	4760	6189	3445	2845	4895	4591
g199	61	65	71	88	63	85	147	271	207	235	362	202
g200	107	225	223	165	236	231	361	543	413	292	627	487
g201	2	6	2	17	13	2	48	10	5	1	46	27
g202	1686	680	1286	663	338	1318	2477	2368	4627	1923	520	5364
g203	63	100	173	156	104	134	283	285	245	117	434	127
g204	6	6	7	1	11	6	2	11	4	30	34	19
g205	2931	1868	2554	2788	2015	1708	8142	4367	6658	7677	9163	6481
g206	7	49	6	5	19	35	30	43	7	33	213	33
g207	1	0	2	5	3	5	6	11	4	4	9	12
g208	694	1077	114	526	331	1332	210	1187	3033	328	3613	2366
g209	88	451	104	312	149	263	211	266	271	288	712	395
g210	3	15	7	13	4	9	9	15	31	27	11	14
g211	817	1002	740	773	1129	1214	2377	2257	3129	2133	2832	2482
g212	22	9	0	0	7	3	45	18	21	1	115	21
g213	25	23	29	29	33	10	30	33	70	20	62	52
g214	120	152	145	194	120	121	290	148	217	117	275	215
g215	4669	7185	5409	6313	6824	8579	25096	19982	22184	19445	27760	21250
g216	632	623	600	519	525	672	1233	626	946	930	924	1234
g217	693	700	532	771	635	559	2018	1268	1653	2693	3394	1530
g218	3	11	4	11	6	17	22	37	6	33	18	19
g219	913	720	482	452	680	425	1419	1578	1805	2126	2029	2038
g220	41	74	42	36	46	22	57	25	72	57	239	151
g221	13	11	10	16	14	8	64	48	30	64	63	101
g222	706	1115	564	1161	1455	1017	1109	1835	1664	659	2291	2179
g223	6	8	13	4	16	12	21	11	15	16	14	21
g224	4	2	7	5	8	12	9	13	2	4	34	0
g225	55	30	31	23	73	36	67	133	116	80	297	243
g226	343	323	250	264	311	422	461	768	1138	398	1295	395
g227	84	65	70	71	128	131	221	246	289	124	481	220
g228	2152	2758	266	2251	137	1436	1152	1571	2186	890	1857	3273
g229	1995	4070	5665	5297	4880	4716	7146	7642	4681	8835	16051	10773
g230	55	65	77	22	63	100	82	148	203	42	104	248
g231	3697	3883	2118	3298	4757	3938	7497	4283	9973	5570	12534	14775
g232	87	635	385	82	373	451	1122	2345	33	288	1622	657
g233	10	26	41	17	18	36	119	149	205	320	111	186
g234	3	10	16	17	8	14	23	13	41	87	28	41
g235	9	7	2	8	0	0	0	2	4	0	0	0
g236	1226	1194	758	1460	1212	1277	2793	4210	3417	4320	5354	4214
g237	1491	1975	1683	1418	2127	3034	5478	4081	4259	6390	4873	5404
g238	8117	7409	5617	6764	6752	8300	11023	8451	20937	17440	17805	13738
g239	494	652	432	508	832	382	1966	2496	2999	1931	2967	2226
g240	1	1	0	0	1	0	0	2	0	3	0	0
g241	53	117	78	97	124	93	451	317	405	363	198	217
g242	257	85	160	259	436	179	277	390	412	394	381	258
g243	127	136	215	79	94	138	225	232	266	335	454	211
g244	882	425	382	424	777	820	1669	3868	1130	1398	2823	1671
g245	624	2212	485	1595	1315	660	4256	1010	1217	6228	6111	3869
g246	193	618	255	437	552	634	386	959	760	640	411	1558
g247	0	1	3	0	0	0	3	1	5	0	13	5
g248	1668	1805	2681	1568	1720	2117	2842	4352	3408	5281	6935	4810
g249	54	72	52	63	114	119	197	387	140	40	217	284
g250	4	5	3	0	13	6	3	1	3	5	2	30
g251	17	127	56	97	60	16	34	243	212	314	60	202
g252	2902	4151	5673	5827	8077	3763	7718	4840	6303	15097	9128	7243
g253	138	1059	621	415	507	592	5164	1368	1403	851	2956	3101
g254	6	5	5	5	0	1	3	17	5	16	16	10
g255	390	963	249	729	432	1060	829	579	1061	1065	1601	1073
g256	46	38	34	93	107	51	277	289	535	128	340	289
g257	43	5	80	6	12	93	80	267	15	35	208	46
g258	0	0	5	0	0	0	1	3	1	1	0	32
g259	85	111	74	106	82	108	275	280	150	373	295	362
g260	9	12	16	7	4	7	105	48	61	40	58	76
g261	98	37	93	98	155	25	376	1391	84	817	747	350
g262	0	0	1	5	5	6	1	2	0	9	33	33
g263	4193	8307	6996	5864	7537	7935	31475	38770	37149	26998	48232	29675
g264	1447	1783	781	868	1017	2220	2104	2745	3406	1734	3275	3888
g265	3	2	0	3	6	0	14	15	7	1	3	26
g266	134	182	91	150	100	384	387	1049	447	423	796	424
g267	145	50	80	58	71	109	266	253	120	216	364	187
g268	24	18	23	7	7	31	46	53	57	45	73	57
g269	12	115	14	66	5	21	2	27	27	53	36	29
g270	63	106	83	73	69	98	80	188	231	172	133	162
g271	1819	2159	2197	1033	1646	1364	2302	3980	1677	2878	4303	5403
g272	965	1432	1217	1191	1652	1646	2048	2358	3571	2494	5763	5269
g273	2	17	0	1	13	90	149	6	91	60	11	11
g274	7	2	0	2	0	0	0	1	46	1	0	0
g275	71	43	65	43	50	74	147	153	98	153	189	239
g276	1	1	0	4	0	4	11	6	10	9	10	9
g277	8	8	18	6	22	10	6	15	5	69	25	39
g278	1256	2328	2167	1994	3241	1761	3974	4089	3233	5188	4183	5955
g279	8	9	8	8	11	14	16	10	28	28	21	27
g280	1319	852	828	1178	1109	1100	5041	3161	3995	4441	2920	4834
g281	230	169	157	178	75	205	217	377	506	899	936	395
g282	2729	3234	2263	5687	762	957	7407	15146	1445	1421	4851	8859
g283	11	7	7	11	13	29	26	52	41	31	37	87
g284	0	8	8	0	11	1	37	24	1	18	11	0
g285	0	2	5	4	10	1	9	22	25	46	1	2
g286	8	0	18	1	4	5	7	5	6	23	6	10
g287	682	728	634	554	843	554	1025	1121	1844	1357	1379	1493
g288	45	43	53	39	69	44	205	234	182	148	382	281
g289	430	723	630	1812	397	103	2505	2114	1087	1479	2007	1199
g290	24	70	27	56	47	114	383	96	213	385	198	774
g291	3	3	0	2	3	1	16	14	9	1	0	4
g292	87	177	63	76	121	62	197	165	293	253	347	355
g293	0	37	0	19	21	2	85	29	5	3	20	13
g294	1911	999	905	577	2003	2321	4794	3970	1046	3298	3375	2068
g295	47	46	26	66	51	16	58	281	308	299	73	173
g296	4361	4737	5017	6492	6369	5664	16006	30449	18084	15813	29216	24282
g297	23	4	8	1	7	2	13	6	9	26	10	11
g298	20	4	1	6	17	3	20	6	12	13	34	27
g299	37	37	8	31	33	29	32	99	65	94	52	90
g300	280	329	319	452	310	282	447	308	166	635	335	1096
g301	72	118	47	65	119	103	212	200	140	185	300	460
g302	666	342	305	401	579	776	1557	1625	2014	1069	2387	2602
g303	69	69	85	65	103	83	153	171	164	199	242	210
g304	286	715	322	389	198	251	364	712	1265	1130	950	1199
g305	2	3	5	6	12	2	6	1	6	8	13	3
g306	26	31	51	36	25	28	141	114	164	14	22	353
g307	223	113	25	103	98	52	203	146	222	137	181	413
g308	1005	749	672	497	572	442	2290	1884	3063	2502	2032	4948
g309	2009	2398	2170	1704	2005	2043	2769	4131	4460	3546	5147	5860
g310	2	4	2	3	0	1	18	18	2	15	7	9
g311	1799	2810	4739	5581	2477	2259	12133	13597	8461	23619	22554	11706
g312	0	2	0	0	0	1	2	32	13	6	41	7
g313	11329	16218	32916	13923	16214	13493	24333	25805	16260	16167	37593	16654
g314	3908	6901	5070	5917	5454	8258	10837	12257	16318	12454	12014	17928
g315	50	36	61	7	68	43	81	408	321	357	568	554
g316	134	143	107	96	132	173	155	270	301	210	299	356
g317	21444	30099	18745	26696	32126	36719	106002	95265	85352	91515	175501	76748
g318	944	1102	1153	1156	1218	1152	6734	5840	6847	9754	9429	10264
g319	0	0	10	0	39	5	81	92	0	0	0	1
g320	0	0	2	5	0	0	0	0	0	3	0	16
g321	190	117	184	224	208	187	373	559	506	367	970	342
g322	14	13	8	7	6	8	39	28	43	38	74	46
g323	946	1652	1088	2376	1390	788	2258	2613	3533	3856	4627	2321
g324	1250	1374	1326	1074	1235	1236	3204	2675	5036	2766	2389	2761
g325	322	897	869	507	478	966	1747	1268	1454	1676	1295	1197
g326	21	3	1	5	16	15	101	0	140	12	17	19
g327	21	26	31	35	40	42	37	55	126	70	136	114
g328	5	6	0	2	2	0	14	9	4	4	5	8
g329	4	0	5	3	3	0	2	9	5	2	5	3
g330	2694	2999	3023	3670	1507	1120	5811	4373	9329	15071	24242	7515
g331	2	11	4	2	5	14	15	16	21	5	32	24
g332	19055	12298	9416	17070	6875	10881	9086	19253	14258	13550	42367	15333
g333	3	7	2	3	4	5	1	4	22	6	26	0
g334	59	8	18	7	29	21	30	31	171	25	34	34
g335	3	0	4	3	1	0	20	9	5	2	6	6
g336	562	744	905	517	995	810	872	1718	1636	1511	1621	1227
g337	133	82	82	13	16	46	97	31	23	168	41	39
g338	761	1076	1398	964	1156	2054	1424	2027	5797	1330	2272	1436
g339	1672	1736	1615	3208	1499	2706	3022	2336	3972	2756	3808	4079
g340	323	388	358	314	352	384	772	690	781	825	945	762
g341	50	121	75	73	79	61	247	166	254	192	282	375
g342	197	183	57	45	71	106	323	342	719	137	600	547
g343	105	215	188	170	215	239	452	441	489	444	483	549
g344	90	66	53	99	83	81	92	127	104	144	145	144
g345	125	104	137	148	134	217	184	320	259	289	198	152
g346	1370	2136	2025	1780	3144	3590	1891	1437	1672	4855	4514	1911
g347	189	300	166	162	234	224	764	581	509	755	890	828
g348	514	713	1667	1369	1550	1290	5861	2428	2934	2649	5472	1605
g349	75	43	29	65	67	44	179	169	228	293	269	274
g350	5177	4534	4352	8927	8239	7277	16019	12785	11267	16295	15771	11877
g351	4	8	1	4	4	4	15	15	15	9	24	16
g352	671	168	384	75	157	485	534	758	689	103	305	77
g353	11	8	3	1	7	4	13	10	8	28	18	4
g354	343	395	408	292	502	610	696	1111	832	920	1620	988
g355	3915	3326	3020	2926	3967	3181	11583	13918	11862	11165	18006	12527
g356	240	183	71	52	145	121	207	116	173	175	148	182
g357	7102	5645	5072	6472	5752	5470	8327	10696	9864	10405	11676	8360
g358	1	17	1	0	3	20	14	1	11	4	181	35
g359	259	191	175	227	186	119	725	763	614	362	738	369
g360	836	1176	915	1181	1113	989	1440	1180	2003	2281	1844	1682
g361	1895	658	1375	1415	1898	1373	3572	2794	3282	4126	4648	3871
g362	8	14	8	4	5	15	11	17	3	14	26	4
g363	1232	1616	1504	815	1363	1928	3271	2390	3083	2075	5306	4233
g364	51	21	24	54	41	44	241	84	145	176	286	184
g365	29	33	48	53	35	74	49	152	110	104	86	268
g366	21	36	40	58	62	40	12	43	58	49	166	94
g367	2249	3245	4728	2265	3386	3002	4089	6514	5779	11597	4506	2387
g368	2	35	12	14	1	9	30	31	23	15	27	75
g369	117	89	15	132	132	90	44	127	60	152	97	161
g370	42	24	29	49	22	32	52	43	39	28	55	53
g371	609	702	432	755	557	927	3017	3830	2571	2758	4400	3998
g372	1528	750	1712	1244	1113	864	2603	2363	3556	2174	4108	2590
g373	516	929	294	1020	2146	398	965	409	1244	442	1184	1072
g374	129	28	20	6	56	43	10	37	0	156	49	13
g375	0	11	18	5	2	6	2	7	14	25	10	2
g376	7	11	2	5	4	7	10	2	2	8	15	26
g377	0	72	54	6	4	46	7	67	116	56	47	63
g378	5055	4366	3264	5526	3638	4435	5817	5288	9000	6405	8679	5615
g379	6014	5111	6097	5905	6252	3523	6979	10975	16086	14090	16892	9807
g380	7	111	4	9	26	2	122	99	19	41	60	143
g381	3	25	0	4	0	0	708	0	0	0	5	16
g382	660	746	625	934	639	445	1680	1242	857	1696	1497	2730
g383	26	49	40	33	35	37	97	59	59	59	66	154
g384	19	17	29	6	15	6	5	10	14	27	10	45
g385	12	4	12	3	12	11	60	18	32	37	19	17
g386	77	58	36	8	120	39	210	57	94	405	137	420
g387	22	54	11	13	28	98	122	13	148	33	60	40
g388	10	19	54	15	68	82	40	139	62	122	86	43
g389	15	19	24	13	15	49	18	23	21	63	134	1
g390	4	25	1	13	2	28	28	0	0	7	3	55
g391	34	86	88	71	37	178	184	198	122	60	127	256
g392	1433	3586	1704	2137	3555	3153	12223	9600	16077	15675	23608	21364
g393	65	74	69	76	97	116	204	251	242	203	496	312
g394	132	137	158	168	123	130	527	638	326	578	613	658
g395	77	71	53	59	79	90	276	197	254	355	283	196
g396	217	253	121	137	237	114	362	244	373	403	514	389
g397	645	307	862	1312	445	382	2032	2102	997	1503	3045	2627
g398	892	1150	2091	879	1360	1395	1886	2149	1857	2155	2554	4347
g399	1090	892	1276	1465	1405	1577	3148	2744	2818	1833	3927	2171
g400	103	157	126	87	295	111	136	170	378	229	490	1459
g401	160	197	486	213	233	150	124	316	194	162	276	401
g402	159	161	205	194	123	225	216	366	252	396	405	465
g403	66	159	65	62	151	129	285	202	272	446	81	430
g404	173	76	108	170	238	70	299	252	947	573	262	458
g405	4	78	26	1	36	50	16	118	178	105	57	292
g406	338	365	469	378	451	360	419	615	495	467	575	406
g407	58	61	59	46	48	75	111	97	204	131	103	135
g408	22	13	5	11	19	17	41	4	58	17	55	36
g409	1332	1261	794	901	1237	530	1408	3000	1238	1774	3508	3535
g410	9	4	0	6	13	1	3	0	0	24	1	14
g411	10	0	4	7	22	18	11	28	19	1	8	6
g412	808	862	914	749	578	1343	1453	1973	2224	3008	1055	3316
g413	44	11	3	79	22	39	146	115	208	227	129	95
g414	0	5	1	1	1	2	2	1	5	0	28	35
g415	2542	2601	2172	2893	3295	1910	3345	3629	4436	4210	5493	5041
g416	29	48	12	28	17	16	31	20	2	16	11	56
g417	310	277	203	342	300	440	373	1687	129	1214	923	436
g418	0	0	0	0	0	0	0	0	4	51	0	0
g419	180	104	78	33	39	19	68	120	206	207	229	188
g420	94	298	89	205	35	74	168	110	246	203	358	167
g421	35	30	20	47	32	35	96	98	167	159	127	165
g422	9	0	2	0	0	3	4	1	4	15	2	7
g423	44	56	102	72	45	36	226	74	69	41	26	96
g424	391	312	250	444	348	566	1999	697	1252	468	660	1248
g425	376	512	269	630	828	450	1153	506	1025	471	662	424
g426	1	14	14	11	15	9	23	11	49	4	32	28
g427	79	40	107	101	276	123	177	336	513	148	628	224
g428	31	71	34	33	36	43	72	49	135	99	215	80
g429	411	282	404	321	469	302	1399	1212	1427	863	1416	2075
g430	4021	7979	2983	3889	1770	6895	8833	3368	7917	5789	5309	12715
g431	0	0	6	0	0	5	0	0	3	0	102	2
g432	332	278	382	413	310	377	488	880	1079	470	807	1045
g433	639	655	647	376	610	722	998	863	1544	806	2595	834
g434	244	132	472	218	245	277	107	118	102	155	338	335
g435	159	302	137	349	142	74	430	249	482	507	612	468
g436	631	714	420	610	682	656	2683	2192	3093	2938	3003	3243
g437	5	4	5	4	4	14	36	19	51	42	96	50
g438	81	87	87	126	98	136	159	396	481	455	179	298
g439	395	499	461	702	482	430	861	1529	1661	898	689	1892
g440	959	539	833	597	686	1538	1469	1023	697	1248	3992	2255
g441	117	91	42	93	77	97	126	333	211	191	182	170
g442	61	72	51	43	63	64	59	64	144	82	97	87
g443	100	64	22	97	120	79	44	132	209	137	97	80
g444	78	129	52	72	102	98	165	143	230	108	132	140
g445	319	333	326	464	349	391	514	551	969	477	958	740
g446	0	0	0	10	0	6	2	125	57	18	0	4
g447	2	6	1	0	3	6	5	14	2	11	12	8
g448	10	65	22	16	4	22	16	9	29	28	14	0
g449	994	2748	1588	2912	2283	2594	5775	5100	8832	6795	4883	8414
g450	113	132	82	189	103	86	103	185	175	136	191	179
g451	52	59	41	51	22	27	58	92	86	101	59	42
g452	1769	2030	1315	856	1310	674	2819	7506	7156	3498	5923	4033
g453	72	139	80	107	146	154	184	174	276	278	242	380
g454	12	4	6	3	9	5	5	14	17	14	10	10
g455	684	297	742	756	654	686	1223	320	1168	1333	3008	1049
g456	544	571	188	772	382	508	570	75	849	986	878	525
g457	3707	3316	3643	2330	3479	3774	4239	4436	6562	6296	6460	4241
g458	5167	5639	4245	5836	5680	5227	10091	10002	9661	14337	17901	18684
g459	126	154	343	410	111	424	339	441	205	160	985	1070
g460	14	6	37	0	15	4	7	17	16	11	23	6
