	sample1	sample2	sample3	sample4	sample5	sample6
g67	14	23	33	42	31	51
g68	47	36	148	110	97	136
g69	3	1	1	17	36	18
g70	485	255	1070	974	363	328
g71	367	264	634	1547	219	224
g72	80	31	73	104	26	89
g73	87	90	74	40	48	38
g74	74	79	117	100	58	95
g75	923	1011	573	899	972	1927
g76	145	28	131	215	78	431
g77	781	1029	922	2385	2331	3871
g78	7	3	4	7	6	6
g79	30	32	40	84	19	23
g80	19	20	33	21	246	167
g81	20	66	200	128	42	294
g82	2295	1760	2458	3960	3720	5517
g83	2265	1237	2074	4011	2072	3761
g84	3201	3192	3046	7126	5921	10658
g85	993	1728	1119	1165	1230	2521
g86	32	52	52	17	26	64
g87	1072	901	1165	2050	2527	4062
g88	22	26	6	100	127	64
g89	30	34	13	117	8	95
g90	13	7	4	38	26	18
g91	10	13	12	6	11	18
g92	17	20	9	45	41	56
g93	3702	5417	3395	7446	4402	6856
g94	5	11	2	2	4	4
g95	21	27	28	49	30	63
g96	127	23	390	390	168	518
g97	12	3	8	7	38	6
g98	1	4	6	10	18	21
g99	574	567	568	1845	1689	2002
g100	23	57	9	68	53	69
g101	15	1	8	15	0	77
g102	1397	344	1595	284	308	465
g103	298	373	438	363	136	375
g104	1788	1733	2110	3689	2261	2462
g105	20	11	9	92	31	21
g106	144	156	60	293	215	306
g107	243	235	146	68	483	507
g108	15	0	12	13	0	18
g109	1519	1451	940	1085	864	1809
g110	1780	2222	2280	2268	1845	2970
g111	2456	1631	2510	2999	2035	3337
g112	44	60	17	69	18	21
g113	321	422	305	353	271	478
g114	30	85	74	92	87	173
g115	465	1142	1112	5681	4609	6388
g116	2158	1295	971	4079	3966	3122
g117	33	175	105	26	2	153
g118	43	37	193	421	16	61
g119	9	5	5	12	7	9
g120	40	42	7	69	32	34
g121	34	96	99	52	9	44
g122	4	6	6	7	11	12
g123	14	69	62	207	74	98
g124	1080	2539	210	3799	5206	2261
g125	7	9	0	31	0	8
g126	2	1	7	0	0	2
g127	8	22	11	46	31	9
g128	7822	7947	7308	20172	13146	15058
g129	7632	8065	4235	6976	12756	4641
g130	2782	2831	2715	6884	7986	7646
g131	74	76	92	95	124	131
g132	1208	685	845	3033	1886	2894
g133	1675	2241	1832	8710	7230	8471
g134	1015	903	308	1049	783	998
g135	1551	1280	1837	2186	1740	2354
g136	2515	1957	2678	2122	2600	3812
g137	5	13	1	23	10	20
g138	380	290	318	504	803	1355
g139	2385	4674	1653	12674	6563	13353
g140	12	3	14	27	3	6
g141	772	682	828	944	488	1083
g142	4026	3632	2706	7451	5356	9955
g143	2367	1307	1532	2867	2354	4004
g144	1165	927	919	2060	1471	2439
g145	0	22	2	11	2	5
g146	952	564	601	1605	1141	3031
g147	150	302	190	458	48	319
g148	57	90	64	86	133	138
g149	67	212	347	465	398	1054
g150	112	62	75	189	147	197
g151	8308	11301	13314	23502	25289	21470
g152	177	32	32	37	179	356
g153	1823	1537	750	1089	474	3230
g154	374	38	253	553	591	176
g155	979	653	1043	2056	1393	2035
g156	11	3	2	5	9	12
g157	878	1775	1323	1753	1312	1227
g158	142	59	74	99	66	144
g159	1405	3933	648	965	2220	1405
g160	292	1143	275	2225	934	1283
g161	20	4	15	56	43	39
g162	18835	19395	19465	33708	54623	39513
g163	32	17	16	126	132	78
g164	1	8	12	5	32	32
g165	30	688	94	1459	1164	3021
g166	8166	6835	4191	8199	7835	9480
g167	4	1	0	38	0	31
g168	257	208	126	313	206	292
g169	21	40	11	29	25	17
g170	1	3	23	23	3	7
g171	204	73	175	251	154	176
g172	1505	2901	1414	2235	1215	2138
g173	18	0	16	0	18	2
g174	12	0	17	41	17	23
g175	72	44	29	142	140	323
g176	955	5232	3137	23270	3240	7561
g177	3	9	9	15	9	17
g178	10	7	5	8	7	22
g179	5099	2921	5753	7189	2642	4888
g180	577	561	592	834	811	1139
g181	177	133	172	271	134	209
g182	2925	3848	4670	7746	8473	5397
g183	85	6	66	77	0	80
g184	3693	3356	2455	16898	6058	6256
g185	404	350	619	1162	1043	1470
g186	13	3	7	50	78	34
g187	1110	907	655	758	512	1476
g188	568	686	548	4287	1506	2705
g189	467	575	428	406	373	652
g190	24	9	19	37	20	57
g191	725	889	576	817	728	753
g192	35	65	37	116	124	136
g193	1	8	18	10	6	15
g194	8	3	3	16	11	6
g195	47	19	31	21	41	74
g196	34	68	21	81	43	65
g197	786	913	663	1026	1066	1741
g198	0	10	7	147	80	16
g199	183	515	334	486	357	363
g200	60	45	54	34	25	48
g201	200	104	200	572	257	365
g202	68	65	142	105	100	163
g203	471	516	172	371	403	687
g204	254	87	179	272	289	354
g205	787	726	702	1295	1538	1911
g206	0	73	54	19	36	31
g207	160	214	330	404	311	534
g208	13	1	4	19	5	0
g209	142	79	92	89	111	61
g210	1363	2955	7633	5056	3857	12010
g211	7355	6980	5074	8455	4268	13971
g212	385	2111	816	910	1826	497
g213	41	49	5	148	62	73
g214	394	410	216	399	257	831
g215	263	504	225	219	367	128
g216	25	14	11	27	22	30
g217	0	1	4	36	0	1
g218	826	56	105	271	723	1780
g219	664	158	269	625	1030	1912
g220	1095	302	36	374	824	265
g221	27	8	22	43	10	43
g222	912	1092	613	952	1421	1414
g223	30	161	40	203	193	265
g224	80	46	46	80	93	93
g225	2800	3014	2235	1759	2683	3513
g226	2	1	6	2	6	0
g227	9890	8205	10852	25042	9766	23202
g228	282	375	406	564	495	723
g229	618	150	308	568	276	489
g230	5	18	3	13	10	1
g231	6277	11120	13254	10103	6504	22809
g232	868	364	763	1266	556	649
g233	140	47	53	253	81	292
g234	33	11	20	40	44	55
g235	748	388	370	3415	1022	2034
g236	9	32	5	8	4	7
g237	698	1026	866	1451	1018	1292
g238	7013	8923	6341	13540	10397	15280
g239	9824	10960	9041	14639	7627	14313
g240	9	4	2	57	16	44
g241	1596	288	570	397	404	55
g242	2	0	6	57	0	34
g243	2367	2915	2120	4529	8957	5993
g244	130	189	162	172	240	387
g245	67	105	176	419	164	196
g246	0	0	2	0	5	2
g247	1275	1019	990	1499	1174	1828
g248	197	197	136	326	254	467
g249	860	1917	1441	2641	2828	2797
g250	554	523	340	318	270	270
g251	49	39	42	54	48	32
g252	15	13	23	25	13	26
g253	15	10	16	6	2	10
g254	2630	1695	1188	6030	3279	5208
g255	92	77	108	256	154	223
g256	1398	54	893	391	1486	254
g257	43	9	44	12	36	26
g258	8	0	38	4	0	78
g259	146	214	162	577	312	527
g260	142	111	137	256	157	116
g261	2353	1764	1730	4842	3498	3211
g262	10868	9914	5696	12869	11352	17779
g263	22	22	15	27	8	63
g264	1888	1374	927	2796	1747	2845
g265	1708	2086	1801	4423	1884	2901
g266	44	170	120	73	178	117
g267	209	349	188	166	86	217
g268	1077	1392	3602	695	1032	3551
g269	255	332	253	489	457	748
g270	576	186	339	671	452	634
g271	2371	1861	2452	4241	3059	6712
g272	726	465	497	829	833	1361
g273	66	42	25	64	52	73
g274	22	3	37	44	55	0
g275	7104	5735	1706	5914	4785	11637
g276	21	20	51	158	44	110
g277	65	55	43	103	90	89
g278	2	1	6	3	6	7
g279	17	13	15	9	11	12
g280	128	93	91	76	88	105
g281	0	0	0	21	0	0
g282	206	334	103	492	978	614
g283	5	113	57	56	124	45
g284	105	8	20	75	312	127
g285	2	6	0	6	4	1
g286	0	8	0	28	2	0
g287	256	299	265	346	579	716
g288	242	380	562	1674	1426	3872
g289	80	78	43	96	60	116
g290	2990	2476	2162	5991	3327	4120
g291	262	290	103	151	60	191
g292	30	15	12	13	28	26
g293	1747	1464	1919	1835	1576	2141
g294	3	1	3	14	43	18
g295	3	6	0	25	36	22
g296	367	381	299	701	902	1248
g297	1290	465	955	777	1704	2925
g298	1763	3041	2276	5698	1622	5403
g299	949	1180	788	3173	1683	2327
g300	295	88	99	239	156	69
g301	13997	13550	9829	51494	29362	61584
g302	31	27	12	189	67	190
g303	13	65	20	8	0	3
g304	667	802	558	864	912	1232
g305	14	41	45	56	145	53
g306	15	0	9	14	3	13
g307	1546	649	760	1855	2229	4405
g308	1264	733	268	1377	3664	1654
g309	4	2	2	10	8	11
g310	44	79	45	166	138	108
g311	900	1005	594	996	1054	1645
g312	1731	1901	2702	4654	3146	2157
g313	246	247	395	1280	1389	583
g314	7962	4787	2487	6353	5314	4817
g315	560	484	600	917	818	1458
g316	7288	2015	2392	6869	4965	6375
g317	343	219	298	536	222	511
g318	176	135	162	294	209	423
g319	432	141	384	373	182	347
g320	45	75	95	112	135	100
g321	1731	1326	1259	4194	3728	4815
g322	40	37	54	25	41	134
g323	6	6	1	3	16	8
g324	2657	576	1412	2536	2973	5345
g325	185	143	255	191	74	477
g326	78	863	1432	1399	842	231
g327	1	29	102	10	33	42
g328	4	4	6	1	7	13
g329	0	7	15	22	56	45
g330	3075	4764	2611	2973	6221	7563
g331	1718	2588	3485	3561	3680	3346
g332	4032	2338	3764	4994	4344	8918
g333	45	39	36	67	36	166
g334	34	16	67	44	13	61
g335	8	2	6	23	0	8
g336	1329	943	1215	0	2	39
g337	153	82	79	80	57	201
g338	1176	1291	779	1465	1140	1287
g339	1682	2682	1629	2250	2390	2771
g340	2111	1949	1920	7718	5099	4667
g341	91	75	125	237	200	131
g342	381	982	537	1559	988	1169
g343	1	18	3	22	3	9
g344	1115	808	747	931	773	978
g345	190	405	261	685	697	969
g346	282	313	263	406	257	649
g347	37	90	63	172	60	130
g348	440	639	683	717	524	665
g349	4890	4403	3553	6308	4522	4349
g350	22	53	51	47	49	53
g351	1955	3552	2771	3922	3744	4913
g352	338	276	252	542	384	320
g353	1	44	5	3	11	100
g354	0	0	0	6	4	12
g355	572	1082	952	945	793	938
g356	1244	1786	1891	3576	3134	2423
g357	414	322	488	2724	2034	1285
g358	4	2	6	6	3	17
g359	286	305	266	666	484	682
g360	6	90	46	32	99	89
g361	1189	432	804	2381	3420	5378
g362	2044	2376	2607	4914	2095	5498
g363	1	8	0	0	10	1
g364	195	118	79	128	97	172
g365	9580	11113	14085	41781	20441	37211
g366	48	50	22	42	22	74
g367	413	299	440	1442	1584	1676
g368	18787	11516	10638	36633	42748	64000
g369	3717	2984	3849	17693	15670	14917
g370	14	101	77	329	71	120
g371	1084	894	610	1123	1121	1438
g372	2164	1665	2355	5439	3522	3859
g373	2	7	2	5	4	5
g374	43	40	87	64	114	202
g375	5321	4427	4765	9039	4486	14779
g376	708	323	420	1424	874	1824
g377	352	955	531	953	327	1856
g378	1639	1240	1310	2455	1835	2837
g379	364	298	374	802	852	1316
g380	331	81	368	549	706	3232
g381	61690	35943	34301	65988	45748	104112
g382	1356	1603	1133	1488	845	1995
g383	18	10	24	105	150	96
g384	1458	1518	748	828	4103	3801
g385	229	338	335	907	1192	1925
g386	28	23	17	61	50	58
g387	13755	10683	3688	10260	20097	45955
g388	319	98	259	31	117	316
g389	48	365	84	259	170	390
g390	9	0	10	4	9	3
g391	0	7	10	1	8	141
g392	4	4	4	19	6	11
g393	53	117	1	13	2	16
g394	505	330	363	609	757	714
g395	3	12	0	16	8	2
g396	1470	1601	428	3701	4542	2229
g397	60	131	355	443	720	2525
g398	628	1082	504	1617	1363	1164
g399	201	312	223	223	229	222
g400	24	3	3	6	5	24
g401	11116	13807	16130	16565	17480	16149
g402	2	20	0	53	42	13
g403	1702	2754	2941	2159	3343	9748
g404	14	29	5	136	153	307
g405	18	0	0	30	8	241
g406	404	94	249	486	547	851
g407	2	0	5	28	25	10
g408	657	712	417	896	634	1159
g409	39	9	0	5	54	28
g410	192	151	110	324	65	361
g411	36	47	92	105	40	149
g412	287	220	143	746	678	953
g413	467	394	589	593	278	266
g414	1357	2475	1236	2470	1138	2494
g415	46	13	16	50	21	20
g416	339	108	360	21	190	162
g417	10	59	67	322	13	15
g418	38	43	13	108	31	72
g419	70	59	28	77	36	30
g420	1882	2007	1797	2949	1835	4512
g421	254	183	70	130	202	198
g422	12	0	2	31	12	1
g423	2	10	39	2	5	11
g424	11	5	19	22	39	1
g425	1	2	2	2	3	2
g426	144	60	31	361	372	413
g427	19	26	8	52	34	56
g428	201	183	126	757	572	824
g429	1062	1065	938	2687	945	2037
g430	11	3	0	7	1	12
g431	221	209	213	824	856	1182
g432	109	135	92	497	310	789
g433	11	12	13	0	0	4
g434	1098	1103	1182	5488	1671	3448
g435	536	241	321	582	544	504
g436	36	19	20	30	4	34
g437	193	192	189	492	318	609
g438	99	168	375	389	110	631
g439	566	1175	711	3557	3078	4200
g440	990	2884	828	1240	3840	473
g441	349	350	178	229	247	408
g442	1106	1324	1035	1650	1345	815
g443	603	372	810	1307	2570	1299
g444	852	1017	826	2012	1662	1613
g445	3954	3574	6915	16762	8522	15445
g446	78	34	122	20	25	76
g447	20	7	11	35	46	47
g448	3245	3446	2362	5003	3612	7208
g449	96	76	78	101	67	168
g450	7381	5315	4221	6667	5490	8934
g451	587	362	306	572	529	663
g452	5	5	3	5	7	9
g453	156	88	144	247	143	159
g454	243	386	271	399	335	256
g455	0	6	5	11	18	13
g456	185	548	244	574	540	723
g457	17	6	4	11	16	24
g458	29	15	24	46	35	35
g459	30	18	18	27	23	56
g460	8	8	9	61	10	11
g461	1	7	0	23	6	40
g462	221	90	91	1091	516	479
g463	135	155	112	378	500	528
g464	91	72	72	178	192	205
g465	68	34	61	23	71	84
g466	41	37	43	89	44	84
g467	154	80	230	724	486	979
g468	885	501	341	411	1515	487
g469	41	68	419	495	58	1274
g470	80	74	10	65	13	69
g471	173	96	123	380	271	646
g472	35	0	1	58	205	476
g473	3000	2849	3165	3076	2787	2996
g474	184	233	596	188	938	743
g475	272	138	46	104	172	252
g476	574	870	448	1182	692	1094
g477	5	12	8	21	8	25
g478	1479	1081	2245	4354	4902	7352
g479	227	513	398	32	930	582
g480	60	30	71	126	103	177
g481	233	146	141	295	77	167
g482	16	36	15	28	37	59
g483	110	110	307	2869	394	610
g484	7	6	13	5	13	65
g485	20	430	125	285	6	323
g486	9	2	1	7	6	26
g487	0	2	0	6	8	12
g488	3820	3879	2513	3730	3552	3360
g489	2095	1458	1341	4735	1576	3676
g490	26	19	23	12	40	23
g491	1520	2259	2612	1482	1506	1352
g492	36	88	75	85	25	20
g493	0	23	1	0	2	0
g494	37	67	36	126	96	209
g495	14	13	7	6	6	10
g496	564	498	479	486	1213	2184
g497	16	25	5	5	36	87
g498	17	9	20	8	13	44
g499	697	525	522	1140	835	1460
g500	3053	3635	2552	6396	5232	4274
g501	20	9	12	21	33	24
g502	206	45	132	87	71	236
g503	1306	817	1023	2234	1576	3003
g504	19	27	7	28	41	47
g505	1	14	9	6	12	78
g506	76	54	92	35	32	76
g507	3913	17326	8275	9474	6252	30404
g508	818	2756	2168	4785	3244	5057
g509	14	0	0	0	0	0
g510	10	4	6	7	13	17
g511	2	8	3	15	9	44
g512	45	116	60	44	110	144
g513	46	57	167	224	364	576
g514	7	14	4	10	10	18
g515	3607	3241	2490	5344	3127	4446
g516	40	134	42	240	64	35
g517	128	410	47	212	347	833
g518	12884	9368	11955	25186	20594	20027
g519	885	757	879	1668	1240	4208
g520	191	99	278	247	121	492
g521	64	67	28	46	90	31
g522	362	422	316	448	448	686
g523	7	0	4	0	1	3
g524	2181	2053	2348	3356	2491	3224
g525	1673	625	641	2060	1096	1737
g526	11	9	7	12	8	11
g527	438	321	237	586	478	633
g528	700	1776	940	2702	1789	1588
g529	6	11	3	2	9	39
g530	1018	609	624	1533	421	1090
g531	962	986	261	788	2374	4605
g532	8	6	7	18	27	15
g533	5865	3619	1371	15803	18909	17323
g534	980	1114	620	2079	774	2583
g535	51	77	65	55	64	79
g536	89	57	71	49	82	124
g537	62	53	70	99	29	77
g538	23	21	18	34	21	40
g539	1546	370	776	1145	2443	3196
g540	0	11	304	576	673	20
g541	267	391	385	1211	825	1372
g542	31	37	43	34	46	46
g543	11	17	20	9	8	22
g544	217	155	44	39	137	45
g545	6	5	10	79	8	122
g546	68	72	57	190	155	183
g547	67	97	53	92	127	98
g548	828	577	492	2637	1698	1596
g549	0	5	0	2	7	9
g550	11	0	1	0	0	0
g551	28	40	139	194	187	14
g552	1722	610	534	1103	887	1671
g553	25	25	19	29	30	66
g554	1349	1250	1615	1973	1397	3674
g555	3738	3728	5430	6689	7435	7532
g556	1060	2002	636	2607	1102	3127
g557	1697	2105	2249	2166	4637	3907
g558	34	13	30	25	7	13
g559	267	258	504	605	251	709
g560	23	40	21	91	11	59
g561	195	93	270	148	86	150
g562	5	2	1	4	2	1
g563	113	125	83	86	64	209
g564	1	68	50	0	0	0
g565	194	123	88	605	204	289
g566	279	140	163	405	243	436
g567	597	790	837	1165	1848	2936
g568	1449	1636	2032	4600	2754	5087
g569	15	17	19	7	47	10
g570	3209	2933	3449	5845	4261	5634
g571	173	246	464	486	424	298
g572	667	514	298	559	711	2237
g573	48	1	0	0	0	24
g574	370	399	434	564	303	405
g575	92	127	3	174	10	51
g576	25592	8065	11144	9300	11252	12594
g577	2095	2182	1797	1989	2096	3619
g578	341	372	311	1091	399	646
g579	2950	2752	2740	10377	6820	9111
g580	593	1398	1017	1222	1091	2088
g581	296	221	137	328	635	776
g582	2938	4863	1216	5047	1421	9324
g583	119	179	187	555	247	428
g584	325	261	250	390	267	894
g585	348	240	170	424	219	321
g586	218	450	226	384	106	294
g587	42	13	16	57	52	29
g588	3914	2915	3728	5898	1862	10151
g589	223	182	117	214	133	420
g590	8	7	2	25	9	43
g591	232	348	319	1128	649	527
g592	287	311	251	609	384	414
g593	2233	2304	3867	4479	4439	5584
g594	469	607	398	148	481	420
g595	3161	2953	2830	4651	7060	8624
g596	15	0	3	4	8	42
g597	4539	3857	3085	6051	6543	9001
g598	871	1251	797	2440	2060	2723
g599	1500	844	1240	2565	1803	7728
g600	640	450	429	1296	649	711
g601	28	11	6	17	13	15
g602	27	48	39	69	60	35
g603	111	82	43	53	29	60
g604	24	22	22	46	64	74
g605	2362	1079	858	1129	4720	3676
g606	866	2452	1090	2313	2338	2799
g607	558	326	352	1293	81	441
g608	20	12	13	20	22	39
g609	954	1087	1348	1296	1325	1514
g610	153	61	33	87	16	90
g611	1247	722	579	666	839	1530
g612	5428	4378	3577	10027	7274	11199
g613	223	166	107	215	74	279
g614	619	1686	551	1469	1118	1465
g615	78	124	152	351	180	436
g616	84	42	17	139	8	58
g617	387	227	289	504	292	417
g618	26	9	19	58	38	45
g619	46890	85406	92492	143900	35488	64538
g620	454	562	890	2684	1449	2647
g621	434	319	303	628	404	658
g622	136	15	131	147	81	125
g623	10841	7900	8673	10825	9117	11867
g624	8	19	14	11	6	3
g625	2	17	8	26	10	45
g626	887	472	751	2873	618	713
g627	2867	2647	1319	2189	4794	4584
g628	160	226	117	314	289	599
g629	56	51	38	91	91	168
g630	59	76	55	55	71	43
g631	1551	1158	884	2594	2136	1751
g632	1	2	3	18	16	21
g633	21	153	130	35	23	77
g634	34	25	23	19	31	71
g635	1840	1738	921	3411	2423	3843
g636	0	0	11	0	25	0
g637	24	31	47	14	32	215
g638	376	169	329	401	315	466
g639	11462	11260	3956	9372	11314	10411
g640	13	32	39	31	21	54
g641	121	98	78	653	689	312
g642	1	17	4	0	0	3
g643	591	765	1125	1794	674	1473
g644	1	1	110	21	8	1
g645	2	29	3	6	16	3
g646	1415	1524	1248	3520	2966	4403
g647	11	5	4	6	4	7
g648	793	624	657	737	512	1242
g649	1385	1899	1786	2231	2588	3908
g650	93	47	91	143	76	153
g651	8425	6215	12157	21656	16873	37764
g652	18	30	12	110	98	206
g653	58	92	14	63	65	62
g654	1146	782	550	951	600	994
g655	1816	1782	1029	4638	3747	3304
g656	2	3	1	3	4	5
g657	7	7	11	16	30	34
g658	6	5	15	22	16	14
g659	3	11	3	63	34	74
g660	13	41	48	131	138	224
g661	11	23	9	33	13	41
g662	11	5	7	109	15	123
g663	161	280	61	200	190	149
g664	29	11	13	99	42	59
g665	602	422	347	339	322	450
g666	155	74	105	91	56	136
g667	399	480	342	517	431	682
g668	727	779	748	1457	895	1332
g669	244	151	195	65	151	217
g670	1	7	7	1	2	27
g671	13	12	10	57	79	138
g672	22	20	105	44	72	45
g673	772	1478	1374	1387	1046	1742
g674	19	10	9	17	25	10
g675	610	254	284	180	484	841
g676	344	195	332	504	246	372
g677	8	16	5	147	136	15
g678	294	116	233	305	271	377
g679	9	9	21	19	10	25
g680	10	3	12	8	8	10
g681	1135	695	883	1944	1149	2167
g682	77	153	156	218	214	259
g683	2575	2056	2399	3019	3023	5509
g684	69	95	91	114	100	149
g685	1344	1346	1411	2252	2505	2910
g686	51	103	29	5	48	190
g687	616	283	225	454	436	339
g688	294	212	241	344	325	440
g689	127	308	170	141	776	441
g690	2046	6556	5186	8508	11598	14467
g691	75	20	59	79	117	85
g692	8	3	0	11	10	26
g693	43	80	49	39	13	51
g694	1005	789	810	1086	966	872
g695	346	300	378	1131	429	683
g696	1814	2306	2496	6686	4470	5453
g697	3096	2498	1889	6710	4086	2709
g698	514	652	457	1806	1366	4549
g699	444	1372	650	1730	1295	2874
g700	1008	914	963	4221	1598	5734
g701	17	4	13	37	14	79
g702	1626	1022	1218	2605	3417	2877
g703	359	407	296	237	207	525
g704	70	77	147	463	268	312
g705	840	1696	909	2854	1456	2258
g706	2384	1527	712	2708	3432	3526
g707	32	134	162	80	62	26
g708	507	429	886	1517	993	1347
g709	5126	3978	5418	7471	9255	11566
g710	106	20	25	71	55	17
g711	11	18	2	6	2	35
g712	120	129	130	527	535	687
g713	5524	4712	2858	8747	4192	8679
g714	2	3	0	40	11	0
g715	371	559	88	389	1584	837
g716	20	329	71	52	88	281
g717	7313	4820	4481	9784	6019	13011
g718	3608	1030	2361	3066	6754	9349
g719	46	17	75	150	40	131
g720	137	3	2	105	4	30
g721	602	1031	767	2126	1333	2004
g722	106	145	149	475	301	444
g723	197	151	297	512	231	530
g724	301	480	678	1901	573	1217
g725	86	196	363	1631	999	1625
g726	900	495	315	2491	1120	2856
g727	307	331	212	394	240	371
g728	86	174	9	251	792	57
g729	67	107	53	241	136	360
g730	12	27	13	12	46	2
g731	15	12	25	40	32	25
g732	6803	1322	668	5363	6324	14805
g733	24	60	67	88	53	83
g734	59	57	45	180	74	178
g735	2223	632	2178	3756	2949	2767
g736	60	90	39	470	298	474
g737	665	918	676	1046	941	1249
g738	114	150	137	499	608	390
g739	2	0	3	0	1	0
g740	14590	9615	10138	19936	20017	23459
g741	4320	3469	4071	9205	9363	14002
g742	104	194	110	568	253	544
g743	2	3	4	6	7	9
g744	6984	3737	5783	6899	7731	19131
g745	4	2	4	8	8	15
g746	566	55	146	461	952	1813
g747	240	557	326	554	515	438
g748	6585	7272	7307	13988	8650	19693
g749	5000	5906	6168	13591	4684	9957
g750	43	26	25	120	97	69
g751	8	1	0	0	0	0
g752	872	966	736	4250	2430	3733
g753	20	15	16	35	18	30
g754	728	124	8	389	450	486
g755	24	2	93	36	7	75
g756	106	121	118	167	138	104
g757	10712	11139	19067	26274	26009	33331
g758	3	1	2	12	5	6
g759	26	10	10	26	67	39
g760	1795	1342	979	1631	1847	2330
g761	1	10	10	10	6	26
g762	44	112	152	69	121	85
g763	356	1056	338	1046	1357	362
g764	1979	2306	1357	5171	1784	2786
g765	109	69	111	274	154	88
g766	133	306	200	219	285	211
g767	81	42	47	91	45	105
g768	370	173	205	436	189	304
g769	303	305	651	1129	389	1440
g770	186	235	204	421	208	347
g771	1713	1794	2450	2367	2222	2234
g772	87	97	123	128	138	116
g773	35	24	32	39	23	46
g774	6	5	20	35	17	85
g775	4	10	6	3	5	5
g776	837	755	752	1436	1314	2835
g777	51993	30365	31577	144101	80242	220226
g778	60	47	51	56	44	52
g779	719	723	527	1333	1940	2445
g780	2272	1313	1754	2600	3492	4059
g781	34	112	111	93	121	122
g782	457	549	463	1312	886	1587
g783	928	869	816	1086	737	986
g784	213	457	346	1046	478	890
g785	39	56	55	77	34	143
g786	273	625	521	614	767	226
g787	2003	1418	2241	3428	2186	8932
g788	180	409	313	2540	671	2329
g789	2218	841	345	2658	1542	739
g790	3679	2285	2294	2850	2377	4778
g791	357	454	416	273	365	487
g792	1715	2347	1346	6389	2819	4819
g793	129	223	285	166	147	149
g794	29	33	35	51	41	53
g795	76	185	101	784	482	915
g796	1915	3270	1340	3751	1657	3644
g797	730	42	83	391	208	365
g798	43	39	24	5	12	26
g799	7	5	0	1	4	9
g800	15	40	18	109	92	77
g801	0	0	4	0	15	3
g802	2004	2242	1723	6046	3968	2787
g803	128	57	37	97	233	467
g804	1798	2870	2840	2018	1398	2452
g805	6360	5325	4194	5578	4632	7360
g806	624	24	552	1453	453	405
g807	576	588	339	635	934	1342
g808	517	1042	421	767	654	641
g809	11	3	12	5	0	2
g810	336	1020	918	1215	1536	2026
g811	2749	1770	1926	3547	2996	5247
g812	43	57	10	144	74	63
g813	1360	1474	1164	1960	886	1512
g814	71	20	72	70	27	41
g815	6937	2356	2911	15659	8761	11513
g816	194	159	797	182	73	0
g817	2641	2788	2291	7251	3333	7244
g818	244	287	154	465	118	120
g819	18	8	17	42	23	45
g820	836	633	420	762	1016	329
g821	1457	2712	1663	1919	1987	2435
g822	2201	1954	1278	11644	3455	7745
g823	31	20	7	1	15	0
g824	72	8	42	202	33	1
g825	628	1008	914	5554	2541	4522
g826	3184	3121	1504	7298	6256	6084
g827	7	4	10	4	5	10
g828	5082	6829	7263	7818	10860	10750
g829	69	111	103	31	129	21
g830	922	910	795	1364	2046	3524
g831	2442	3543	4133	8692	6255	9808
g832	230	1284	509	1012	1722	1983
