	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12
g79	8	5	10	7	8	10	19	13	18	20	17	11
g80	247	187	287	215	254	359	508	852	641	1378	1057	664
g81	1510	2370	3074	3884	1394	710	8351	5608	6200	7008	2529	2141
g82	357	1292	341	1097	157	530	825	207	1475	542	1415	1202
g83	3025	2940	1866	3488	2728	3329	3989	4261	7282	5725	3594	3703
g84	56	94	53	96	57	112	133	155	260	131	272	113
g85	136	77	216	277	163	212	321	369	613	482	434	237
g86	25	3	28	15	7	20	91	29	62	71	71	32
g87	0	0	3	16	7	10	2	3	12	0	0	12
g88	1	5	9	13	10	24	9	10	11	35	7	17
g89	0	0	0	3	0	2	14	143	0	27	1	55
g90	46	5	16	179	36	112	42	86	116	168	133	44
g91	12	11	7	35	31	5	43	20	1	10	20	10
g92	4	8	5	5	9	2	7	9	12	9	10	7
g93	0	28	17	582	135	57	178	239	191	217	175	144
g94	4	3	6	4	1	6	9	7	11	13	6	3
g95	13526	11919	15476	20548	19537	15655	43852	42709	65985	51618	46217	33961
g96	41	7	18	43	68	33	77	116	102	129	125	97
g97	198	294	343	458	243	252	787	329	769	580	323	678
g98	207	679	2155	839	1160	2139	2750	1246	3330	5715	3598	2291
g99	347	296	266	463	253	394	685	1250	751	1138	798	682
g100	39	5241	5136	296	681	1111	1502	6937	7562	340	586	896
g101	11	25	7	15	36	8	69	16	27	103	17	2
g102	559	481	522	944	751	513	1710	1106	897	3560	1527	729
g103	1495	1404	1208	2117	1088	1771	5662	3499	4665	6562	3724	3341
g104	78	82	87	121	76	87	309	316	332	360	217	248
g105	1504	773	1326	993	438	1208	2291	3497	8715	1474	2217	816
g106	725	784	239	1846	1631	795	4248	2566	3019	5131	971	3057
g107	88	215	374	30	267	584	431	231	185	704	251	74
g108	764	486	947	1611	371	607	1384	1000	1048	669	1662	1198
g109	1401	1778	2217	2204	1411	1841	6081	7125	8264	5091	5187	3105
g110	267	188	243	498	421	455	265	461	818	500	363	661
g111	310	300	363	796	258	510	768	868	567	983	966	1151
g112	3	6	11	11	17	1	55	24	65	44	0	3
g113	1693	1509	1369	2362	1864	1504	7742	6487	5373	5581	4179	4138
g114	908	1391	1162	2247	1158	1130	2308	1838	3274	2368	1052	1776
g115	111	48	112	18	282	18	117	106	343	93	159	161
g116	1504	1008	833	1662	851	650	1289	671	1076	1672	310	695
g117	37	0	311	520	121	172	82	139	378	137	26	80
g118	185	106	22	40	176	269	243	1043	433	1290	681	246
g119	0	18	0	0	9	0	3	0	22	0	0	0
g120	223	312	161	594	504	121	822	3451	969	1490	1879	541
g121	1686	1423	1434	3527	1774	2335	3543	1951	1548	2617	3375	2503
g122	44	0	90	4	4	4	11	744	1	28	164	6
g123	183	77	67	127	43	112	129	177	277	67	290	156
g124	337	301	418	484	360	426	1137	1243	1055	1157	728	957
g125	1197	463	920	979	1028	662	3274	2399	5598	2185	2257	1045
g126	2403	1529	2072	3449	1332	2459	4682	6456	7284	9010	4271	5800
g127	20	11	18	8	20	9	66	43	83	30	41	20
g128	38	24	39	57	53	40	146	71	129	151	98	83
g129	345	972	505	347	94	588	663	85	3236	775	1162	425
g130	2195	1976	2042	2272	1954	2475	11790	13802	12402	9896	9880	8439
g131	2737	1022	1338	1371	1142	1800	3069	2562	2712	2049	3288	1752
g132	3217	2607	2518	5067	2570	2812	11257	10390	8626	6859	8239	4556
g133	617	133	130	189	376	158	348	321	354	353	437	142
g134	45	46	121	121	14	189	469	152	648	145	124	294
g135	8	4	8	20	6	9	14	11	18	16	2	7
g136	16	18	29	20	63	26	43	120	149	32	37	63
g137	289	79	148	186	165	236	282	285	356	298	132	199
g138	31	40	62	97	46	79	51	89	55	60	82	16
g139	817	437	374	2169	1747	276	343	1283	1010	692	411	1493
g140	1347	306	1415	792	1301	1117	5077	3856	3446	4726	448	1573
g141	66	71	47	80	102	60	163	120	183	163	143	139
g142	2036	1815	1143	2375	2412	1905	6291	4474	5154	5837	3016	2952
g143	2	7	32	7	6	5	18	14	19	22	6	23
g144	830	1111	1175	1567	1110	86	1205	613	1753	1797	375	187
g145	50	35	68	85	30	134	195	101	266	54	62	204
g146	15	14	34	33	55	17	72	26	103	17	25	22
g147	11552	13322	18121	14462	17668	20339	23802	24802	26189	26207	22650	21673
g148	2	18	19	15	3	6	104	25	92	48	56	42
g149	3116	4869	3501	4847	3299	3364	13535	10770	13742	14508	9745	9837
g150	478	324	258	377	60	505	571	281	1170	861	181	347
g151	2309	1970	1557	2310	1485	1534	5061	3862	5697	2272	1385	2547
g152	545	372	697	318	366	829	3802	1623	3309	3779	2295	1105
g153	2000	2728	1654	4685	2101	3368	4979	4669	8907	4379	7356	3414
g154	882	704	1271	659	2523	831	4875	4110	1859	3380	1783	3621
g155	402	507	538	423	762	448	685	803	722	960	643	858
g156	8	1	1	2	9	3	0	21	7	45	1	2
g157	137	154	204	197	106	193	741	383	383	356	236	260
g158	17647	34851	38609	45714	33622	30764	54255	41005	35283	42481	29399	33021
g159	350	342	344	554	487	335	2733	2050	1822	3723	2388	1107
g160	457	340	561	295	183	1042	431	490	907	1037	664	293
g161	187	328	441	230	517	464	949	621	1567	856	309	1033
g162	529	382	477	448	426	633	949	786	708	825	306	395
g163	349	266	276	391	297	363	409	485	603	510	492	405
g164	1	2	3	0	3	2	45	9	1	0	21	8
g165	8	3	0	1	2	2	8	12	21	11	19	20
g166	1152	1278	588	1890	1986	1861	689	1964	2396	1540	1840	712
g167	261	261	317	372	461	1015	2532	1044	2785	2755	3625	1114
g168	40	47	32	67	48	42	225	159	150	171	70	130
g169	2680	2572	3524	3010	2225	3020	5852	5343	6675	2863	3772	3858
g170	200	346	177	465	253	398	500	326	689	516	456	380
g171	1332	786	1033	2673	1765	2132	3006	2434	3459	2413	3048	3459
g172	946	1350	817	239	1341	1521	3003	710	348	745	1131	1183
g173	414	1181	1260	1128	284	1111	748	1767	4172	646	1648	2691
g174	3872	2990	3610	3425	2795	3395	7111	7639	12331	6688	4597	4755
g175	7	13	18	13	11	12	41	26	18	11	6	30
g176	20	9	13	24	34	41	50	6	67	17	21	41
g177	3273	5647	5025	4940	5626	5081	8823	8285	7677	9392	5253	4788
g178	19	19	22	26	21	29	25	22	46	39	35	27
g179	24	24	5	11	20	18	30	27	40	25	24	19
g180	10	35	27	27	38	23	59	23	91	38	10	38
g181	469	418	1137	695	392	465	1002	964	697	1085	778	885
g182	3	6	3	6	4	10	14	19	17	23	2	12
g183	2979	5486	6654	7654	6505	3855	8425	5419	9237	10451	10851	5779
g184	935	891	934	1085	1294	1136	2094	1978	2857	1608	1005	1482
g185	586	1259	1679	1045	1119	730	2127	1169	2143	3072	2663	1227
g186	58	36	23	57	53	29	75	62	148	87	67	27
g187	25616	7921	16620	23726	9503	10131	19669	29342	24235	40172	33067	24871
g188	27	12	37	22	11	13	67	24	115	21	22	10
g189	306	280	42	192	577	79	111	937	1741	1329	343	228
g190	41	5	34	45	76	60	76	37	54	126	61	60
g191	1261	776	1351	1035	944	539	7661	2361	2345	2563	1986	2334
g192	8330	6454	8939	8804	8446	12169	16646	24573	28791	40229	25521	7702
g193	1449	2433	2084	1661	1459	1625	3137	3142	3001	2119	2494	1735
g194	161	140	221	448	212	192	224	441	897	332	618	829
g195	73	55	25	105	40	175	132	98	89	39	106	82
g196	823	868	1177	1367	662	1142	1558	1524	2056	1003	1022	799
g197	15	0	0	31	8	0	2	21	1	1	44	0
g198	70	304	405	43	130	329	28	26	187	875	802	50
g199	13	13	6	14	13	17	14	75	45	23	17	4
g200	209	451	207	122	206	461	457	537	1330	1192	451	284
g201	0	2	4	0	2	0	19	10	23	21	20	19
g202	1089	1494	1349	2750	1363	1440	4167	1942	2334	2711	2646	1605
g203	5440	6293	13046	14136	12653	10968	46707	34060	36806	38359	26397	35168
g204	46	123	135	88	163	22	218	95	239	189	116	100
g205	5	114	50	42	4	1	29	27	13	30	167	28
g206	67	71	73	75	69	37	172	37	92	116	34	112
g207	347	347	344	435	340	257	853	830	534	886	873	789
g208	6	13	19	15	24	4	21	21	2	13	8	16
g209	1201	1376	853	2047	804	3081	1108	2584	2360	1486	3156	1906
g210	86	90	66	81	69	68	198	132	207	110	181	123
g211	2	7	3	0	9	11	33	2	26	44	33	3
g212	92	118	27	76	49	12	173	38	999	34	720	193
g213	16	13	6	35	32	29	11	31	36	16	16	49
g214	8	30	24	22	15	11	43	35	112	53	140	50
g215	2	5	3	7	8	10	19	29	65	17	25	24
g216	2108	913	3452	3253	2071	1678	8040	6770	13716	3514	11777	3243
g217	5	4	5	13	5	11	24	3	14	12	5	9
g218	10	10	3	18	9	20	31	40	67	69	21	14
g219	1	21	29	13	5	6	33	8	21	80	10	49
g220	1383	679	2014	1166	927	1297	1559	1624	3117	2019	1110	2255
g221	334	654	844	840	789	420	1405	606	1312	2120	1268	753
g222	220	400	296	390	199	430	293	995	1162	687	834	473
g223	583	1195	1291	1368	1417	2415	1904	4678	2898	3124	2154	2588
g224	1499	1057	1856	3521	1362	1897	4461	5292	5490	3929	3701	6186
g225	4546	3853	13358	5237	3188	6460	7853	4925	15464	16759	13930	8450
g226	0	0	0	5	0	0	9	0	0	3	23	0
g227	7	2	11	1	3	1	37	127	2	5	12	55
g228	108	86	59	104	37	89	231	315	240	143	186	111
g229	1821	595	1987	804	329	605	1088	1524	3137	2589	1738	1435
g230	1	14	32	30	24	28	20	46	43	32	17	62
g231	39	45	28	238	59	34	93	279	344	261	31	73
g232	8	6	5	4	5	5	14	8	6	5	11	3
g233	20	24	12	1	2	0	32	44	24	103	6	7
g234	50	41	69	43	44	60	92	121	39	94	59	83
g235	9677	11252	1085	9276	11984	11057	17778	12286	21911	20770	7407	8839
g236	1472	516	779	1195	1088	1012	2126	1576	2883	2091	905	1327
g237	19	1	8	17	21	5	35	28	35	45	19	5
g238	222	332	311	316	354	239	872	947	1443	968	638	621
g239	8	10	8	7	9	3	94	3	32	25	12	14
g240	1	8	2	6	13	3	0	43	3	10	22	0
g241	13725	13439	10134	16555	15560	17672	19623	19342	26601	25317	17346	22040
g242	2	8	11	17	10	14	20	11	13	8	1	1
g243	241	207	319	593	229	360	670	612	449	679	458	487
g244	44	77	30	107	48	39	107	65	132	131	51	120
g245	0	0	17	29	5	2	42	4	32	7	2	1
g246	4	0	0	7	2	0	4	9	9	5	6	4
g247	312	475	452	542	293	878	755	626	786	718	466	673
g248	93	140	185	276	0	267	3	85	197	2625	460	392
g249	4889	3650	2423	3256	1873	6084	24567	26843	14835	16106	16147	5764
g250	401	339	410	538	347	338	606	2455	1652	2773	1190	2136
g251	4079	2299	1565	4878	4884	7045	5305	6503	6308	20159	3006	8373
g252	2	0	1	0	1	19	1	0	0	0	0	1
g253	847	1046	811	807	1180	1932	2261	1991	2671	2738	1912	2196
g254	29	59	66	36	43	73	120	69	58	52	60	46
g255	35	48	58	42	82	35	102	60	92	72	61	69
g256	124	174	177	141	149	203	304	347	335	328	177	207
g257	21	19	34	31	11	27	49	35	56	49	85	34
g258	22	1	72	85	27	5	132	218	96	170	90	216
g259	2	1	12	0	19	1	0	9	7	3	0	9
g260	2852	6442	10179	4221	7919	6667	8801	19008	32191	18312	13146	19530
g261	316	240	312	531	393	291	904	612	796	675	529	428
g262	64	19	14	24	33	36	6	92	14	61	27	21
g263	119	183	303	405	338	347	673	323	569	1358	542	591
g264	473	231	616	337	713	775	1218	1073	1000	1302	541	365
g265	3637	10468	7936	14950	4661	7369	11603	8539	8650	14445	4417	1919
g266	318	250	464	641	454	548	533	408	1027	436	449	423
g267	294	364	421	315	165	272	1036	790	1489	531	1095	657
g268	843	1327	695	3460	1795	1177	2399	3485	6406	3242	2732	1716
g269	1058	1016	654	2377	596	1242	2689	3048	4479	2526	1635	3101
g270	60	733	480	140	155	564	686	458	636	351	277	343
g271	132	32	176	373	111	45	205	310	213	174	143	334
g272	1939	2160	1610	1528	1623	1656	3921	4544	5107	3706	2953	5154
g273	222	319	286	349	297	411	663	664	819	458	414	709
g274	22	101	21	64	21	5	113	217	81	104	5	6
g275	59	63	154	160	66	105	97	112	331	239	101	80
g276	940	969	878	787	749	1825	2228	2808	2946	6530	2555	1493
g277	524	497	559	673	587	818	1354	1379	1154	1847	1138	921
g278	2130	2493	3533	3240	3079	3203	5613	5069	6977	9775	6323	4518
g279	4370	2470	3008	2823	2709	5790	6704	9597	8502	8015	4097	4818
g280	156	129	377	174	145	215	524	277	166	430	210	339
g281	27	92	25	1	16	70	15	66	50	11	61	9
g282	708	425	630	548	377	726	564	722	385	1372	1509	421
g283	269	364	346	776	535	521	1183	577	731	1305	456	266
g284	82	9	43	4	29	108	159	174	77	946	120	318
g285	504	382	541	690	679	915	1113	443	921	725	797	959
g286	23	11	21	44	20	30	104	122	158	149	122	15
g287	311	31	81	105	71	88	690	199	801	398	244	38
g288	83	112	90	52	294	33	388	688	177	306	828	101
g289	501	957	448	461	636	339	667	690	796	711	793	691
g290	4236	4939	4704	5476	7136	4290	23871	21062	24023	33361	22377	18515
g291	24	9	2	1	5	3	1	0	0	1	2	0
g292	132	109	412	281	255	236	153	609	416	457	251	455
g293	30	19	24	28	28	36	59	40	60	44	40	30
g294	739	291	404	493	224	438	852	768	691	504	895	393
g295	1875	1923	1025	2083	601	1289	2072	2080	1183	2764	585	994
g296	20	14	8	5	1	5	0	5	1	32	32	76
g297	234	507	249	549	326	454	746	877	1494	1269	345	558
g298	1319	1610	1921	2723	2154	1279	4195	4081	4157	1789	3628	2264
g299	8	2	6	10	10	3	12	4	0	15	11	14
g300	136	49	35	27	49	34	167	88	129	74	190	60
g301	700	100	278	239	262	257	1763	534	894	143	515	183
g302	56	19	57	24	42	32	47	61	92	18	18	24
g303	4	3	5	2	2	5	5	5	9	6	8	5
g304	14	8	1	6	12	10	11	12	43	31	19	34
g305	948	2057	1583	2071	2102	1726	5170	2501	3345	3750	2102	2599
g306	33	43	7	21	44	20	53	16	33	16	42	7
g307	7	16	26	5	3	58	4	48	77	3	9	20
g308	34	53	50	68	52	98	121	90	213	72	132	46
g309	738	648	693	1293	765	896	2106	929	2408	1983	1245	1541
g310	3	12	53	2	37	6	17	61	57	39	31	26
g311	4042	5464	5264	3393	4828	5432	15298	12142	17720	21673	9802	9191
g312	443	82	105	399	172	73	652	74	106	1173	888	162
g313	433	354	563	437	289	418	1968	1055	1897	1890	772	1414
g314	4	1	31	4	28	10	5	2	3	24	8	16
g315	343	63	137	765	383	560	477	659	569	293	865	430
g316	15	105	86	85	216	37	272	37	68	115	48	5
g317	1534	299	84	1444	518	1707	2008	79	0	32	679	292
g318	37	22	43	21	84	43	72	54	256	69	6	43
g319	25	47	33	72	22	44	108	128	95	120	97	92
g320	3079	3139	2112	2356	1981	2450	7665	8153	8698	9067	3409	3226
g321	51	62	46	101	51	44	257	132	167	137	145	95
g322	293	212	430	264	95	87	945	283	318	125	141	142
g323	1813	1173	2311	1194	1187	1739	6692	3202	3907	3092	3410	2812
g324	447	651	345	1070	716	1031	1572	948	463	1258	815	958
g325	439	180	259	486	605	299	604	279	766	634	266	337
g326	865	768	449	490	543	650	1720	769	1312	577	1276	750
g327	1108	2042	1502	2229	2624	2098	3920	3422	3150	3081	2496	2220
g328	7	0	1	0	14	0	18	0	0	1	0	1
g329	4625	7295	5291	9081	8323	6566	26321	29664	15189	17315	13224	8972
g330	43	43	177	98	65	123	189	310	78	193	131	170
g331	0	7	0	9	0	2	7	12	8	3	21	5
g332	992	581	1847	467	838	950	3529	3072	2479	2000	1063	908
g333	2082	2028	697	5228	1599	1530	11359	10935	12115	9239	6392	5998
g334	8	25	3	6	9	11	10	23	46	10	18	19
g335	130	55	118	148	108	95	167	111	69	166	208	134
g336	305	152	127	166	137	184	302	348	371	243	299	318
g337	1	0	2	1	15	4	39	18	6	50	0	10
g338	0	4	4	6	10	1	3	0	0	9	0	6
g339	352	410	431	530	302	475	3321	1896	2669	2282	1299	1216
g340	649	566	482	377	313	671	672	606	665	594	1027	705
g341	164	33	56	93	519	200	439	581	516	748	1608	298
g342	1	16	86	23	54	40	22	21	17	55	19	37
g343	1111	983	948	1367	1004	867	1960	1561	2147	1652	1533	2055
g344	33	6	74	40	19	43	90	57	38	99	54	5
g345	442	379	538	518	337	731	1953	1773	2230	1825	2513	1311
g346	134	61	133	537	119	244	236	548	138	406	149	341
g347	4	8	17	8	12	9	46	37	38	96	17	24
g348	25	1	18	43	1	6	33	21	43	40	22	31
g349	37	91	98	147	40	187	265	94	312	386	116	117
g350	4455	4624	4648	4493	1778	3753	8563	8443	5915	8897	4644	3644
g351	1012	552	649	1277	2204	2221	7556	2875	6392	3572	2138	2113
g352	243	249	326	140	206	264	910	356	448	583	421	333
g353	759	885	870	1271	821	1200	2034	2143	1619	1391	1532	1055
g354	43	70	100	441	329	255	254	183	170	235	606	202
g355	1204	831	1402	1728	965	950	1959	1767	2199	2811	1021	1329
g356	9610	10243	11143	12984	9194	11524	19910	24610	20432	19972	13328	9672
g357	19	79	5	57	9	33	7	16	137	234	146	24
g358	75	165	104	223	108	171	507	322	431	623	339	283
g359	4	8	6	5	5	2	10	8	15	9	6	3
g360	182	305	356	366	281	305	423	666	442	568	408	245
g361	778	113	183	91	586	86	274	103	994	260	123	392
g362	54	48	56	57	55	65	76	172	111	155	99	57
g363	92	20	83	36	64	21	162	125	56	102	71	72
g364	187	153	111	228	150	140	254	337	391	304	157	168
g365	3	0	4	6	3	0	10	3	3	6	0	2
g366	1080	896	1609	1665	556	1476	4757	3445	4897	5568	2449	3169
g367	874	2070	1357	2650	942	2649	4637	3061	6639	5154	2878	2241
g368	33	55	56	16	76	53	161	70	100	162	59	84
g369	8	17	14	11	0	11	78	1	45	0	28	1
g370	199	336	231	465	306	494	1490	973	902	1261	959	783
g371	1947	2372	3757	2768	2436	2947	5449	5381	3272	4114	4086	3625
g372	54	62	46	110	62	88	277	163	194	257	144	145
g373	6	7	28	7	7	21	23	16	16	60	19	17
g374	2442	2127	3168	2786	2188	2796	13200	7955	11590	17333	7471	9404
g375	13	7	12	59	13	23	6	26	23	23	60	30
g376	62	111	68	71	86	63	230	176	343	310	160	192
g377	2189	2517	1943	4026	1319	2445	6798	4631	4242	5391	2288	2754
g378	46	2	5	20	0	0	88	93	14	12	0	11
g379	5975	10835	8455	11011	12270	4478	17477	16719	30532	15639	20182	8205
g380	1264	953	1367	2107	1715	803	1294	3168	2884	2990	2387	3289
g381	6	11	13	19	14	14	42	24	34	30	26	27
g382	1248	1446	1595	1516	1080	1248	2539	2598	2388	3081	2595	2154
g383	125	332	366	165	233	141	361	736	757	631	387	469
g384	3638	2465	3751	5095	4026	2999	10798	5043	11280	10026	5435	7218
g385	4437	4996	2957	5365	5917	6584	16381	12140	13711	16061	14573	10289
g386	111	17	50	269	419	123	213	808	171	109	79	65
g387	2211	2286	1870	2854	843	3132	3407	702	1320	2390	2774	2373
g388	82	19	125	6	7	20	668	1	0	121	170	165
g389	99	69	42	72	56	79	186	116	232	162	83	80
g390	0	7	3	12	9	9	4	16	15	6	8	7
g391	72	6	9	45	34	37	76	22	60	36	8	10
g392	1861	2800	3950	4367	1230	3630	17642	8783	11414	12668	10034	5582
g393	1258	1348	1533	2012	1699	834	5468	3138	2391	5216	2618	3369
g394	181	194	185	227	403	167	1559	339	538	748	541	793
g395	1592	1176	1133	2006	1772	2169	3740	5013	6912	5199	5471	3038
g396	652	469	510	543	493	478	658	735	624	1263	462	651
g397	47	9	31	33	7	49	141	13	0	3	22	1
g398	8109	8196	6424	10460	6024	14935	23241	7559	20060	9283	9174	14910
g399	116	38	147	42	148	110	298	149	215	216	71	227
g400	61	88	19	133	107	25	32	118	199	11	5	22
g401	665	757	965	1227	542	1258	891	1279	1181	1584	952	608
g402	0	0	0	2	0	38	6	0	0	0	0	127
g403	42	48	22	44	29	34	127	112	79	90	67	30
g404	541	336	790	626	335	580	951	624	1409	802	544	765
g405	907	797	757	1369	448	1463	2260	900	1078	2157	1016	2151
g406	71	38	64	108	28	52	58	121	105	63	117	131
g407	335	514	542	601	467	539	1530	1255	1767	885	1010	841
g408	219	343	220	246	178	468	577	681	306	390	287	368
g409	6	83	60	91	29	101	81	209	42	117	100	67
g410	532	633	546	1013	748	421	1129	1746	1273	847	1163	997
g411	388	711	214	796	419	56	2381	1585	2101	1747	1167	400
g412	157	173	104	224	109	138	283	240	247	210	200	101
g413	32	52	115	103	41	26	105	86	52	68	59	50
g414	20	17	38	15	6	5	54	84	20	146	62	25
g415	10	13	3	6	6	11	20	1	16	29	1	3
g416	888	975	957	1128	1034	1281	1119	1215	1581	2069	1751	1676
g417	279	163	349	441	191	372	427	483	798	371	457	126
g418	276	65	746	628	755	1624	651	1587	652	2007	650	1205
g419	10	7	33	24	13	29	31	12	30	24	19	55
g420	24	0	0	1	0	5	1	68	46	20	54	0
g421	14	6	0	0	0	0	1	0	0	38	13	0
g422	5	16	2	9	8	21	10	10	9	24	23	5
g423	10	2	3	13	13	8	39	36	50	33	2	3
g424	2379	1598	2516	3439	2315	1492	6572	8315	8104	16524	8042	6338
g425	2271	1937	1868	2248	1584	1628	2146	3976	5825	3798	3170	3552
g426	2762	3436	2685	3316	2759	3189	5437	4195	7480	8952	2319	5068
g427	64	38	61	117	96	76	171	163	191	106	111	146
g428	801	1132	229	2032	194	685	4507	1968	2160	2236	2000	2138
g429	297	195	331	238	265	307	418	416	438	261	308	317
g430	40	11	44	34	26	35	14	21	31	43	27	28
g431	464	542	685	637	721	283	1290	1473	983	998	797	579
g432	11	5	6	0	12	9	29	14	22	18	16	13
g433	268	101	26	433	168	90	1526	381	207	683	193	11
g434	35	20	83	38	9	28	88	46	185	104	93	149
g435	85	49	74	135	11	50	98	95	86	90	118	120
g436	16	2	28	155	79	11	71	436	88	214	89	108
g437	2	3	1	0	1	1	2	2	0	14	1	6
g438	449	193	540	949	634	1038	352	1317	960	476	627	1030
g439	3442	1281	2501	4515	2965	2647	4291	3601	5032	6557	4628	3414
g440	337	604	906	787	780	905	969	651	1192	707	997	445
g441	4843	2881	8186	4781	3653	6550	10398	11694	9293	13548	6822	7150
g442	293	355	355	468	388	367	547	364	808	637	553	404
g443	495	385	391	649	616	710	1667	1536	805	1322	626	1017
g444	87	127	106	162	92	145	496	244	347	224	147	131
g445	57	15	70	76	37	45	94	136	87	12	56	40
g446	1394	1568	1831	1795	1604	1662	4323	2920	8551	3578	4558	3268
g447	105	6	35	63	27	9	71	74	96	51	25	55
g448	66	48	82	69	64	129	255	103	267	286	182	173
g449	10660	13871	14907	23273	12396	16608	48452	46102	37184	40019	40950	30931
g450	1017	1103	640	2218	1545	1998	6478	8687	8232	8692	7053	4525
g451	1423	1070	2187	1597	1200	2623	2498	2230	3932	2999	1164	1369
g452	17	31	4	44	109	31	101	55	392	46	243	45
g453	29	11	45	55	29	79	125	68	136	94	42	28
g454	7	9	12	29	22	19	50	10	11	18	22	7
