	sample1	sample2	sample3	sample4	sample5	sample6
g234	2630	3839	1744	3359	4891	4740
g235	8	3	9	1	0	19
g236	353	357	1006	125	1437	311
g237	33	17	31	48	64	46
g238	114	138	70	59	97	609
g239	335	587	565	754	979	790
g240	2041	553	5860	1878	16798	3286
g241	917	596	728	1239	1470	1577
g242	625	340	967	4021	3260	4625
g243	6	7	0	7	15	1
g244	243	349	524	253	789	224
g245	5	2	5	8	9	16
g246	7	4	44	12	1	0
g247	1339	2290	1626	1679	3436	2288
g248	11	291	88	56	27	126
g249	104	110	103	138	196	89
g250	5014	6062	5596	13531	12661	13876
g251	13	25	0	2	33	14
g252	34	49	10	59	257	164
g253	23	2	31	42	138	287
g254	1	2	11	11	17	15
g255	351	110	349	154	1233	560
g256	561	1001	436	631	1573	1295
g257	2625	3712	3336	6844	3443	5446
g258	1619	1239	1473	1486	2845	2605
g259	1	71	1	0	15	1
g260	776	361	573	824	1382	879
g261	1193	935	542	748	1515	2504
g262	133	27	16	12	160	34
g263	448	429	469	422	431	487
g264	122	228	149	129	209	162
g265	151	798	526	3530	1808	1465
g266	77	50	16	52	23	57
g267	1179	1102	1779	1324	2895	1391
g268	103	272	180	293	141	77
g269	242	296	230	571	470	363
g270	249	508	229	455	693	456
g271	20	29	19	7	23	12
g272	890	1237	794	1088	2059	942
g273	19	0	26	22	32	9
g274	17744	19999	16688	18293	20566	15034
g275	533	487	316	800	4120	853
g276	286	225	339	385	438	180
g277	18050	19072	18036	20549	29859	28006
g278	2	5	7	0	57	5
g279	233	1019	597	1604	2304	549
g280	94	318	51	187	260	265
g281	201	100	80	147	145	278
g282	38190	63245	109336	124043	184495	93172
g283	1988	2821	3034	5453	10935	5211
g284	3855	6704	9159	6874	7217	8289
g285	4590	2680	5258	4994	10011	5481
g286	36	23	50	35	59	76
g287	694	282	407	862	458	747
g288	1	2	15	3	50	76
g289	43	27	39	55	114	28
g290	344	4	26	263	52	415
g291	52	25	2	62	18	22
g292	42	56	24	65	138	141
g293	721	1173	413	3228	2540	2015
g294	11	21	17	18	69	67
g295	396	418	570	470	572	544
g296	38	32	35	34	66	52
g297	21	26	27	15	29	13
g298	20	10	1	8	29	55
g299	30	0	25	24	33	27
g300	230	341	271	403	438	564
g301	24	8	76	48	61	40
g302	6239	5687	6178	6068	9806	6859
g303	0	14	1	0	0	21
g304	17	16	33	15	40	22
g305	20	17	5	8	96	115
g306	468	982	498	1302	3138	1881
g307	98	48	120	118	219	262
g308	486	597	728	582	1157	523
g309	448	522	1592	737	1961	960
g310	20	11	33	82	95	85
g311	14251	11769	8627	22078	23381	11383
g312	1872	2004	2007	3887	5279	4811
g313	6	9	4	38	184	62
g314	14595	10889	9720	24360	33963	27757
g315	42	56	47	49	48	40
g316	21	15	37	54	134	48
g317	12	8	8	9	14	20
g318	522	947	754	543	775	1301
g319	542	585	851	955	1172	1181
g320	1513	1238	753	1158	2887	1514
g321	81	81	175	220	149	285
g322	4635	3781	4672	4621	7936	4634
g323	31	42	13	3	119	118
g324	161	83	142	90	457	159
g325	782	845	1238	1643	1667	1722
g326	1686	606	1174	1878	2743	2926
g327	5438	6633	4578	16886	9399	6316
g328	12	2	2	29	0	3
g329	753	618	466	776	2401	1961
g330	7	0	6	3	2	6
g331	229	155	355	625	641	670
g332	107	292	323	195	271	353
g333	33	35	30	71	45	29
g334	3	4	0	1	2	0
g335	24	9	0	17	4	1
g336	171	274	170	454	453	245
g337	161	497	387	251	868	33
g338	15	10	17	87	87	75
g339	17	21	16	40	62	40
g340	2311	3599	3395	2969	5023	3507
g341	41	44	36	62	81	59
g342	21	9	27	33	55	70
g343	958	988	1194	746	1172	1665
g344	1789	1562	2166	3718	4124	5108
g345	469	629	854	970	1531	810
g346	153	106	139	152	251	273
g347	1579	1987	2287	3625	4797	5521
g348	86	82	177	111	172	109
g349	519	467	477	530	949	603
g350	6281	6803	6529	9633	12583	7703
g351	21	35	3	43	221	7
g352	646	1462	1231	6127	4598	3963
g353	173	374	239	381	537	422
g354	14	9	8	3	11	2
g355	353	827	413	254	1249	685
g356	43	11	13	104	961	14
g357	74	26	189	296	570	224
g358	27	71	38	81	60	44
g359	20	14	46	38	126	24
g360	1947	2187	2552	2639	5718	6427
g361	34	47	42	37	50	14
g362	83	26	76	52	78	133
g363	7832	6925	12153	7540	15252	12206
g364	13	17	20	22	81	10
g365	146	151	346	147	185	141
g366	77	39	42	1195	392	399
g367	845	233	487	1442	2487	1656
g368	3	2	9	20	36	14
g369	547	514	802	2332	1425	4126
g370	1432	1457	1653	2842	4565	3435
g371	690	942	674	1553	1786	1809
g372	668	972	852	636	1063	717
g373	9810	41279	38167	56483	66234	171937
g374	645	209	623	283	36	261
g375	436	956	1422	899	2800	1204
g376	52	63	32	254	67	128
g377	48	24	29	57	59	77
g378	140	180	129	173	513	262
g379	900	556	454	1168	1153	577
g380	75	53	48	224	232	186
g381	44	4	14	2	30	0
g382	178	170	305	124	1251	496
g383	4	4	6	3	11	8
g384	47	25	43	47	65	59
g385	824	1010	1944	1563	3184	1243
g386	4233	1161	2049	2313	3967	3757
g387	72	84	68	49	54	78
g388	340	387	329	412	571	802
g389	288	580	1025	730	1215	954
g390	8	21	23	9	8	1
g391	2565	1460	2967	2253	7098	5426
g392	8834	2952	7941	5536	4671	8091
g393	10582	12604	13798	16904	15483	16229
g394	174	90	89	224	128	98
g395	17	21	56	7	29	19
g396	113	39	199	90	422	131
g397	0	1	2	2	4	0
g398	1014	1183	1476	1926	2286	2175
g399	10	10	24	4	94	7
g400	678	1289	793	2898	1994	1390
g401	118	133	137	156	202	139
g402	1314	457	985	1726	1766	1451
g403	68	81	77	70	163	184
g404	88	68	62	159	112	171
g405	383	334	121	100	1200	126
g406	41	18	34	312	247	130
g407	85	120	261	66	176	233
g408	574	549	683	1915	3303	3580
g409	22	145	69	51	82	119
g410	1405	1242	1308	2137	2863	2804
g411	31	31	3	78	125	17
g412	8648	7933	15085	37151	62617	53551
g413	2500	3868	3081	2600	4140	3692
g414	53	106	17	305	418	46
g415	60	38	7	45	56	27
g416	19	16	90	13	457	114
g417	2	3	11	7	15	6
g418	2873	3858	7679	5087	11572	4673
g419	50	153	46	37	63	70
g420	156	188	705	215	1001	992
g421	71	69	101	171	192	73
g422	1035	1321	1492	499	1429	1123
g423	82	59	55	76	89	83
g424	2439	2933	2532	4849	5061	4412
g425	327	304	453	353	721	740
g426	3368	3439	5096	2594	3962	8066
g427	102	4	1	339	57	25
g428	1099	814	1490	1492	3506	1942
g429	280	243	88	335	284	211
g430	0	0	0	0	12	2
g431	204	158	269	287	287	239
g432	161	97	121	219	363	338
g433	5484	580	3577	9760	8010	8455
g434	41	28	4	11	34	99
g435	39	33	52	22	38	47
g436	1	0	4	3	7	0
g437	251	760	1126	963	3361	587
g438	38	61	72	50	86	70
g439	909	1462	1129	3091	2733	2746
g440	582	172	631	945	4702	1684
g441	1381	73	1	53	72	279
g442	4189	4094	2941	4733	12144	4699
g443	1163	625	1797	1858	4017	2805
g444	14	5	8	5	7	8
g445	368	550	767	448	385	811
g446	1796	150	3173	11744	11357	15120
g447	1751	139	367	96	196	644
g448	2489	2515	2798	8367	20477	15611
g449	709	781	1245	1820	1070	1128
g450	15	15	150	134	272	376
g451	200	220	229	303	344	287
g452	16001	1837	10118	5556	16956	12399
g453	2561	1711	1873	1938	3915	2072
g454	447	767	131	1648	697	774
g455	12	10	8	11	18	16
g456	3247	5638	7955	12096	25203	13197
g457	995	841	465	1944	1966	2127
g458	16	19	32	28	32	14
g459	8081	6700	5135	13321	16299	18127
g460	182	63	242	336	220	664
g461	545	643	576	1056	2557	2106
g462	6	9	4	1	17	12
g463	56	363	13	247	417	64
g464	39	31	56	61	110	44
g465	365	231	193	407	230	341
g466	0	10	5	5	37	2
g467	16	10	8	0	29	5
g468	1702	1247	1148	2346	2641	3179
g469	225	235	36	78	573	259
g470	11	1	21	21	12	29
g471	1918	1367	577	1962	1672	5534
g472	27	16	11	13	29	18
g473	594	376	381	391	613	860
g474	30	31	67	78	40	88
g475	273	3539	910	2393	5168	5684
g476	91	91	190	246	883	221
g477	171	141	87	91	80	220
g478	363	503	570	881	357	485
g479	2697	1911	3092	3735	8387	4523
g480	110237	107241	79206	223050	90603	147266
g481	0	0	17	0	0	0
g482	8	5	4	0	10	14
g483	780	1157	773	1197	1340	1407
g484	350	171	193	132	602	588
g485	1116	307	553	388	299	314
g486	18	1	4	5	36	0
g487	31	14	29	758	234	1135
g488	863	430	516	371	1876	5017
g489	7086	2948	4368	4720	9099	10068
g490	18	272	227	1022	1034	783
g491	10	0	1	20	2	83
g492	1	7	30	6	9	23
g493	1764	1983	1482	5926	8540	4519
g494	104	92	187	130	140	154
g495	29	27	32	20	77	26
g496	1	9	12	82	16	34
g497	475	259	218	610	303	516
g498	1726	1342	1339	2423	5310	2765
g499	116	133	166	43	160	260
g500	1280	1237	2838	2352	7762	6181
g501	154	62	117	147	384	327
g502	17	6	13	221	119	101
g503	0	0	0	11	8	6
g504	4603	6258	6254	3058	6597	6363
g505	20	23	37	36	53	45
g506	32	47	26	22	120	22
g507	333	361	568	836	658	813
g508	28	49	25	160	79	69
g509	56	22	42	94	71	113
g510	8	9	2	1	26	7
g511	59	30	13	23	86	63
g512	1	1	3	3	23	14
g513	3311	2390	2885	2610	3474	3837
g514	106	215	167	109	352	632
g515	0	3	23	7	3	42
g516	0	219	0	7	1	0
g517	42	92	74	166	285	217
g518	21	41	114	48	90	66
g519	1	4	5	35	117	96
g520	42	80	56	108	104	92
g521	2307	1013	1844	3799	2204	4105
g522	1187	1349	1238	2713	3467	4194
g523	419	397	680	1135	796	1497
g524	0	24	4	9	5	18
g525	4024	1488	2694	4009	4174	2506
g526	129	1661	127	1076	1162	1167
g527	462	620	938	1227	936	729
g528	614	652	714	1115	1248	922
g529	44	19	29	42	69	62
g530	1036	585	588	785	1484	1906
g531	1648	908	1008	739	2630	1418
g532	38	85	25	27	115	222
g533	136	151	230	149	364	265
g534	67	101	213	136	126	310
g535	330	439	15	299	676	146
g536	2377	2412	4023	10244	11444	5723
g537	29640	42043	27198	94007	42875	24884
g538	10	2	24	1	14	21
g539	1331	2138	2621	3594	4364	3049
g540	266	313	276	573	265	677
g541	6	0	2	1	6	5
g542	21	1	1	1	1	3
g543	165	147	965	1518	165	1184
g544	5	4	5	10	13	8
g545	180	40	105	65	2810	317
g546	647	1051	1574	458	648	1046
g547	464	518	731	668	1103	640
g548	5	11	14	0	3	6
g549	282	177	140	135	265	332
g550	575	1029	637	1030	848	1275
g551	88	122	133	383	391	639
g552	2	0	3	4	6	5
g553	42	10	51	32	39	60
g554	5184	3145	7819	7248	12956	13274
g555	92	146	105	159	218	202
g556	1852	1720	2431	2232	4397	3162
g557	4	11	15	48	58	95
g558	146	83	144	111	184	205
g559	915	204	365	428	684	352
g560	415	385	319	340	439	698
g561	737	1344	432	344	1331	2618
g562	145	31	154	74	229	31
g563	819	1862	708	5353	3517	3450
g564	237	253	431	214	742	248
g565	1093	2816	1862	1195	1520	974
g566	2	5	10	2	13	23
g567	1156	1072	1822	2606	5667	2771
g568	1096	3077	2568	4642	6438	6608
g569	72	42	51	62	114	103
g570	468	730	617	592	1585	571
g571	1185	1016	1461	3953	4146	2182
g572	442	255	148	329	866	1150
g573	50	74	0	1	859	44
g574	208	237	434	1728	1032	2201
g575	1209	2169	1510	2541	2393	1361
g576	564	714	899	851	704	1001
g577	3786	3394	2665	6833	8814	9140
g578	21	40	28	2	151	0
g579	14	6	11	21	26	16
g580	131	131	149	245	645	477
g581	39	27	19	23	4	83
g582	1625	1327	1500	1746	2028	2931
g583	5	1	0	3	27	2
g584	5460	7385	7574	9015	25094	7615
g585	8403	5494	5849	14299	16300	15179
g586	108	219	128	90	269	195
g587	143	315	583	512	1551	1050
g588	116	75	264	418	762	710
g589	819	923	1002	1477	4172	4583
g590	26	29	20	22	38	20
g591	38	1	0	6	0	130
g592	1	11	5	13	6	4
g593	1302	1805	1359	1325	2551	1999
g594	1170	3253	1898	2352	2804	2372
g595	45	76	55	37	107	58
g596	1	0	0	33	13	84
g597	728	268	400	266	728	1525
g598	19	37	38	16	22	54
g599	5	4	9	3	21	0
g600	22	43	0	33	19	59
g601	2689	572	3003	4141	7829	3323
g602	1234	1035	1866	2124	2575	1733
g603	23	75	9	78	10	102
g604	4588	596	2661	10621	14738	897
g605	1687	3146	1284	1460	4859	2465
g606	529	228	433	559	1249	408
g607	99	185	185	394	620	267
g608	2412	2100	1712	2195	3726	7821
g609	1738	1209	1110	2964	3576	2688
g610	247	155	162	441	763	541
g611	303	148	289	272	425	490
g612	4356	6576	4681	10163	8616	7812
g613	41	58	78	63	107	101
g614	0	1	49	72	0	48
g615	2176	2668	2637	7223	12028	6474
g616	754	1422	1196	2788	2729	1915
g617	18	45	62	45	320	270
g618	2813	3113	4201	4013	6569	2091
g619	31	13	4	23	31	27
g620	93	139	161	185	577	502
g621	578	430	409	1689	1272	2959
g622	62	101	124	403	439	184
g623	11	25	1	263	0	45
g624	37	131	82	78	752	33
g625	2579	2161	3031	3130	4857	4171
g626	80	73	145	176	218	117
g627	3	2	34	12	11	15
g628	0	7	0	0	16	1
g629	169	113	100	159	246	201
g630	555	135	1020	1362	1292	981
g631	530	1603	820	1142	668	1205
g632	100	118	152	32	211	96
g633	579	637	1035	953	2229	2055
g634	107	115	171	316	144	127
g635	95	162	112	89	252	174
g636	8	21	11	83	76	132
g637	95	87	127	122	84	242
g638	6045	5802	3649	8167	9969	5628
g639	962	1696	1660	1638	2689	1315
g640	0	25	0	142	325	116
g641	134	61	101	91	512	91
g642	76	71	49	235	374	198
g643	1	0	0	4	34	0
g644	146	236	153	101	138	333
g645	2400	2143	2871	5707	7578	7898
g646	321	109	116	916	1920	323
g647	507	957	875	1648	2108	1518
g648	105	56	121	102	126	155
g649	1005	1291	1319	1193	2178	1488
g650	89	47	114	246	280	170
g651	1	5	2	0	1	0
g652	55	53	16	63	49	138
g653	321	339	92	679	875	523
g654	304	1884	15	503	2529	119
g655	408	369	647	1433	2185	2274
g656	0	12	2	37	0	20
g657	3034	4586	3691	5930	9449	6320
g658	55	64	285	321	183	223
g659	1438	1542	2482	2741	4527	3161
g660	1018	1712	2207	2423	4612	2406
g661	825	656	951	339	1218	2265
g662	5	20	0	3	16	4
g663	0	29	19	34	7	4
g664	104	166	148	227	146	199
g665	51	86	44	113	109	101
g666	49	24	42	13	42	58
g667	82	101	28	121	555	465
g668	792	1597	1224	4870	1416	2480
g669	376	241	269	263	334	325
g670	25	7	23	22	67	35
g671	167	86	189	534	339	891
g672	4337	2287	3582	5241	6601	2316
g673	97	116	86	252	631	313
g674	7	20	22	21	31	26
g675	299	68	122	143	185	187
g676	49	123	153	88	304	224
g677	25	21	21	57	103	30
g678	0	63	46	204	105	548
g679	0	2	6	17	35	19
g680	6	19	304	161	53	3
g681	38	150	58	124	149	349
g682	492	265	265	33	400	917
g683	134	120	166	253	268	446
g684	1	0	50	4	105	4
g685	3	4	2	9	9	3
g686	4492	4141	4490	8042	9754	6680
g687	1499	1282	1352	1365	2459	1782
g688	275	464	326	325	704	1490
g689	969	1498	1160	1289	1773	2328
g690	123	136	158	229	556	192
g691	7	3	10	9	20	12
g692	19	6	34	22	31	41
g693	2	1	1	197	0	1
g694	576	370	791	3955	3579	2282
g695	58	44	58	62	145	25
g696	62	29	24	983	448	180
g697	8	1	19	8	6	216
g698	4110	6262	4042	7470	13369	14255
g699	21	60	59	232	217	142
g700	3738	3416	3130	4656	8182	6568
g701	12	2	56	111	14	108
g702	0	5	6	5	2	23
g703	152	314	524	450	996	514
g704	35	29	0	5	17	1
g705	73	60	67	149	34	89
g706	1131	2217	1499	761	2016	2283
g707	848	749	559	2571	3956	3921
g708	17	3	6	1	2	6
g709	36	29	8	61	121	42
g710	658	512	684	1866	2476	3282
g711	12405	11841	15172	13576	15729	10073
g712	84	235	45	47	29	1065
g713	188	230	166	365	678	293
g714	857	1069	975	4152	3918	4329
g715	28	52	86	43	105	222
g716	516	851	1475	513	1543	1303
g717	957	468	500	2688	1722	1925
g718	89	50	27	126	219	102
g719	0	1	5	0	0	3
g720	0	0	4	12	5	4
g721	343	324	359	411	522	562
g722	7061	9042	7692	7135	12754	17787
g723	2647	1106	1373	2425	4236	1694
g724	326	608	822	517	902	552
g725	4	0	0	9	5	3
g726	762	1305	1213	1072	2233	1474
g727	0	0	0	2	13	1
g728	3169	3157	1963	2995	5526	5843
g729	41	40	30	95	375	123
g730	64	0	0	32	0	56
g731	6258	4233	3226	6994	7126	9040
g732	426	357	205	1367	1105	1913
g733	6588	5118	5308	10729	16221	11906
g734	5	3	8	11	22	4
g735	130	87	100	121	235	191
g736	14	6	5	42	7	8
g737	50	57	41	81	63	93
g738	9	1	9	27	25	8
g739	288	231	482	143	910	898
g740	224	1071	1470	884	1551	799
g741	11	7	48	24	145	33
g742	420	376	328	187	304	712
g743	495	109	598	263	552	1206
g744	781	843	468	974	9543	668
g745	338	217	267	452	331	411
g746	167	181	156	187	383	255
g747	159	189	134	115	150	91
g748	16	3	18	63	176	25
g749	10248	6289	7480	21833	18620	21874
g750	37	110	290	300	203	291
g751	93	111	149	28	49	51
g752	241	231	355	145	49	154
g753	270	172	305	47	76	66
g754	517	414	222	179	193	168
g755	164	108	154	56	61	37
g756	3	6	1	0	0	3
g757	505	416	528	128	209	209
g758	32	49	10	1	13	1
g759	756	711	1045	155	505	334
g760	68	57	148	72	234	47
g761	11858	4720	9811	2103	3234	2898
g762	13	0	5	0	2	2
g763	364	501	629	255	426	346
g764	2	6	3	1	0	1
g765	344	212	810	257	135	144
g766	18	92	77	47	80	96
g767	85	117	104	47	33	72
g768	9	20	21	4	14	16
g769	1062	2497	2669	443	790	682
g770	784	1268	1162	260	601	479
g771	224	188	206	46	87	63
g772	27	7	250	1	7	89
g773	487	218	502	140	262	108
g774	42	11	14	5	0	9
g775	64	62	48	38	38	28
g776	21	61	38	0	4	3
g777	46	9	64	25	6	36
g778	1	2	5	2	4	0
g779	1619	2490	724	619	1321	424
g780	11	20	48	10	1	6
g781	1461	930	2110	929	724	520
g782	213	175	315	413	119	261
g783	1717	1308	2327	274	383	360
g784	414	466	345	101	123	254
g785	1979	2965	2495	322	294	434
g786	422	426	988	75	200	263
g787	477	647	852	97	158	127
g788	9	8	1	1	6	1
g789	137	118	279	75	130	93
g790	15	0	6	3	1	0
g791	93	254	288	342	1094	328
g792	1122	1650	1848	324	514	388
g793	0	1	20	0	1	4
g794	35	23	41	2	13	8
g795	11	11	48	22	36	14
g796	1	6	0	0	0	0
g797	23	52	21	18	39	110
g798	556	695	441	202	221	237
g799	1311	1626	1407	812	1630	587
g800	482	397	316	57	77	43
g801	839	642	663	256	325	204
g802	86	115	165	43	38	32
g803	199	117	211	18	45	51
g804	8224	3492	9977	2442	4575	3469
g805	1449	1597	2409	1088	1953	801
g806	48	34	36	27	50	14
g807	4179	7142	2743	3930	2049	1912
g808	2618	2149	1905	68	806	737
g809	6543	5348	7093	2569	1385	2681
g810	10	24	6	5	6	4
g811	1566	1662	2395	299	625	339
g812	40	28	23	2	6	5
g813	2	12	44	0	2	0
g814	14	52	103	1	31	0
g815	403	560	646	75	111	118
g816	1969	1229	1405	502	643	734
g817	3564	2455	3171	768	1499	857
g818	1	7	0	0	6	0
g819	10	13	1	3	0	2
g820	1555	2015	1277	646	932	266
g821	46	102	15	24	40	37
g822	21	15	33	2	10	7
g823	1013	282	1192	250	149	208
g824	0	0	0	5	6	0
g825	197	261	64	17	155	327
g826	435	340	458	163	212	146
g827	148	24	23	0	17	56
g828	249	340	102	67	101	15
g829	2	0	4	0	4	0
g830	12	6	14	4	6	9
g831	15910	15090	16747	5924	3785	3387
g832	1693	1063	2626	395	523	272
g833	126	186	113	49	44	31
g834	17	21	8	5	12	14
g835	40	18	22	9	4	46
g836	54	38	37	29	37	18
g837	201	214	30	20	63	63
g838	1037	794	1483	928	153	393
g839	156	276	50	84	26	20
g840	3	7	10	4	3	3
