	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12
g107	2590	2365	5513	4312	2384	6009	17873	10972	8497	15332	7283	14909
g108	491	168	229	592	712	882	1433	1125	2381	991	988	1041
g109	35	0	0	1	0	205	165	165	0	0	1	0
g110	1402	2415	4064	5324	2818	3731	5130	5525	9221	3473	14719	2493
g111	12	14	1	6	2	27	95	7	39	32	17	15
g112	17	7	31	56	26	15	169	86	5	26	131	10
g113	5	1	17	19	12	0	34	16	40	56	45	1
g114	5	10	21	12	57	48	31	31	33	81	117	40
g115	103	133	19	130	319	254	393	43	448	1115	241	48
g116	32	69	20	42	59	58	157	183	138	268	208	32
g117	106	75	35	4	14	36	675	165	124	319	24	234
g118	139	68	167	264	188	179	603	962	195	257	483	209
g119	304	412	423	554	547	630	802	992	823	1373	1022	600
g120	1711	814	1359	1865	1204	1325	3147	1872	1429	2325	2808	1464
g121	367	150	320	148	454	140	67	802	1105	177	597	383
g122	207	227	176	287	145	199	313	398	187	266	402	126
g123	7	6	10	7	9	18	76	31	55	82	59	37
g124	1286	115	833	373	329	1566	666	2479	1234	3562	5377	3342
g125	863	469	928	1054	594	1215	1047	1552	958	1546	2315	618
g126	13686	8632	10732	46628	27585	21636	12651	37506	51507	45935	37647	26050
g127	133	329	195	768	822	634	951	175	499	978	345	563
g128	713	716	1311	810	986	1202	2269	2721	1959	1745	2634	1596
g129	255	356	282	331	309	343	965	734	877	1052	701	687
g130	0	47	39	0	1	0	21	0	0	1	84	0
g131	1666	3260	3499	5175	4039	3864	5858	9730	7216	8071	10973	4253
g132	70	140	58	6	133	82	108	90	55	5	53	88
g133	1041	734	1389	679	1097	971	1850	3190	1325	1766	683	743
g134	881	1231	1404	1176	1602	1807	1983	927	1859	2399	4741	1809
g135	18	10	17	30	12	79	64	251	138	35	78	61
g136	1146	1156	1062	1183	925	1756	4444	4533	4309	4721	5214	3674
g137	33	58	18	89	129	187	350	409	122	530	349	25
g138	448	717	1206	993	681	1456	3210	4668	2962	2116	2898	1900
g139	477	395	642	1186	233	829	1796	1713	1135	895	1136	843
g140	7	8	7	10	8	8	16	8	17	18	15	7
g141	32	40	28	58	42	40	73	113	112	312	134	8
g142	7	2	3	6	5	1	6	7	5	13	2	7
g143	1	6	2	2	1	3	9	4	5	0	7	14
g144	421	254	326	461	419	656	968	1275	542	2085	283	881
g145	371	390	492	702	625	615	1002	1197	745	735	1089	516
g146	556	799	499	717	423	759	1605	2037	1560	1970	2107	897
g147	1358	1461	1571	1641	1875	2310	4653	3155	6397	7507	7433	2454
g148	4	6	9	2	12	11	35	34	11	65	3	6
g149	5	5	1	1	1	4	17	26	10	58	25	29
g150	5	19	23	12	19	30	28	40	18	47	44	24
g151	2	1	0	5	17	9	5	0	2	13	12	0
g152	1663	535	748	890	109	1817	261	1692	654	715	1348	408
g153	1995	4032	2690	2055	1233	2415	1361	2736	2926	6495	8262	2491
g154	1249	1241	1239	1809	2593	2180	2328	1365	1864	2665	2416	788
g155	38	100	69	55	103	79	313	460	103	179	308	123
g156	1147	1043	1680	2712	2670	2628	6873	4572	2204	4350	3465	1532
g157	860	787	918	1306	1010	1165	1690	1774	1689	1711	2143	731
g158	635	668	794	1195	1297	2724	4681	3711	6606	4130	7625	3754
g159	1133	1712	2544	1912	1616	1663	4971	6235	3770	5103	4608	1787
g160	2849	3796	1972	1057	4006	2122	3707	6668	3006	4205	8612	5135
g161	116	38	44	84	20	61	75	69	44	458	167	31
g162	153	56	41	114	24	129	64	52	35	279	121	53
g163	29	22	40	44	43	44	132	135	126	95	95	42
g164	874	643	494	746	516	1681	2159	3825	1736	2497	2898	1827
g165	1	0	16	3384	3	175	313	1	206	602	1786	0
g166	9	6	11	9	13	10	6	20	24	14	12	6
g167	388	372	567	474	417	391	1330	1068	775	1380	1266	560
g168	15	5	0	15	21	8	20	1	29	1	3	1
g169	3	1	3	2	2	5	4	0	11	4	11	0
g170	11	25	10	10	13	16	15	3	34	12	0	37
g171	3	2	16	21	12	9	2	10	11	42	4	9
g172	130	28	101	152	53	24	271	201	135	30	156	28
g173	9	25	43	48	107	120	485	775	303	444	224	282
g174	8733	8840	7967	8704	11644	13385	9137	15090	7478	17365	21434	12567
g175	2	1	12	2	3	5	12	5	11	3	13	2
g176	991	1094	946	1338	931	1214	1881	1590	1700	2133	2623	903
g177	0	3	0	5	0	4	1	14	71	13	1	0
g178	154	6	160	295	43	318	165	706	60	38	372	3
g179	4	22	4	3	24	12	12	9	194	639	33	1
g180	654	1498	777	1696	4407	1411	3090	2333	1980	1063	2781	506
g181	6	16	13	3	16	12	33	11	5	8	28	7
g182	4769	5305	11304	11285	8526	19194	7906	17323	11772	24112	8942	5311
g183	119	99	90	270	147	216	219	516	99	153	410	130
g184	1	12	0	5	0	3	1	30	12	10	44	2
g185	723	602	355	709	485	748	915	1550	548	1512	1559	710
g186	27	67	43	97	84	15	89	204	137	138	246	90
g187	6	14	22	9	7	14	40	8	13	48	15	14
g188	394	562	573	639	678	581	1234	1363	733	1019	1015	750
g189	24	6	0	9	4	8	22	14	14	7	44	26
g190	349	606	918	596	846	827	891	706	732	1347	1288	547
g191	0	3	6	6	9	59	602	13	120	18	209	69
g192	107	132	104	168	143	135	142	319	189	249	155	89
g193	192	168	127	136	68	220	259	284	245	364	301	129
g194	132	165	127	88	103	125	638	442	585	343	891	260
g195	442	126	407	721	292	312	690	403	327	336	884	287
g196	1519	1495	906	2544	2038	950	4494	3767	7132	2123	5901	2050
g197	284	280	257	271	475	278	702	988	431	1645	875	274
g198	262	125	252	239	259	226	247	221	305	525	324	239
g199	40	91	64	331	64	221	27	158	190	185	1143	241
g200	214	57	347	257	60	280	48	240	116	138	171	809
g201	0	35	2	6	9	10	1	1	0	71	37	0
g202	0	1	0	2	0	0	27	0	10	1	9	7
g203	402	191	217	436	232	420	1012	617	408	389	1213	303
g204	0	28	168	46	116	58	453	43	285	419	228	244
g205	22	6	0	11	17	2	41	0	152	39	9	0
g206	0	0	10	4	0	6	7	12	5	3	1	6
g207	5	1	3	2	4	4	52	2	18	51	36	7
g208	387	244	331	315	281	229	1223	585	776	940	1029	365
g209	53	50	46	67	49	86	89	209	151	210	218	132
g210	9	6	8	8	15	3	5	7	14	0	18	3
g211	4	0	1	0	0	0	0	0	1	7	0	0
g212	7	2	8	9	8	35	51	28	15	34	19	23
g213	2	1	0	97	0	1	0	8	418	1	3	0
g214	463	525	590	517	793	627	1085	1052	1102	1388	1052	529
g215	0	3	2	2	11	16	1	4	42	21	11	1
g216	814	573	946	678	988	1039	2110	2703	1853	4000	3324	1007
g217	5	5	5	0	5	5	8	9	7	7	18	1
g218	190	177	211	108	50	192	81	163	94	242	228	171
g219	1151	719	1589	2156	2912	1390	5507	2898	4139	5770	6063	2054
g220	19251	17658	17513	20618	17576	21831	18776	27517	54017	60710	42107	22317
g221	18	12	48	21	15	65	80	89	10	26	92	11
g222	3793	3724	4525	5876	4257	4539	11220	10192	6808	13473	8396	6601
g223	2732	2412	2124	3014	8045	5996	9094	18766	13504	8530	11617	3630
g224	92	101	132	40	81	117	130	45	79	76	412	0
g225	562	1605	2223	1833	2227	1978	12132	839	24835	11427	16104	12303
g226	11	31	27	15	22	28	87	133	74	63	102	49
g227	425	323	424	365	270	299	884	1016	528	1043	972	425
g228	752	1035	2016	2488	2035	2754	4274	2393	2017	5829	3272	2479
g229	239	99	141	266	65	184	366	377	306	427	374	241
g230	0	34	22	54	14	24	36	254	41	22	160	92
g231	238	196	274	510	295	264	960	504	514	550	688	515
g232	20	30	7	28	11	27	18	33	63	69	14	21
g233	91	23	13	100	513	68	68	248	104	1674	303	286
g234	13	10	10	14	17	33	17	24	11	41	54	38
g235	1054	849	915	1033	953	1249	3314	3267	2887	2824	6767	1779
g236	141	115	120	131	133	130	62	194	181	233	431	135
g237	748	567	877	694	877	713	1568	1195	1319	1519	1529	560
g238	56	43	91	58	18	36	256	197	96	105	76	49
g239	250	227	459	433	392	397	570	131	645	1495	507	1190
g240	107	117	149	153	207	202	484	288	318	444	441	221
g241	7	3	9	6	3	12	25	11	24	24	18	7
g242	206	276	235	564	667	574	615	491	492	843	1616	248
g243	17	29	8	7	5	18	28	14	30	27	62	39
g244	881	685	831	667	840	707	2040	2972	2557	2640	3814	1323
g245	3	1	6	13	2	3	16	27	22	19	24	15
g246	69	8	8	4	56	31	36	5	16	3	0	8
g247	6	10	7	4	8	26	5	26	6	24	24	3
g248	219	203	321	413	621	595	767	1117	652	508	1049	391
g249	16	5	25	10	2	18	14	38	56	125	13	35
g250	324	201	484	261	197	300	743	1065	859	828	684	392
g251	39	29	12	38	15	43	50	9	44	96	177	17
g252	6103	4334	5436	5969	5476	5775	27681	30517	15945	18247	12891	11577
g253	98	52	34	45	41	74	22	93	85	29	145	15
g254	0	18	0	6	0	0	13	50	5	9	2	3
g255	33	31	31	16	27	25	51	66	34	65	54	34
g256	13	40	30	27	23	18	45	31	44	19	66	10
g257	60	68	40	77	109	56	144	78	181	158	121	74
g258	236	103	87	235	160	275	848	611	1122	924	331	706
g259	5	7	7	6	5	14	15	12	10	9	9	4
g260	4	9	10	9	13	3	8	26	10	31	14	16
g261	9	208	5	107	33	11	26	100	143	9	551	96
g262	1	8	41	1	250	0	15	25	5	128	26	2
g263	243	154	363	260	19	466	492	62	417	465	608	194
g264	42	68	68	87	95	114	254	318	196	502	359	181
g265	727	1003	1098	1094	833	1256	1889	1427	1248	2004	1978	966
g266	10	7	10	11	11	3	5	21	2	6	8	0
g267	43	54	33	60	106	47	204	140	255	243	635	26
g268	4619	3408	2930	9943	3325	6165	40997	35214	22045	39201	16839	16313
g269	765	444	661	2460	743	1620	2292	4955	5214	3074	3591	1967
g270	521	283	498	730	629	1322	3316	1560	764	2084	553	744
g271	505	290	477	650	367	683	843	721	917	1203	834	530
g272	51	135	98	246	51	234	464	901	555	337	906	56
g273	497	332	897	620	1063	409	4078	2948	3482	2498	2811	1394
g274	467	724	1103	944	1137	801	2181	1052	2910	3241	2986	1434
g275	2	1	2	5	2	2	28	19	4	34	61	13
g276	182	51	90	103	76	68	80	108	149	272	152	95
g277	8	1	2	8	15	36	55	110	15	6	25	34
g278	55	51	81	43	81	136	184	137	266	290	164	116
g279	5	1	0	11	10	2	5	4	3	0	26	2
g280	224	328	259	377	377	442	938	694	615	835	620	392
g281	909	1006	1279	1313	865	4229	4037	2220	2281	3808	2264	1184
g282	138	86	115	65	372	41	940	53	103	3754	96	145
g283	2353	1189	1521	2609	1927	2172	13531	8592	8486	9915	7700	3390
g284	251	448	643	392	436	376	922	1574	702	826	1090	513
g285	388	274	367	360	350	290	846	607	647	795	637	335
g286	1512	2085	1298	2396	3236	3434	1770	2470	1438	5059	3305	3292
g287	2	6	9	3	3	4	6	8	9	6	8	4
g288	353	175	275	488	270	932	657	350	577	725	714	435
g289	220	161	60	248	103	303	276	257	345	697	307	107
g290	6	23	33	10	41	10	72	26	36	68	26	75
g291	9	0	31	0	13	25	8	15	12	31	48	2
g292	2416	2301	3234	4269	4138	5875	5712	10001	7542	6723	8203	4164
g293	0	3	2	2	0	0	1	0	0	0	1	1
g294	934	715	914	1636	988	873	5198	2849	5242	4240	7044	2928
g295	3	12	2	20	7	4	94	71	8	4	16	9
g296	94	54	124	46	19	101	762	820	768	477	659	278
g297	2699	1263	3247	1748	1830	4300	10125	8934	6426	14862	5285	3747
g298	0	2	4	2	0	0	9	2	1	3	8	7
g299	240	324	1067	1164	437	151	760	1258	2348	1759	1961	726
g300	200	233	280	233	199	231	642	985	604	652	868	305
g301	248	304	367	483	263	266	734	394	594	448	751	337
g302	625	408	277	321	989	60	1209	340	39	1262	648	657
g303	88	18	5	23	2	87	35	14	107	108	1	8
g304	2	0	0	2	0	2	2	2	4	3	13	3
g305	22	29	50	140	0	50	32	44	26	4	10	19
g306	216	226	347	324	262	409	776	717	459	658	657	340
g307	0	0	0	1	12	58	0	1	2	0	172	0
g308	3701	3993	3288	1738	3519	3719	7950	5486	6169	6969	7329	3730
g309	17452	20507	15451	23137	26868	14676	47726	31644	46024	73066	63009	19382
g310	26	38	2	21	43	17	141	83	36	87	37	33
g311	386	1146	951	752	887	1059	6139	7315	4835	4398	3115	2176
g312	31157	16957	6442	27036	13806	32551	100199	49309	45656	44021	52097	42545
g313	4	8	10	15	15	12	27	28	22	31	58	8
g314	48	107	75	98	42	107	142	285	188	149	156	76
g315	2	17	14	2	1	9	10	5	8	8	0	8
g316	1572	1227	1674	2541	1508	1356	4653	3606	3882	5646	6542	1852
g317	113	90	82	145	53	76	447	704	528	351	788	292
g318	1916	2412	2393	2222	4091	3894	2783	3559	2666	4866	2277	2170
g319	3523	2999	2556	2187	1219	6176	9583	10977	6836	11176	4580	3416
g320	165	239	221	423	334	513	574	400	475	909	724	599
g321	522	661	484	385	1272	436	2651	1564	712	2274	3086	836
g322	167	139	245	78	99	257	436	503	427	458	647	228
g323	36	7	13	13	14	18	65	105	63	99	176	18
g324	409	390	348	828	469	438	956	514	515	483	1557	395
g325	93	71	148	324	255	96	120	178	163	238	258	155
g326	1656	1676	3860	2810	2065	3628	4462	10313	7775	12494	11718	2283
g327	50	39	65	43	21	104	169	208	64	179	109	110
g328	175	67	137	113	130	15	191	152	343	208	448	202
g329	4	5	6	4	11	21	33	40	20	28	15	34
g330	347	284	197	193	338	373	581	698	303	1001	1172	340
g331	89	40	75	42	162	67	208	92	119	185	182	112
g332	2489	2310	1387	1411	2150	1935	4338	2290	11439	11183	10599	6440
g333	0	4	14	24	16	8	12	6	3	38	9	11
g334	1205	887	931	674	593	642	2372	2312	1512	2627	2207	1076
g335	343	426	572	400	407	513	964	884	628	1156	785	506
g336	1308	1411	1576	2149	1641	1420	3463	4472	3587	4297	6090	3343
g337	74	75	70	147	229	72	173	381	337	217	89	214
g338	22	30	8	6	18	20	119	55	50	87	42	62
g339	7	5	8	2	1	20	10	2	31	9	104	5
g340	733	1619	377	3200	550	3826	274	3059	415	462	1825	853
g341	59	57	90	46	68	105	266	241	200	275	396	310
g342	540	666	392	716	809	1366	1431	1405	1587	1158	1859	1397
g343	577	646	588	604	514	859	980	1650	1100	1106	1775	734
g344	440	720	1006	420	1952	884	4072	5659	4881	7192	4071	4343
g345	117	73	248	86	45	111	555	527	347	132	373	410
g346	147	30	49	42	40	66	97	103	132	14	167	27
g347	66	168	87	131	118	28	111	80	248	188	264	337
g348	3	6	2	8	4	5	5	11	15	5	28	10
g349	1469	3351	5626	7610	3909	5827	9321	16354	17674	14795	16163	7547
g350	125	132	95	380	411	251	376	352	686	655	333	336
g351	52	20	49	93	97	18	165	75	187	315	239	38
g352	2091	3087	2570	2760	2605	3380	6971	4550	4423	4334	5022	2397
g353	145	44	48	70	41	148	238	331	96	283	406	103
g354	232	152	229	285	261	333	816	853	782	455	1563	399
g355	2118	2960	2308	2917	1795	1948	3547	3575	3487	4016	5872	2568
g356	5	9	7	6	1	11	15	2	12	13	14	11
g357	1317	1803	3305	646	2487	1604	1506	4453	5084	3484	3889	159
g358	3	2	2	6	9	5	8	11	7	6	10	4
g359	3782	5281	6123	4812	4610	6287	12854	8106	8769	12918	19801	6881
g360	3294	3448	4650	4431	2716	6040	7070	9022	3478	4147	9348	1757
g361	364	236	641	316	385	561	1571	1526	765	748	863	868
g362	1	4	2	19	1	11	4	4	27	8	5	14
g363	31	5	6	48	20	15	23	38	7	44	11	14
g364	4037	5290	5737	4998	5682	4665	15479	8371	8238	7906	8043	7099
g365	26	21	22	15	10	31	35	81	49	73	44	44
g366	31	13	13	30	16	155	210	98	147	52	267	142
g367	5	6	7	4	4	4	5	14	11	22	14	10
g368	278	150	14	100	224	51	406	343	144	336	201	35
g369	16184	14805	10589	17120	13590	18964	30173	49376	46981	75429	46193	16876
g370	10	8	22	0	6	2	4	1	14	3	0	5
g371	442	529	618	511	715	510	1232	881	779	1009	858	592
g372	37	18	14	22	41	34	28	29	59	34	52	21
g373	24	98	17	27	71	183	269	192	140	318	255	198
g374	294	796	231	280	190	477	806	1374	527	899	1120	225
g375	303	218	188	558	290	428	1200	924	1603	1902	805	2193
g376	577	453	837	1780	1436	2602	12087	8163	9127	8858	5322	6941
g377	504	375	612	526	589	652	1707	1376	1638	1883	1978	859
g378	921	1133	1238	1632	1381	1102	2644	2389	3312	3836	3579	2214
g379	3	11	11	23	1	2	1	13	14	20	19	13
g380	2702	2078	3667	3037	870	3765	8620	10329	6281	10657	8600	4464
g381	932	319	497	1472	534	663	1580	2256	1411	2847	2208	589
g382	12	62	29	82	36	53	49	42	5	39	58	37
g383	79	57	195	15	96	257	111	97	33	169	294	78
g384	55	32	53	52	105	164	295	227	341	570	212	281
g385	456	571	422	472	546	785	937	1016	967	1127	996	462
g386	3495	3716	5406	6212	4761	4312	7946	7243	6020	9497	9635	5479
g387	295	275	969	862	839	98	494	739	910	917	907	414
g388	4527	5944	10514	8000	7705	7563	16767	17902	12267	16655	17038	12145
g389	119	220	163	204	143	194	444	285	205	309	356	254
g390	0	0	5	0	7	1	0	44	22	40	2	70
g391	11	7	4	10	15	9	1	4	42	30	87	1
g392	7	21	37	6	11	25	8	79	25	47	26	31
g393	89	58	101	112	97	115	302	370	324	317	371	170
g394	286	234	393	401	287	362	512	478	359	653	816	371
g395	2391	2391	3006	2625	2090	2517	3561	4207	2763	3916	3458	2679
g396	63	6	33	46	26	14	204	81	124	101	104	60
g397	367	403	559	532	902	537	996	706	674	847	794	730
g398	1275	1688	1795	1585	2042	2349	7786	9743	6542	10775	6833	4600
g399	980	1943	876	367	1559	538	1808	1488	1409	2933	683	1667
g400	27	56	125	91	93	53	31	99	82	165	38	18
g401	917	797	478	942	1097	783	1161	2657	2208	1547	1624	500
g402	13249	22138	5399	8000	12623	33589	32905	7139	9788	12710	40380	13688
g403	379	151	885	263	219	571	703	868	1779	2149	692	401
g404	19	31	15	19	31	65	58	4	152	104	46	13
g405	5	5	27	1	49	39	50	242	36	50	0	1
g406	71	95	79	63	23	40	50	145	55	136	23	36
g407	6	29	14	26	9	0	32	5	0	31	57	2
g408	0	4	0	15	1	0	0	0	46	0	16	3
g409	26	44	39	19	47	80	78	93	36	51	150	56
g410	34	34	66	104	95	39	78	105	105	116	98	31
g411	64	73	64	71	74	104	293	248	132	358	302	170
g412	75	50	27	32	47	90	106	217	69	137	144	46
g413	354	965	422	786	825	528	1583	858	1353	999	1291	822
g414	92	85	31	104	499	155	518	547	215	1341	1740	221
g415	8412	5923	6934	13788	13131	9229	31052	19982	26424	37364	31559	14205
g416	154	61	148	71	212	296	654	94	368	393	591	413
g417	45	71	53	71	115	115	92	136	178	126	94	66
g418	186	473	556	426	749	336	399	474	641	450	669	239
g419	65	48	35	35	65	49	109	82	65	152	50	155
g420	3	1	1	3	2	4	5	3	5	4	5	4
g421	381	200	400	287	369	778	415	1171	680	679	716	359
g422	500	373	615	354	459	624	1020	1164	979	914	1304	550
g423	9	34	29	7	25	15	3	23	23	75	37	7
g424	1	12	0	2	11	0	11	9	7	5	7	2
g425	81	155	161	166	179	211	362	135	652	304	154	59
g426	9	2	26	12	15	21	32	4	17	10	23	12
g427	273	355	387	547	441	468	831	1244	995	1239	2126	448
g428	1141	628	925	1379	1093	2324	4858	3549	2519	2627	5394	3649
g429	7814	8527	11228	12170	12311	15385	22869	26821	23299	28197	33060	16016
g430	10	43	46	81	31	65	56	82	64	45	26	42
g431	13	2	0	92	135	33	22	4	83	3	36	94
g432	8298	3765	2588	5684	8384	8782	14590	5813	9802	10489	9668	8085
g433	290	239	322	340	245	427	460	549	382	749	594	368
g434	1457	230	1151	676	720	1226	3101	1327	370	3143	1189	1116
g435	0	25	14	2	0	8	3	73	1	0	18	1
g436	97	88	181	61	120	129	220	175	279	363	208	195
g437	61	52	53	32	25	44	55	21	35	50	105	58
g438	843	475	1272	843	871	704	2339	1389	2256	3636	2963	1058
g439	18	16	30	6	23	8	58	50	33	139	65	39
g440	9	5	13	8	19	48	67	154	25	38	27	14
g441	995	478	422	723	747	408	823	1224	1387	1261	1004	732
g442	156	310	131	67	194	113	744	54	329	74	74	106
g443	67	171	97	60	258	138	667	333	103	106	279	97
g444	580	806	633	857	1498	1716	2503	2508	2221	8181	5592	975
g445	133	221	206	154	183	116	345	473	632	480	652	283
g446	654	1033	660	519	814	625	3732	4313	3064	2872	6533	2608
g447	549	789	748	974	1160	1133	2389	3698	1883	2750	2880	1534
g448	6	7	2	2	2	3	3	7	10	22	22	29
g449	2	7	17	11	10	12	46	26	19	35	23	14
g450	9404	5663	6220	11680	8332	7843	19687	11803	8121	23047	13043	13298
g451	69	58	96	49	102	36	98	96	108	100	173	50
g452	27	124	128	198	119	370	1144	89	857	643	589	140
g453	14	15	12	3	6	24	32	20	26	14	56	12
g454	1163	1164	312	1682	951	846	2098	1072	4408	2167	1647	480
g455	10	3	14	8	12	2	21	6	15	12	24	6
g456	419	790	853	1091	778	819	671	1099	1366	910	1664	1226
g457	586	587	641	706	605	873	1147	1085	1516	1732	1472	727
g458	19	82	67	122	74	70	103	79	94	75	32	104
