"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g3131","g8134","g7569","g4003","g8831","g7756","g2255","g2185",NA
"g4019","g8594","g7917","g4044","g9313","g8462","g2995","g2512",NA
"g4870","g3537","g8659","g6509","g9852","g8831","g3020","g3583",NA
"g5282","g4440","g8660","g7325","g1797","g9313","g336","g8134",NA
"g5661","g4473","g8713","g7569","g2957","g2255","g3837","g8594",NA
"g6162","g4545","g9406","g7917","g2995","g2995","g4003","g8945",NA
"g7130","g7462","g9842","g8659","g3020","g3020","g4044","g1309",NA
"g4847","g8818","g1009","g8660","g336","g336","g5282","g2572",NA
"g5440","g9224","g1017","g8713","g4003","g4003","g6509","g4828",NA
"g8982","g9898","g3583","g8880","g4044","g4044","g7325","g7457",NA
NA,"g2928","g4275","g9406","g6509","g6509","g7569","g9224",NA
NA,"g3279","g7716","g9842","g7325","g7325","g7585","g2380",NA
NA,"g4796","g8134","g1009","g7569","g7569","g7917","g4492",NA
NA,"g5241","g8594","g1017","g7917","g7917","g8659","g5972",NA
NA,"g5962","g9248","g2185","g8659","g8659","g8660","g6071",NA
NA,"g5972","g1309","g2512","g8660","g8660","g8880","g6793",NA
NA,"g6071","g3537","g3583","g8713","g8713","g9406","g9425",NA
NA,"g6793","g4440","g4275","g8880","g8880","g9442","g2251",NA
NA,"g7784","g4473","g7716","g9406","g9406","g9489","g4870",NA
NA,"g7920","g4545","g8134","g9442","g9442","g9842","g6092",NA
NA,"g9364","g4738","g8594","g9842","g9489","g1017","g1200",NA
NA,"g9425","g7393","g9248","g1017","g9842","g1296","g5325",NA
NA,"g2251","g7457","g1309","g2185","g1017","g2185","g7130",NA
NA,"g3131","g7462","g3255","g2512","g1296","g2512","g7919",NA
NA,"g4019","g8174","g3537","g3583","g2185","g3583","g3456",NA
NA,"g4870","g8818","g4402","g3670","g2512","g3670","g4847",NA
NA,"g5282","g9224","g4440","g7716","g3583","g4833","g5060",NA
NA,"g5354","g9898","g4473","g8134","g3670","g7716",NA,NA
NA,"g5661","g2147","g4545","g8594","g4262","g8065",NA,NA
NA,"g6092","g2928","g4738","g9248","g4833","g8134",NA,NA
NA,"g3818","g3279","g4833","g1309","g7716","g8594",NA,NA
NA,"g6162","g3734","g7393","g3255","g8065","g8945",NA,NA
NA,"g7130","g3997","g7457","g3537","g8134","g1309",NA,NA
NA,"g8794","g4042","g7462","g4402","g8594","g2572",NA,NA
NA,"g2964","g4796","g8174","g4440","g8945","g3255",NA,NA
NA,"g4847","g5241","g8818","g4473","g1309","g4440",NA,NA
NA,"g5440","g5962","g9224","g4545","g2572","g4473",NA,NA
NA,"g6841","g5972","g9898","g4738","g3255","g4738",NA,NA
NA,"g8982","g6071","g1751","g4833","g3537","g4828",NA,NA
NA,NA,"g6793","g2147","g7393","g3553","g7393",NA,NA
NA,NA,"g7784","g2928","g7457","g4440","g7457",NA,NA
NA,NA,"g7920","g3279","g7462","g4473","g9224",NA,NA
NA,NA,"g9425","g3734","g8174","g4738","g9898",NA,NA
NA,NA,"g2251","g3997","g8818","g4828","g1751",NA,NA
NA,NA,"g3131","g4042","g9224","g7244","g2374",NA,NA
NA,NA,"g4019","g4796","g9898","g7393","g2380",NA,NA
NA,NA,"g4870","g5214","g1613","g7457","g3060",NA,NA
NA,NA,"g5282","g5241","g1751","g7462","g3997",NA,NA
NA,NA,"g5354","g5962","g2147","g8174","g4492",NA,NA
NA,NA,"g5661","g5972","g2928","g8818","g5241",NA,NA
NA,NA,"g6092","g6071","g3060","g9224","g5962",NA,NA
NA,NA,"g2595","g6793","g3279","g9898","g5972",NA,NA
NA,NA,"g3818","g7784","g3734","g1086","g6071",NA,NA
NA,NA,"g4412","g7920","g3997","g1613","g6771",NA,NA
NA,NA,"g6676","g9425","g4042","g1751","g6793",NA,NA
NA,NA,"g7130","g2251","g4269","g2147","g7920",NA,NA
NA,NA,"g8794","g3131","g4796","g2374","g9425",NA,NA
NA,NA,"g2964","g4019","g5214","g3060","g2251",NA,NA
NA,NA,"g4847","g4870","g5241","g3734","g3131",NA,NA
NA,NA,"g5440","g5282","g5962","g3997","g4019",NA,NA
NA,NA,"g6841","g5354","g5972","g4042","g4870",NA,NA
NA,NA,"g8982","g5661","g6071","g4269","g5354",NA,NA
NA,NA,NA,"g6092","g6771","g4492","g6092",NA,NA
NA,NA,NA,"g2595","g6793","g5241","g7789",NA,NA
NA,NA,NA,"g3771","g7784","g5962","g1200",NA,NA
NA,NA,NA,"g3818","g7920","g5972","g3818",NA,NA
NA,NA,NA,"g4412","g9425","g6071","g4973",NA,NA
NA,NA,NA,"g5844","g2251","g6771","g5325",NA,NA
NA,NA,NA,"g6676","g3131","g6793","g7130",NA,NA
NA,NA,NA,"g7130","g4019","g7920","g7919",NA,NA
NA,NA,NA,"g8794","g4870","g9425","g1900",NA,NA
NA,NA,NA,"g1744","g5282","g2251","g2964",NA,NA
NA,NA,NA,"g2964","g5354","g3131","g3456",NA,NA
NA,NA,NA,"g3456","g5661","g4019","g3493",NA,NA
NA,NA,NA,"g4847","g6092","g4870","g4847",NA,NA
NA,NA,NA,"g5440","g2595","g5282","g5060",NA,NA
NA,NA,NA,"g6841","g3771","g5354","g7601",NA,NA
NA,NA,NA,"g8982","g3818","g6092","g8982",NA,NA
NA,NA,NA,"g9975","g4412","g1200","g9256",NA,NA
NA,NA,NA,NA,"g4973","g2595",NA,NA,NA
NA,NA,NA,NA,"g5844","g3771",NA,NA,NA
NA,NA,NA,NA,"g7130","g3818",NA,NA,NA
NA,NA,NA,NA,"g8794","g4973",NA,NA,NA
NA,NA,NA,NA,"g1744","g5325",NA,NA,NA
NA,NA,NA,NA,"g1900","g7130",NA,NA,NA
NA,NA,NA,NA,"g2964","g7919",NA,NA,NA
NA,NA,NA,NA,"g3456","g8794",NA,NA,NA
NA,NA,NA,NA,"g4847","g1900",NA,NA,NA
NA,NA,NA,NA,"g5440","g2964",NA,NA,NA
NA,NA,NA,NA,"g6841","g3456",NA,NA,NA
NA,NA,NA,NA,"g7601","g4847",NA,NA,NA
NA,NA,NA,NA,"g8982","g5060",NA,NA,NA
NA,NA,NA,NA,"g9156","g5440",NA,NA,NA
NA,NA,NA,NA,"g9256","g7601",NA,NA,NA
NA,NA,NA,NA,"g9975","g8982",NA,NA,NA
NA,NA,NA,NA,NA,"g9156",NA,NA,NA
NA,NA,NA,NA,NA,"g9256",NA,NA,NA
