"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
NA,"g4735","g3624","g3660","g7942","g6353","g5841","g8634",NA
NA,"g7580","g4049","g4065","g8573","g7469","g6065","g1182",NA
NA,NA,"g5134","g4436","g8864","g7489","g6353","g8402",NA
NA,NA,"g8634","g4730","g2116","g7579","g7469","g1286",NA
NA,NA,"g9606","g6400","g2219","g7788","g7489","g4246",NA
NA,NA,"g1887","g7579","g3016","g7942","g7579","g4965",NA
NA,NA,"g2025","g7595","g3660","g8573","g7788","g5335",NA
NA,NA,"g5928","g7958","g4065","g8864","g8573","g1746",NA
NA,NA,"g6776","g8933","g4436","g2116","g8864","g3447",NA
NA,NA,"g7385","g1856","g4730","g3016","g2116","g4735",NA
NA,NA,"g8402","g2377","g6400","g3240","g3016",NA,NA
NA,NA,"g1162","g2945","g7595","g3660","g3660",NA,NA
NA,NA,"g1286","g3624","g7700","g4065","g4436",NA,NA
NA,NA,"g4236","g4049","g7958","g4436","g4730",NA,NA
NA,NA,"g5127","g5087","g8933","g4730","g6400",NA,NA
NA,NA,"g5335","g5134","g1856","g6400","g7595",NA,NA
NA,NA,"g6381","g6947","g2377","g7595","g7958",NA,NA
NA,NA,"g7952","g8634","g2564","g7700","g8933",NA,NA
NA,NA,"g1746","g9606","g2945","g7958","g9050",NA,NA
NA,NA,"g4735","g1887","g3624","g8933","g1856",NA,NA
NA,NA,"g7580","g2025","g4049","g9050","g2377",NA,NA
NA,NA,NA,"g2233","g5087","g1856","g2564",NA,NA
NA,NA,NA,"g5928","g5134","g2377","g2945",NA,NA
NA,NA,NA,"g5976","g6947","g2564","g4049",NA,NA
NA,NA,NA,"g6776","g8634","g2945","g5087",NA,NA
NA,NA,NA,"g7385","g9606","g3624","g5134",NA,NA
NA,NA,NA,"g8402","g1887","g4049","g6228",NA,NA
NA,NA,NA,"g1286","g2025","g5087","g6947",NA,NA
NA,NA,NA,"g4236","g5928","g5134","g8634",NA,NA
NA,NA,NA,"g4965","g5976","g6228","g9606",NA,NA
NA,NA,NA,"g5127","g6776","g6947","g1182",NA,NA
NA,NA,NA,"g5335","g6838","g8634","g2025",NA,NA
NA,NA,NA,"g6038","g7385","g9606","g5928",NA,NA
NA,NA,NA,"g6381","g8402","g1887","g8402",NA,NA
NA,NA,NA,"g7952","g1286","g2025","g1286",NA,NA
NA,NA,NA,"g1746","g4236","g5928","g4236",NA,NA
NA,NA,NA,"g4735","g4965","g6776","g4965",NA,NA
NA,NA,NA,"g7580","g5127","g6838","g5127",NA,NA
NA,NA,NA,NA,"g5335","g8402","g5335",NA,NA
NA,NA,NA,NA,"g6038","g1286","g7952",NA,NA
NA,NA,NA,NA,"g6381","g4236","g1746",NA,NA
NA,NA,NA,NA,"g7952","g4965","g4735",NA,NA
NA,NA,NA,NA,"g1746","g5127","g7580",NA,NA
NA,NA,NA,NA,"g4735","g5335",NA,NA,NA
NA,NA,NA,NA,"g7580","g6038",NA,NA,NA
NA,NA,NA,NA,NA,"g6381",NA,NA,NA
NA,NA,NA,NA,NA,"g7952",NA,NA,NA
NA,NA,NA,NA,NA,"g1746",NA,NA,NA
NA,NA,NA,NA,NA,"g4735",NA,NA,NA
NA,NA,NA,NA,NA,"g7580",NA,NA,NA
