	sample1	sample2	sample3	sample4	sample5	sample6
g396	92	80	127	481	315	86
g397	380	831	541	472	459	735
g398	0	0	0	4	14	0
g399	1431	615	748	829	1637	1069
g400	36	51	45	103	144	114
g401	163	188	231	110	211	139
g402	2408	6022	4067	9657	17526	5519
g403	199	322	520	877	1204	896
g404	31	81	20	118	148	73
g405	5487	8413	6181	9398	14709	10379
g406	1	0	1	0	3	1
g407	15	108	18	79	47	46
g408	488	3070	1017	680	3797	1174
g409	1949	2767	1887	4616	6553	3404
g410	12	154	22	185	175	86
g411	663	1447	905	1445	1605	836
g412	19	42	55	36	31	49
g413	22	25	36	11	39	42
g414	9	2	2	30	36	21
g415	546	416	435	659	844	326
g416	1223	1412	1346	1883	3051	1711
g417	99	78	96	106	341	34
g418	0	2	25	3	38	9
g419	1125	1212	1621	1832	2058	959
g420	92	323	274	293	510	275
g421	2	4	9	7	10	0
g422	10	16	29	35	85	19
g423	109	255	401	359	896	526
g424	6	9	5	6	5	4
g425	416	457	10	1554	245	1283
g426	1731	1823	2443	2088	3765	2105
g427	4	8	6	6	9	3
g428	6	8	5	7	12	9
g429	3	13	2	2	12	4
g430	16	43	33	59	42	17
g431	192	218	205	213	232	230
g432	414	570	809	711	1039	611
g433	343	862	458	758	1216	751
g434	3840	4512	6574	14801	24027	7441
g435	2820	2882	2862	5392	7398	4755
g436	3571	6099	5878	10075	8462	6613
g437	2878	3274	9533	6893	13242	5081
g438	188	93	192	289	288	252
g439	45	47	46	126	141	34
g440	178	692	326	318	1275	404
g441	1878	4297	2723	11205	9555	7001
g442	1420	2438	1343	2469	4256	1393
g443	79	108	201	158	284	84
g444	5216	9756	8091	9702	9098	7264
g445	3063	3927	3687	6290	8673	4611
g446	72	104	61	72	65	37
g447	198	367	123	158	305	138
g448	84	446	768	270	771	273
g449	21	19	75	71	135	73
g450	47	189	80	120	151	169
g451	1140	2054	787	2247	4277	1415
g452	32	219	90	304	595	81
g453	164	196	230	1230	972	741
g454	8	12	12	30	166	26
g455	34	6	1	1	2	4
g456	4	3	7	14	14	19
g457	631	526	1134	1216	2446	388
g458	3	5	1	3	36	2
g459	1682	2188	2150	1237	2976	1227
g460	2105	2564	1233	6963	4720	3655
g461	9	43	17	14	17	17
g462	59	45	38	43	187	91
g463	44	171	104	449	619	513
g464	1	5	5	2	4	23
g465	521	757	985	765	2109	797
g466	101	463	586	490	808	354
g467	57	50	11	34	131	10
g468	183	3591	735	2855	2795	2508
g469	14	48	62	39	27	66
g470	5	0	8	6	2	3
g471	97	170	130	136	745	77
g472	28	99	19	67	180	79
g473	25366	20949	9399	68359	93552	45043
g474	0	0	1	0	0	22
g475	28	68	93	53	76	82
g476	209	129	78	146	337	115
g477	133	110	137	117	73	89
g478	59	355	167	347	141	80
g479	9	1	1	1	33	0
g480	41	95	86	36	214	79
g481	5	22	4	6	8	19
g482	1761	4937	4314	9718	17015	1758
g483	281	439	473	695	1328	716
g484	4	12	12	25	22	10
g485	132	27	27	31	65	99
g486	759	766	792	1505	1446	355
g487	17	43	26	12	224	64
g488	46	265	196	287	202	133
g489	4	3	7	0	4	1
g490	86	264	184	148	221	320
g491	230	384	173	623	855	442
g492	2	0	2	1	18	1
g493	93	3	49	88	10	219
g494	2927	2902	3806	4096	8059	5795
g495	1382	2553	1615	2299	3921	2466
g496	7	28	4	0	35	4
g497	154	205	424	512	755	279
g498	41	0	397	1	266	3
g499	35	52	18	38	75	58
g500	95	107	105	56	60	60
g501	51	137	140	20	41	29
g502	123	137	184	24	39	24
g503	15	27	3	3	7	5
g504	2	0	0	0	7	0
g505	627	824	549	277	211	136
g506	98	92	38	18	11	0
g507	8	8	6	13	21	12
g508	20	40	4	12	1	11
g509	3804	6136	5367	2032	4841	2486
g510	611	899	871	371	377	224
g511	867	1932	1462	275	309	188
g512	2608	4329	4348	1123	1494	812
g513	493	288	365	64	95	59
g514	312	384	207	239	126	123
g515	226	217	161	78	174	53
g516	183	161	134	26	13	16
g517	612	645	380	255	308	158
g518	204	376	244	133	155	126
g519	2261	6782	3981	1476	2911	960
g520	489	546	855	292	555	313
g521	18	29	30	10	25	10
g522	100	498	350	64	65	10
g523	1579	1158	1241	563	699	421
g524	6	2	2	0	0	0
g525	4694	3250	2519	1568	1204	940
g526	33	2	8	28	2	2
g527	240	265	219	9	45	65
g528	7	5	12	7	8	0
g529	13	16	19	4	0	10
g530	733	923	1503	193	189	173
g531	6782	12899	11506	3214	3277	2314
g532	0	2	0	0	1	1
g533	15	39	27	1	10	5
g534	88	77	30	21	34	2
g535	4167	2150	4737	2091	2743	1087
g536	7	0	0	1	8	0
g537	1616	2145	1411	679	569	422
g538	5	10	11	3	3	2
g539	209	113	85	22	97	33
g540	666	2829	1705	479	1374	359
g541	1225	2330	940	237	243	158
g542	1452	2507	1730	422	625	355
g543	35699	23507	31438	5997	22419	3880
g544	3680	1921	622	78	53	32
g545	118	85	53	31	33	40
g546	8148	16237	19081	736	691	425
g547	37	34	37	1	6	2
g548	1687	2355	2536	738	904	598
g549	33	102	65	16	11	18
g550	3051	2916	1691	961	753	463
g551	5240	5846	4467	1719	3010	2378
g552	108	107	130	14	49	7
g553	404	385	342	39	98	19
g554	326	448	152	95	86	90
g555	4	81	38	17	0	5
g556	11	9	24	4	3	0
g557	1176	1151	1846	311	647	558
g558	252	270	134	35	59	61
g559	254	292	280	44	71	35
g560	10	12	15	3	3	5
g561	26	3	5	1	0	0
g562	6	12	2	1	0	2
g563	385	222	334	205	192	169
g564	5	10	7	5	9	2
g565	64	33	91	32	62	14
g566	116	223	18	5	12	6
g567	157	145	303	23	26	51
g568	55	58	66	9	19	8
g569	34	50	6	4	13	8
g570	3028	3995	2439	496	842	411
g571	144	169	62	85	86	79
g572	17	15	9	0	6	5
g573	11407	8430	486	413	414	274
g574	59	85	58	22	37	12
g575	112	328	115	17	25	1
g576	3485	6762	3275	448	840	475
g577	2678	4421	2765	685	1354	1008
g578	24	367	42	29	85	8
g579	10	12	3	2	6	5
g580	183	222	289	37	53	18
g581	121	307	80	66	35	33
g582	193	4424	1970	322	302	110
g583	3217	4937	4325	624	1034	562
g584	42	71	20	57	21	3
g585	2927	1859	8172	905	2474	248
g586	964	367	327	291	160	115
g587	17	43	31	12	26	8
g588	19	308	75	34	33	59
g589	18	39	23	14	25	13
g590	88	30	61	45	11	3
g591	23	24	54	9	8	9
g592	80	94	22	21	33	6
g593	990	734	508	127	148	165
g594	50	13	15	26	2	0
g595	1	0	6	0	0	0
g596	946	861	1507	459	1162	355
g597	2934	2700	2792	1548	2117	1178
g598	71	127	144	60	81	55
g599	724	321	1191	277	459	81
g600	38	61	23	12	34	14
g601	19	11	9	1	11	2
g602	8	6	12	0	0	0
g603	28	42	72	6	16	4
g604	2838	3726	3265	849	1410	702
g605	102	31	40	28	47	7
g606	2043	1937	820	541	637	198
g607	4616	5624	5681	2625	2480	1554
g608	1735	1773	1560	1078	1167	767
g609	416	706	770	251	454	280
g610	54	25	60	7	24	20
g611	5988	7451	4773	1313	2367	1375
g612	58	47	39	25	169	14
g613	9	16	27	5	21	9
g614	6682	10564	7827	2847	4121	2696
g615	341	167	62	181	285	274
g616	21	27	34	3	3	2
g617	1762	2115	1779	328	681	255
g618	841	1110	825	279	422	283
g619	539	635	533	238	250	158
g620	4	3	1	0	0	0
g621	10	12	7	2	2	1
g622	11	8	0	3	3	1
g623	63	144	59	9	17	4
g624	14313	31753	22832	15625	7069	6158
g625	24	10	83	0	10	23
g626	10	23	2	4	2	0
g627	212	186	174	66	93	81
g628	4167	8119	6176	3520	4763	1762
g629	91	58	186	59	61	48
g630	222	257	164	60	274	110
g631	224	321	273	75	61	66
g632	21	61	6	4	2	1
g633	15	25	46	16	4	14
g634	2235	4680	4332	651	903	254
g635	0	0	21	0	0	0
g636	18	17	18	2	7	5
g637	15	1	0	0	3	3
g638	712	1162	983	371	567	334
g639	595	816	197	235	349	135
g640	316	695	261	133	189	104
g641	42	48	85	25	32	24
g642	33	16	14	8	11	15
g643	1340	921	1035	448	683	399
g644	527	642	992	270	644	321
g645	14	7	14	0	5	2
g646	1739	1762	2131	489	552	323
g647	132	340	267	9	69	67
g648	1271	4150	348	1128	1119	149
g649	470	412	1888	150	257	233
g650	367	534	339	77	172	102
g651	173	264	116	38	42	14
g652	545	1224	1796	460	451	639
g653	6	9	15	7	3	0
g654	110	78	211	31	85	24
g655	469	1138	1141	284	207	157
g656	175	59	33	23	18	28
g657	20	11	0	2	1	3
g658	120	91	158	30	26	43
g659	328	417	622	70	128	99
g660	3	17	20	2	13	4
g661	208	134	123	54	162	58
g662	3583	4016	4272	1960	1930	2189
g663	19	0	1	0	14	2
g664	1535	2853	3356	557	1810	490
g665	2	0	11	2	6	1
g666	820	1157	502	127	333	139
g667	223	200	223	58	111	44
g668	1	0	5	0	0	0
g669	355	340	708	164	192	112
g670	1373	2209	946	434	735	255
g671	152	168	122	43	67	17
g672	1132	1317	1070	207	200	197
g673	9	0	1	2	4	2
g674	437	420	335	145	179	111
g675	1308	4531	1267	753	1018	403
g676	10	14	11	3	4	0
g677	80	37	90	40	42	13
g678	5756	4698	3556	830	1011	1008
g679	14	10	12	2	8	4
g680	164	206	77	63	176	58
g681	8	7	11	7	4	0
g682	4	10	7	0	1	3
g683	1043	1970	1599	632	1310	772
g684	33	73	50	19	25	9
g685	0	12	47	18	7	0
g686	143	354	307	48	113	45
g687	9	14	15	4	8	4
g688	3358	3501	5527	945	943	1484
g689	956	1501	565	126	385	621
g690	907	743	504	186	178	142
g691	518	649	715	327	592	354
g692	0	0	14	2	1	1
g693	1859	3120	2433	362	805	222
g694	637	519	482	143	228	151
g695	2915	3609	2563	407	932	396
g696	40	25	56	11	32	15
g697	74	65	66	28	14	20
g698	3	0	30	1	4	0
g699	647	1223	622	285	1090	349
g700	1	14	6	0	0	11
g701	30	71	231	40	30	6
g702	85	93	86	12	25	7
g703	60	41	35	13	56	42
g704	19	52	87	4	6	6
g705	528	852	748	185	171	209
g706	1487	2002	1271	823	810	477
g707	50	64	59	26	9	8
g708	0	1	1	0	0	0
g709	337	191	57	50	143	115
g710	8	6	5	0	0	1
g711	5145	7178	5492	2516	3454	2558
g712	318	663	371	103	100	29
g713	58	49	40	157	25	117
g714	313	336	406	225	151	80
g715	497	1227	566	186	268	134
g716	2	0	1	0	2	0
g717	507	469	598	232	307	176
g718	0	5	0	9	11	4
g719	348	702	400	328	190	89
g720	1462	2718	2019	551	787	736
g721	335	463	364	116	107	61
g722	61	52	93	15	41	30
g723	417	494	319	132	227	118
g724	600	982	896	303	346	238
g725	4	11	9	2	1	4
g726	1193	3759	1539	696	1054	306
g727	4	13	10	1	2	1
g728	1338	1208	1549	163	565	609
g729	3752	4081	3048	1774	2483	1320
g730	225	503	256	39	17	19
g731	75	226	172	25	136	10
g732	1	2	0	1	0	2
g733	2	15	6	2	10	2
g734	40	5	154	22	66	1
g735	7	12	17	3	1	9
g736	387	1281	711	202	248	226
g737	293	384	359	86	203	68
g738	1183	197	260	59	168	138
g739	489	722	465	77	228	162
g740	1	3	1	4	4	3
g741	477	663	852	281	324	192
g742	76	85	131	39	113	55
g743	48	108	184	58	62	19
g744	5	20	10	0	1	0
g745	358	445	485	223	320	166
g746	78	81	119	44	23	3
g747	581	625	911	232	425	151
g748	32	57	13	3	14	9
g749	1457	3793	3257	240	122	93
g750	264	278	510	124	222	78
g751	3	2	11	6	7	3
g752	72	29	105	15	6	10
g753	26	23	11	10	3	4
g754	18	144	129	286	239	73
g755	251	23	37	399	44	104
g756	110	81	23	50	37	17
g757	5	9	8	5	6	3
g758	1378	2048	2071	263	526	309
g759	95	117	145	41	51	23
g760	32	62	9	10	14	2
g761	1189	3365	2304	1266	709	890
g762	748	430	470	353	729	143
g763	16	39	21	8	14	4
g764	342	440	338	130	135	107
g765	1477	2106	1488	425	857	512
g766	3	7	2	2	6	1
g767	2861	2906	2448	826	1697	676
g768	11	12	26	1	18	13
g769	1017	2082	1229	443	592	514
g770	3702	2972	2533	588	745	447
g771	8	20	9	5	20	12
g772	21134	7080	13600	803	4927	996
g773	18	115	98	14	20	17
g774	345	196	10	44	72	2
g775	0	0	2	2	2	9
g776	2769	3416	2494	544	644	379
g777	6002	4961	2973	1541	1927	1019
g778	65	26	88	1	25	4
g779	4320	3583	3797	1642	2533	1109
g780	117	194	286	57	43	90
g781	1695	3095	2880	718	678	385
g782	3	7	21	0	6	2
g783	64	124	75	21	70	28
g784	2851	2049	2880	707	1258	585
g785	96	405	214	4	241	58
g786	129	127	106	16	19	15
g787	4591	2603	4360	3186	1350	1479
g788	56	46	34	53	48	23
g789	1965	1138	2601	713	955	585
g790	5	0	6	0	4	3
g791	12	23	12	0	35	0
g792	3151	2782	3998	805	1868	324
g793	106	171	37	44	22	95
g794	15	7	15	7	6	4
g795	51	80	97	35	50	40
g796	342	453	331	39	75	66
g797	270	473	372	157	292	138
g798	65	63	51	25	23	5
g799	40	24	51	22	5	16
g800	489	1150	276	132	111	71
g801	13076	21434	23235	2344	4848	3002
g802	802	817	946	420	465	322
g803	42	52	44	2	12	7
g804	325	508	265	59	75	101
g805	49	29	57	22	23	12
g806	647	1230	690	230	217	239
g807	4349	3411	3812	1499	2479	1446
g808	55	189	208	13	54	13
g809	7107	9062	3772	2023	3400	1913
g810	32	20	121	68	67	23
g811	230	371	265	50	59	8
g812	28	9	23	9	9	4
g813	3696	6028	3266	1577	2823	1776
g814	109	133	129	59	92	17
g815	35	55	75	15	33	16
g816	230	441	385	126	264	144
g817	1746	2635	1855	750	812	470
g818	1717	2130	1514	473	678	488
g819	174	204	237	123	189	124
g820	421	691	514	284	385	109
g821	439	197	298	130	201	62
g822	1229	855	1861	391	1111	389
g823	581	1175	952	248	395	233
g824	12	32	52	5	1	3
g825	17	19	20	4	6	2
g826	4	5	1	0	1	0
g827	47	97	53	24	69	5
g828	45	10	21	9	11	10
g829	21	71	30	19	16	10
g830	807	564	367	80	164	213
g831	843	3114	3687	364	726	365
g832	222	289	84	100	93	77
g833	33	72	48	31	35	42
g834	7	13	9	6	4	3
g835	70	73	62	16	16	7
g836	415	412	438	107	171	60
g837	298	558	300	108	149	89
g838	1290	1495	727	312	716	348
g839	48	50	50	23	19	7
g840	333	456	296	76	148	56
g841	29	261	102	22	95	25
g842	5	11	19	1	0	4
g843	88	91	167	22	43	20
g844	17	22	25	8	3	3
g845	99	146	129	58	96	47
g846	0	0	6	0	5	2
g847	2738	2758	3924	1481	1819	1031
g848	5	0	8	0	0	0
g849	413	494	149	118	145	53
