	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
g26	1110	1302	1348	996	1223	1236	1462	810	1125	1555	1964	1740	3034	3146	2474	3017	2966	1853
g27	1827	743	920	1394	1059	1043	1565	781	1185	907	1729	1352	1689	2036	1071	2417	1874	1737
g28	7	1	2	3	8	1	5	2	3	6	4	17	16	9	15	4	16	9
g29	51	27	67	36	43	30	41	27	42	71	70	119	60	109	114	113	115	105
g30	23	5	1	0	23	4	4	0	8	8	16	27	27	3	3	20	15	10
g31	5025	3807	4084	7093	8823	4163	4018	4965	4577	6861	14302	17142	19485	9782	14837	12316	13559	13445
g32	8	5	8	0	2	2	4	1	9	8	13	18	18	17	9	5	27	9
g33	205	299	162	503	196	309	203	146	356	339	764	208	337	338	318	175	342	234
g34	146	495	800	893	1040	1162	540	322	1429	1396	3119	4589	1130	1803	802	2719	819	3461
g35	1910	1685	1579	1447	1736	1080	1885	690	1347	2205	3841	3841	2189	3531	3454	3965	2727	6535
g36	146	77	116	73	116	139	89	63	96	122	189	165	182	229	126	155	173	221
g37	4017	1272	1941	2102	1483	2258	2317	1707	2539	6181	6162	3114	7066	5707	3482	6063	3976	7125
g38	0	0	0	2	0	0	0	0	0	0	103	16	0	0	9	0	0	0
g39	458	190	399	367	510	337	330	232	379	649	807	921	898	624	690	940	1214	1349
g40	6	3	4	8	2	3	6	0	2	5	7	4	12	3	2	2	1	14
g41	24	0	0	10	8	55	9	2	12	1	0	11	41	54	22	23	99	22
g42	146	74	137	156	109	253	239	59	201	263	272	463	233	267	56	185	608	511
g43	190	44	112	84	105	120	50	56	118	135	148	59	181	95	112	161	110	114
g44	573	216	193	328	464	430	194	224	197	265	373	302	522	551	275	663	407	852
g45	4	0	4	0	3	5	0	0	4	5	0	1	23	2	8	7	2	16
g46	1551	723	770	1168	686	952	830	419	832	771	966	1404	1883	781	784	2081	1097	1532
g47	4867	975	1526	1259	4432	4268	4224	2103	2228	3206	1556	7169	5337	4444	4890	1235	12977	6630
g48	345	225	231	343	392	248	325	199	350	326	445	705	752	651	671	747	625	638
g49	29451	8689	13099	16298	14095	14945	19127	10329	13038	25085	48306	56144	66682	21209	22911	55743	20373	86211
g50	1146	1154	968	494	756	981	666	1089	610	1466	4112	4217	4043	3356	4030	6682	4606	5896
g51	361	313	319	583	455	173	645	213	578	1299	2031	1631	1880	1117	1172	2375	1391	1590
g52	23	1155	607	585	1034	26	1135	403	267	452	991	224	440	361	418	333	1069	298
g53	30	317	75	4	46	0	13	0	101	427	318	0	113	12	0	23	15	6
g54	224	139	305	173	347	107	97	98	341	190	143	240	442	396	273	516	152	250
g55	31	0	0	1	3	0	3	22	0	1	30	0	6	18	1	4	12	0
g56	597	677	2558	2068	928	2558	2745	1038	527	2650	1854	1531	3695	533	2187	2502	1453	3140
g57	0	0	0	2	23	0	0	2	10	34	199	19	271	29	0	2	0	5
g58	6	3	3	11	15	5	7	7	4	6	10	13	14	7	4	6	7	11
g59	2094	592	997	1213	726	1130	1421	654	908	2924	3082	3950	6149	2887	2297	4679	2760	4079
g60	4	2	8	2	8	5	7	4	3	8	14	19	14	14	10	10	11	5
g61	798	439	852	542	1237	473	737	405	701	384	527	391	209	896	492	1570	718	1233
g62	4349	4535	3764	4800	3618	4362	2249	2754	2681	6422	12207	10774	13389	12428	7261	15495	8414	9470
g63	240	341	144	339	255	219	221	252	277	172	140	275	339	256	263	1031	380	185
g64	1350	1005	1141	549	982	813	511	575	824	1553	2562	1536	2378	2409	459	1860	3341	1548
g65	0	3	0	3	5	1	3	0	2	0	7	20	7	19	4	15	60	4
g66	20	34	48	6	50	1	5	12	7	47	33	13	86	46	85	21	4	39
g67	3415	2832	3032	5257	4637	4710	3748	2253	3903	5376	6104	7280	8900	6698	4449	9023	9203	6806
g68	4	10	18	3	0	25	12	0	38	17	1	3	4	11	11	2	7	3
g69	2202	1821	2053	2646	1671	2066	2759	1845	1275	4319	4632	5104	7893	5707	3182	7068	2874	6112
g70	5	20	12	28	34	10	9	15	11	66	6	91	70	96	4	17	80	45
g71	500	301	364	148	266	356	103	130	381	286	708	857	708	1527	119	1890	926	1255
g72	167	57	101	152	157	110	175	35	71	99	158	329	161	145	152	164	129	254
g73	340	86	185	70	24	216	87	42	70	92	96	112	214	14	101	174	36	234
g74	181	116	165	98	155	69	121	66	32	98	632	113	501	32	161	104	886	498
g75	1778	1497	1602	1725	1238	1938	1474	1225	1156	1954	2155	2924	3700	3086	1809	2511	2409	2393
g76	22	0	11	0	2	5	13	1	2	0	6	3	3	5	2	11	17	13
g77	922	792	1038	293	919	918	945	624	615	844	1996	2045	1733	1760	1834	3573	759	3318
g78	7215	3553	9214	7633	3980	4590	6615	3253	7478	5799	16251	6684	11593	10312	6602	17099	16048	14083
g79	299	186	508	412	62	187	166	337	265	419	754	251	758	36	245	757	419	120
g80	1	4	12	0	3	3	4	3	3	3	3	2	8	13	1	1	15	7
g81	89	200	208	93	72	18	14	306	293	254	120	108	960	51	293	48	194	660
g82	22	5	9	5	8	8	7	2	14	8	41	18	102	2	11	21	42	58
g83	74	51	43	135	97	88	88	49	85	91	122	116	165	92	86	130	152	178
g84	449	1296	1114	1284	746	547	712	259	785	979	3257	1158	3252	2780	2640	2034	5994	2070
g85	137	46	123	62	37	113	81	61	57	127	373	82	310	81	154	283	570	338
g86	491	324	252	347	899	269	235	526	247	238	293	965	1927	924	98	453	520	897
g87	18	5	14	17	23	39	32	13	9	16	52	55	35	32	44	76	70	18
g88	5	11	10	8	46	44	11	17	0	65	141	116	62	53	7	179	187	44
g89	13	5	11	13	10	8	4	7	25	16	35	36	30	37	25	64	47	67
g90	2781	1894	2212	3001	2602	1827	2022	943	1641	5642	5773	5031	6910	8198	6734	7956	6604	8977
g91	665	463	766	543	1133	463	187	227	706	338	711	212	1251	291	171	556	2034	1400
g92	5570	2695	4262	3394	4012	3295	4577	2842	2788	5379	6317	7327	9957	8277	6392	8966	9539	9186
g93	404	183	250	287	288	197	207	238	291	313	151	280	677	351	283	345	323	570
g94	4096	4035	5643	4415	4850	4731	4487	2541	3438	2785	6537	6748	8225	6748	5013	8213	8129	6933
g95	96	56	98	78	61	138	42	39	65	143	374	259	241	335	131	307	325	250
g96	1195	704	794	1138	1592	392	746	1121	676	991	1142	867	3824	1164	2403	1477	1935	877
g97	173	119	137	279	185	179	230	117	149	304	348	199	530	331	337	309	385	468
g98	514	295	331	548	454	538	636	177	350	958	1658	988	1045	692	769	1386	845	920
g99	1512	499	1812	1546	1290	664	652	652	1295	1745	3074	3305	6100	4973	3405	6981	3637	5019
g100	2	3	9	2	8	2	7	3	6	1	14	8	21	22	3	15	8	9
g101	26	10	399	73	283	1524	1355	230	409	19	182	171	166	207	347	1298	7	2619
g102	616	156	153	445	196	117	342	256	119	251	100	231	709	435	379	747	232	175
g103	2	3	7	1	4	0	11	1	5	4	0	15	0	1	1	11	1	3
g104	27	6	16	10	31	24	10	5	7	73	61	166	88	77	48	177	114	11
g105	16285	5044	5437	6333	5336	6497	8031	3788	5063	7796	9656	10363	8677	11007	10226	9189	16303	8887
g106	126	16	26	34	37	6	32	19	103	43	89	51	112	87	12	31	44	28
g107	29	12	12	9	30	26	8	10	26	15	41	19	40	59	39	45	57	20
g108	14	0	0	0	2	0	0	0	0	0	0	9	57	0	3	0	16	5
g109	251	206	349	258	170	189	351	173	164	449	613	737	1082	680	708	1106	609	853
g110	1315	846	753	1050	1206	2319	382	272	407	3618	2266	1955	4923	3448	1652	2049	4582	3650
g111	0	18	22	99	20	5	2	13	6	101	6	11	29	40	2	4	23	11
g112	293	129	235	102	135	256	148	148	165	279	449	495	947	330	651	478	355	941
g113	18	7	4	17	12	0	3	1	7	2	6	2	12	18	11	19	11	15
g114	3	3	7	4	0	6	7	10	4	44	24	110	70	27	22	3	128	85
g115	4234	1588	4002	2697	2923	4033	2863	2316	2389	3133	5708	3336	7645	3804	4869	4846	5554	5108
g116	933	659	907	1241	747	898	725	820	647	687	1806	1590	1456	1206	1203	694	1437	1619
g117	3	24	5	8	7	29	17	49	3	23	115	115	98	148	86	56	49	58
g118	2167	1337	2635	1480	2251	2075	2074	1372	1272	4250	7435	7645	8927	8457	5962	7435	7710	9018
g119	538	326	242	248	448	427	72	335	277	526	774	470	1181	463	896	677	873	639
g120	1936	1134	1668	1612	1526	1423	1516	1089	1349	2305	3972	4125	4893	3905	1881	4905	4291	4675
g121	2951	1474	3049	2850	3588	2797	2258	2184	4042	7011	3975	13879	6760	8964	8386	4538	7180	6146
g122	23	23	23	8	39	18	24	10	23	49	19	57	15	43	8	2	36	28
g123	15	7	6	8	5	8	4	16	6	12	10	11	10	8	11	33	13	7
g124	143	15	33	258	179	52	132	45	172	537	1080	1263	319	360	630	434	1495	150
g125	60	34	39	108	57	78	124	44	51	34	104	71	155	43	84	104	167	225
g126	632	582	742	907	694	728	653	534	604	1466	1955	3402	2622	3738	1328	2390	1610	3100
g127	9	13	3	20	14	14	14	9	17	23	3	16	14	60	42	25	30	16
g128	12	15	22	15	20	8	14	15	14	45	24	78	132	57	56	9	62	46
g129	13058	4167	11754	13773	7560	9603	9330	9938	7248	17833	40032	20832	67094	26977	16361	30960	46111	39695
g130	1084	364	799	623	783	624	832	484	612	1046	1477	1623	2161	1450	1403	2875	2081	1591
g131	2233	1428	1575	882	3094	1884	1796	850	1159	2283	3020	2908	3252	2895	1456	2862	2904	1664
g132	7958	4471	8378	6692	9190	8834	6287	4249	5397	18815	30418	31204	27960	34654	23023	29114	44152	28402
g133	1138	623	829	1147	1013	746	628	515	525	1586	2572	2391	3676	2025	1501	3029	2613	2199
g134	0	34	11	3	0	21	0	18	0	103	0	85	61	0	24	1	8	0
g135	7	16	28	13	6	1	34	33	20	34	6	65	179	13	18	68	35	191
g136	4	1	19	18	0	11	13	4	26	0	39	34	13	23	66	5	0	2
g137	470	279	411	389	687	414	471	276	429	761	1138	917	1233	1104	1054	1042	1305	936
g138	3	9	1	13	8	12	16	5	4	17	4	11	27	56	13	29	6	79
g139	4	1	3	7	2	1	8	18	9	7	27	1	54	18	5	2	35	3
g140	1040	553	1183	1151	765	1352	878	270	1437	974	1946	1551	1547	1666	1088	2372	2270	1836
g141	54	11	78	153	42	21	22	55	24	80	144	51	134	80	65	236	39	307
g142	3148	1668	2037	3033	2396	1481	1435	1921	1678	3640	4606	8262	9270	7294	5235	7362	4929	6263
g143	3269	1583	2293	2404	1233	1727	2117	2035	3093	11081	20046	16316	19676	15201	21429	19414	21347	11891
g144	7	8	2	11	3	2	10	1	0	5	38	25	18	14	23	40	27	16
g145	282	112	74	195	308	230	190	75	166	237	560	581	379	309	696	385	603	722
g146	22244	3429	6706	8675	10814	12785	6799	9221	2811	22333	13621	3218	21627	21372	8415	18773	25800	12068
g147	66	59	88	98	201	64	62	99	50	86	75	253	325	109	135	211	25	303
g148	0	0	0	0	24	2	1	5	2	1	17	1	0	30	5	2	5	3
g149	369	189	355	305	933	249	490	271	345	169	529	462	814	423	82	472	1263	1064
g150	409	195	342	543	208	266	234	334	252	366	395	387	636	635	518	367	767	681
g151	1575	1157	2443	1008	2381	1294	1786	1148	1224	1370	2229	1569	1945	2354	1084	2560	2321	2667
g152	226	665	99	163	248	233	190	79	187	320	803	1918	125	676	1540	1457	1030	1251
g153	126	18	100	97	244	54	11	127	390	67	158	267	105	1539	1088	1673	34	16
g154	70	27	64	121	78	63	56	59	94	98	66	81	83	147	102	168	150	135
g155	493	376	906	493	588	994	395	202	881	105	863	645	1488	4483	112	2395	1535	3986
g156	282	255	402	792	375	581	532	350	401	461	872	621	884	891	560	835	325	460
g157	1954	688	558	1299	2625	2514	2358	1007	1141	3596	10266	6509	5165	3785	3456	2743	8375	6972
g158	137	38	106	114	22	107	95	32	61	181	124	315	154	95	238	69	221	233
g159	120	116	301	366	332	351	222	349	253	553	747	2118	1009	1198	1176	1895	934	1628
g160	3	3	9	3	3	4	2	1	9	2	9	6	9	6	6	4	10	5
g161	117	52	185	155	166	65	150	122	31	69	204	196	249	173	106	216	133	180
g162	44	10	49	12	11	6	26	15	8	58	31	116	32	18	105	39	124	385
g163	71	17	56	95	146	76	172	30	164	29	181	73	210	43	66	52	23	129
g164	164	131	51	118	180	89	118	81	90	173	90	120	194	123	182	152	145	302
g165	32	44	37	91	82	21	22	14	38	105	209	380	307	411	155	470	256	193
g166	748	335	476	886	651	485	988	249	429	1424	2013	1312	1841	1088	545	1743	1633	1109
g167	12	12	32	34	22	5	19	4	1	107	45	17	24	45	48	109	3	83
g168	169	129	148	124	217	245	188	89	203	107	232	295	424	232	458	460	234	397
g169	0	0	49	2	12	0	4	1	7	0	0	0	0	23	0	3	0	0
g170	94	72	163	171	6	139	41	196	189	49	1300	164	66	282	4	979	508	67
g171	6	3	2	1	1	3	7	1	7	6	9	7	5	0	6	4	7	5
g172	1418	965	886	1672	1595	920	1502	403	687	1992	4125	7969	8515	7740	5246	7068	5679	4946
g173	1	4	6	2	2	2	2	14	1	0	7	1	0	3	6	12	3	4
g174	858	535	1276	806	1246	598	848	575	757	872	1691	1593	1822	1147	980	2273	1445	1291
g175	268	236	258	398	317	308	275	150	339	608	589	488	755	802	607	1011	640	761
g176	22	8	20	22	10	5	6	14	20	22	27	10	39	36	22	56	38	9
g177	0	0	16	8	8	18	6	6	2	0	0	3	7	26	1	2	2	3
g178	28	14	12	11	17	25	13	12	17	15	38	40	55	26	38	37	105	72
g179	44	9	31	29	25	4	8	6	23	16	27	52	23	43	8	21	38	20
g180	1729	1518	2636	1041	1133	3044	2856	1064	2056	1747	4801	2468	2550	3048	3833	5337	852	3093
g181	10	3	55	2	2	5	8	1	6	65	23	35	43	11	129	6	8	0
g182	273	125	118	137	130	79	227	154	136	81	621	516	409	465	191	433	288	281
g183	95	5	169	150	78	276	163	101	93	114	42	821	279	83	15	178	271	237
g184	171	54	110	39	95	64	86	113	87	31	165	168	167	108	172	65	150	140
g185	89	38	31	98	135	44	59	24	40	86	149	32	53	147	47	190	122	133
g186	763	353	181	311	320	375	152	239	95	787	533	310	708	231	867	966	273	295
g187	6	5	12	13	19	1	3	11	13	20	36	16	15	13	23	43	22	34
g188	689	239	255	346	76	526	681	177	149	214	343	401	382	359	218	387	605	731
g189	158	64	86	14	121	199	202	139	197	283	53	42	331	294	152	327	329	26
g190	29	30	17	27	25	35	32	14	40	34	39	18	105	55	42	24	47	39
g191	6399	4306	4252	5122	6479	3623	5174	3228	4056	6792	16108	7739	17432	18519	13832	14372	7714	19534
g192	24	12	29	35	46	37	28	20	20	44	40	32	65	33	39	54	56	37
g193	1995	644	366	1546	617	455	222	636	376	731	874	468	1142	1853	805	2533	2395	2539
g194	246	78	218	92	245	130	232	145	157	246	281	448	506	206	194	402	159	107
g195	113	139	152	303	161	132	142	79	185	91	455	210	214	269	292	457	395	414
g196	584	200	673	258	628	508	452	504	464	1817	2137	831	2616	1328	723	3219	1651	1961
g197	855	285	648	752	919	675	682	434	913	511	1230	1412	568	868	775	1504	953	1205
g198	0	0	1	2	11	6	0	6	3	1	6	11	1	6	1	7	3	9
g199	3512	1097	1902	2975	2426	1545	1338	1833	1511	4344	10388	9613	11839	9364	5107	7423	9552	12611
g200	1	4	9	5	31	12	1	8	12	25	56	35	96	68	17	31	210	125
g201	1190	432	1014	1516	1373	1775	1146	759	549	956	2173	1413	792	1625	1264	2573	2703	1552
g202	16	5	5	9	8	11	8	7	3	34	40	35	39	44	18	39	33	27
g203	993	590	1251	1135	1428	1059	1157	495	534	3003	3980	2793	2870	3948	5564	2971	4258	3665
g204	0	0	2	0	0	0	0	10	56	0	0	0	0	15	0	0	42	0
g205	3994	2694	2184	3289	5705	3833	3932	1831	5874	2780	1617	1248	7497	6168	4469	5708	10138	8617
g206	2	5	7	13	8	14	4	6	5	3	4	9	13	5	12	9	41	24
g207	1540	961	1454	1695	1467	1181	1280	1060	1178	1600	4035	3552	4198	2692	2479	4240	5868	2354
g208	24	20	18	21	25	17	13	6	24	15	57	54	101	28	67	34	40	59
g209	38	2	24	21	78	14	24	9	8	1	57	31	48	42	88	10	65	53
g210	1461	339	685	1218	256	268	650	544	993	1351	2286	3106	1840	2289	1866	5472	4551	2505
g211	341	129	258	261	503	292	197	119	285	799	1414	2018	2130	1481	915	1773	2524	1184
g212	8	0	14	0	2	1	31	0	8	31	22	15	53	50	5	0	3	0
g213	456	204	367	584	410	315	434	570	328	643	1021	630	2304	979	442	1189	803	1014
g214	15	18	49	41	38	25	23	19	24	57	22	87	89	96	17	52	50	60
g215	126	67	67	99	39	81	131	112	62	602	292	153	422	164	325	546	654	474
g216	339	169	203	252	371	89	246	205	303	84	215	207	336	431	314	509	244	435
g217	890	720	723	693	910	942	733	514	711	1379	1080	1791	3647	2931	3152	732	2528	2057
g218	24	17	11	25	28	23	6	31	14	6	18	162	59	93	42	204	69	20
g219	3648	1867	2481	2163	2861	2707	2902	1738	2681	4316	8079	6000	7559	4285	5624	6911	5843	7881
g220	81	5	8	19	54	60	5	9	2	99	0	3	4	41	21	46	46	14
g221	37	29	22	12	23	89	8	9	16	103	208	196	266	297	54	74	130	61
g222	117	32	86	73	132	67	84	52	65	109	316	246	512	286	187	390	215	311
g223	117	78	98	112	130	90	114	56	96	162	177	209	318	215	184	160	244	279
g224	5	22	10	5	22	17	5	4	18	9	8	16	39	58	6	40	23	41
g225	691	455	358	1201	555	889	1067	249	340	776	728	1042	892	1253	973	1179	650	950
g226	3467	1925	3557	3381	4167	4584	2264	2213	3416	3529	6607	5681	6478	8624	4054	9770	11179	5577
g227	1593	995	1869	2449	2679	1572	2299	826	2057	5173	7331	2754	5379	3971	2224	3833	4906	7292
g228	5570	3401	5681	6999	5046	5011	4820	3384	4609	8404	11176	11487	15553	12052	11034	16517	16418	13995
g229	3482	2700	3086	3390	3303	3915	3122	2162	4054	5933	6418	7219	7645	7250	5741	9302	4748	6021
g230	416	200	518	550	350	349	278	278	399	1261	1289	1322	1724	774	635	2308	1086	1528
g231	136	100	193	306	544	300	149	124	476	209	424	280	553	490	340	513	247	804
g232	1130	308	805	597	1281	1018	301	88	942	504	1207	803	1328	1235	1321	2412	702	1316
g233	88	61	128	47	74	41	87	73	42	170	347	204	100	176	175	260	201	545
g234	137	87	61	37	16	80	67	33	8	78	128	194	411	25	74	91	68	38
g235	73	51	48	56	64	75	51	32	55	102	91	112	160	147	136	77	78	79
g236	2	1	5	4	14	2	3	1	2	3	8	1	18	4	1	4	3	6
g237	1	0	206	0	4	8	0	0	0	0	0	0	2	1	0	0	1	29
g238	1093	888	1124	897	510	961	332	692	627	1177	1513	2223	4109	2548	2914	2197	1294	1862
g239	15	12	2	9	31	11	9	3	10	4	18	4	11	34	25	41	28	15
g240	127	64	106	122	118	95	123	74	149	87	155	94	220	150	118	145	113	190
g241	710	824	555	639	431	507	418	428	360	2003	1248	1058	2747	1214	3868	1823	885	1564
g242	55	34	30	35	41	6	35	14	2	83	62	90	315	65	50	351	139	56
g243	21	0	13	0	18	0	3	31	14	0	9	0	5	0	17	222	1	3
g244	189	197	267	322	508	251	243	289	230	529	1732	729	1594	637	751	1648	624	497
g245	80	50	61	47	50	94	17	64	22	50	169	145	106	171	177	287	173	89
g246	148	840	719	135	736	362	493	55	375	489	1701	247	1140	408	370	1600	307	2423
g247	10	8	1	6	34	0	6	4	3	4	0	20	6	5	1	1	6	41
g248	67	44	55	54	61	64	85	38	51	87	75	139	180	132	111	150	181	135
g249	58	18	88	42	42	27	16	26	79	62	132	66	33	47	128	172	478	136
g250	32	17	23	32	17	28	16	25	35	44	64	60	103	136	69	90	69	62
g251	2694	2435	4260	3304	6355	3768	3848	2004	2903	2840	5789	4966	4328	5171	4813	5476	5377	12054
g252	7	6	11	13	11	7	1	1	4	4	73	7	76	75	5	3	47	9
g253	3	0	0	1	0	3	2	2	5	0	7	11	23	7	3	1	1	11
g254	14	5	5	4	5	3	6	11	9	5	6	9	8	9	4	16	15	5
g255	4	1	0	16	0	2	13	0	18	8	0	1	6	2	10	1	9	2
g256	162	140	152	140	166	112	218	77	125	170	268	128	292	205	195	367	281	232
g257	2322	1263	2632	1820	2306	2551	1838	1488	2105	1534	3455	2135	4606	4389	2294	2674	2361	1582
g258	6	7	4	7	12	5	9	3	10	7	26	20	22	24	21	20	20	21
g259	1626	826	522	319	888	945	413	718	978	911	3105	2691	5253	5882	2838	3076	1726	3573
g260	248	25	78	60	52	25	99	60	140	176	70	232	616	452	482	483	448	546
g261	63	41	31	45	32	22	25	15	59	39	44	95	56	53	37	53	38	65
g262	2017	2601	1144	1553	1930	3370	2951	1794	1691	5311	6239	27440	24980	10552	14544	23932	32662	14199
g263	2	1	3	0	2	8	0	0	1	1	5	0	8	7	1	6	9	2
g264	3416	2057	3011	2603	4039	3272	2800	1718	2904	3959	4440	7072	7766	3504	8251	5197	3088	6250
g265	18	13	58	216	57	148	141	78	20	139	54	126	531	676	23	168	5	74
g266	314	98	194	170	152	134	150	171	223	188	425	283	396	604	281	407	159	518
g267	29	15	18	29	35	25	28	16	22	19	33	25	52	36	39	57	81	31
g268	328	120	206	285	273	136	126	65	236	190	272	252	395	317	199	407	383	436
g269	371	212	493	304	455	134	183	302	147	455	385	328	756	601	656	618	330	661
g270	62	83	121	165	207	53	145	65	78	111	280	154	335	164	141	147	130	184
g271	1730	591	851	279	447	257	954	362	354	551	320	1054	1132	881	901	145	1522	420
g272	10	1	2	5	8	9	6	7	3	16	35	7	40	4	12	26	12	14
g273	562	558	263	1330	1146	944	418	425	509	197	926	811	1243	1550	633	305	1267	1656
g274	2984	718	1649	683	1583	1077	1238	819	1607	638	1570	718	1124	913	867	2167	1984	1346
g275	0	12	0	6	4	2	0	3	32	101	88	26	5	35	56	125	19	2
g276	6	2	18	4	18	23	15	18	11	17	18	41	39	59	4	36	7	17
g277	328	194	112	179	245	444	672	147	171	2261	3429	2661	940	1317	2002	4676	2382	3915
g278	169	91	96	143	203	134	144	119	181	148	297	223	326	393	270	318	313	489
g279	1086	640	665	661	1566	1538	1294	370	549	1208	1955	2289	4751	1442	1978	2591	3150	3565
g280	15	8	2	41	0	0	8	13	0	111	51	101	303	289	22	6	11	13
g281	138	77	75	91	106	106	87	49	74	67	130	112	156	114	87	173	157	136
g282	50	199	111	144	231	165	14	60	146	300	779	657	645	461	609	626	625	753
g283	229	238	254	164	300	158	298	299	212	227	520	593	530	555	281	331	431	376
g284	15431	11836	9782	10708	12493	13043	9626	8065	10793	10731	13164	18666	22076	16095	13111	19213	13292	24928
g285	192	4	91	199	207	9	26	49	73	112	184	13	730	7	7	79	248	58
g286	5	8	23	9	1	21	31	18	4	12	35	15	25	20	40	18	13	2
g287	164	35	517	1057	262	21	492	133	52	545	54	218	660	254	3	294	22	88
g288	318	65	206	224	41	95	167	354	160	247	398	265	514	286	6	307	7	313
g289	27	29	70	89	66	16	57	68	55	79	70	99	173	91	108	71	61	55
g290	2986	1224	1108	1442	3090	690	1123	1005	1282	1061	2295	3541	2419	2068	1399	3232	4583	2657
g291	18	2	0	1	9	1	4	4	1	1	19	7	35	15	12	6	2	3
g292	108	52	55	25	71	8	46	12	162	48	181	11	35	5	84	210	23	296
g293	13	7	7	19	17	15	10	9	5	39	31	21	21	65	17	37	5	16
g294	1201	846	838	776	1262	732	1289	799	754	1104	1420	1320	2370	1201	1045	1571	2017	1342
g295	42	13	8	242	3	194	1	6	52	85	59	192	126	221	230	458	519	118
g296	3390	1346	2575	2589	1857	3037	2206	1485	2465	3460	7294	11623	9320	9551	6170	9780	8530	6984
g297	913	410	421	641	582	625	1129	662	744	760	1155	1406	1571	1037	588	874	1449	2569
g298	60	27	23	14	29	57	20	12	31	39	45	54	127	69	34	143	128	43
g299	2167	1080	2082	1887	3091	1967	2214	1049	1507	1628	3766	3084	5437	3132	2960	4718	4391	4299
g300	1934	827	1364	1844	1361	1318	1315	882	1571	1651	2408	3045	2669	1772	1916	2592	3585	3124
g301	2636	1074	2018	2256	2410	1163	1703	942	1561	1985	3153	5075	5197	4557	3041	6223	4168	3451
g302	15	13	0	72	77	8	8	16	27	106	75	16	99	44	148	54	42	40
g303	1004	596	982	994	849	991	884	591	898	1040	1207	1108	1781	1768	946	1448	1335	1791
g304	15	42	34	36	56	79	43	0	25	19	71	7	208	100	21	22	5	131
g305	1947	1361	3017	1314	1873	1777	1526	1015	1921	2814	3171	2500	4039	5609	1388	3063	3195	4681
g306	20	17	49	17	79	29	20	24	50	123	191	117	81	70	63	78	96	116
g307	177	115	243	169	177	138	209	116	191	152	210	236	390	238	181	296	306	336
g308	544	308	256	411	521	109	163	300	323	282	344	3235	923	256	849	1188	1844	1188
g309	780	382	348	547	598	489	440	256	214	640	1025	1290	803	810	533	653	602	385
g310	1374	336	595	601	810	587	615	418	833	1022	1363	930	1585	1545	882	1359	1288	1687
g311	686	98	201	441	179	575	237	249	353	375	421	408	1518	457	573	788	313	459
g312	80	27	41	31	86	69	75	25	30	145	169	132	302	247	107	211	113	329
g313	11	8	6	11	14	6	7	1	1	10	14	13	21	24	9	14	23	16
g314	3902	1394	2983	2043	3457	2126	2028	2001	2622	6320	10054	4750	8179	7383	4495	8715	8193	7211
g315	1	0	12	2	2	16	1	0	0	6	8	2	5	48	25	1	3	6
g316	3	0	4	6	0	15	0	9	16	11	1	14	45	2	1	16	3	12
