	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
g159	5210	7892	5796	6551	6314	3976	7063	8515	5602	11327	10689	15378	15131	14615	11861	37452	25595	9270
g160	1882	1680	525	885	1347	1091	1938	1089	703	1711	2165	1265	1596	1606	1241	1883	4041	1599
g161	7	1	2	18	2	2	6	4	5	14	1	11	22	12	3	10	17	18
g162	873	1244	616	665	862	468	1137	832	645	1592	987	2004	1351	2185	1921	3137	1850	1588
g163	440	407	403	894	284	117	709	377	571	651	576	1262	675	467	1012	2050	2047	1110
g164	888	1456	924	720	1197	401	1350	891	528	1567	821	1905	625	1467	1053	1114	910	599
g165	8	13	7	30	16	20	10	32	7	15	35	17	44	29	30	26	22	20
g166	3	0	1	14	3	6	0	1	0	20	4	12	16	4	1	5	8	2
g167	22	50	46	91	12	11	133	28	22	112	140	74	101	146	149	395	329	130
g168	3	3	11	1	4	5	15	3	5	41	7	33	42	3	7	14	62	1
g169	645	737	443	718	631	352	949	726	825	1044	945	936	1244	1360	1296	2087	2173	1672
g170	2749	3731	2225	6284	4674	4862	4445	2699	5202	4912	6773	4878	13506	6074	6272	13319	9366	6034
g171	1371	2380	2036	3151	3332	1154	2545	2812	2245	2503	2149	2787	2557	4010	2827	5541	4354	2354
g172	640	222	326	985	397	1042	924	384	664	961	1112	1411	1060	806	126	808	2462	500
g173	6	10	13	19	9	8	12	11	6	16	14	11	6	11	13	15	15	8
g174	43	110	30	94	218	46	137	198	123	553	200	196	222	110	127	681	498	219
g175	100	94	70	77	49	55	108	117	45	226	200	181	207	211	120	164	248	182
g176	22	5	9	15	9	10	16	21	5	7	39	70	30	3	27	29	11	8
g177	76	375	93	197	260	65	311	152	77	145	326	236	680	102	310	522	248	218
g178	2	52	46	305	169	85	8	216	63	715	208	348	15	206	84	573	43	2
g179	455	343	266	198	466	216	294	256	164	1146	451	403	275	542	280	629	784	62
g180	263	21	0	12	4	11	416	3	0	22	38	12	36	151	506	21	683	13
g181	2111	4275	1491	5414	2933	1701	4668	3265	2380	2953	4296	3117	9273	5308	3959	7244	12773	5385
g182	5	4	7	5	2	4	13	14	5	11	7	14	17	12	12	31	9	8
g183	361	202	675	433	329	441	824	377	526	1268	880	886	1268	1401	298	951	1797	461
g184	76	39	47	85	28	15	16	105	6	42	33	58	88	78	43	55	87	48
g185	11	7	12	54	25	22	10	6	22	80	41	84	9	36	29	22	285	17
g186	519	941	595	1473	804	407	1181	1933	695	3624	2178	2472	4197	3449	1938	3629	3498	2336
g187	53	179	42	40	179	43	49	106	69	95	181	110	137	120	239	311	495	154
g188	25	53	40	53	52	46	60	50	57	358	211	293	414	256	235	369	256	205
g189	7	9	2	6	4	5	3	9	3	2	7	11	3	10	6	13	8	5
g190	2	13	12	4	12	5	6	30	3	21	15	8	19	67	45	21	122	80
g191	112	295	920	2271	281	306	83	991	303	3882	906	1931	436	1230	1498	6621	218	198
g192	563	901	414	1221	2962	454	1317	99	635	623	1386	1189	1536	635	1260	3456	1057	379
g193	11264	9519	8552	19918	16794	9840	14451	21368	14968	28926	9810	27678	47722	15504	34719	39403	50062	37969
g194	0	1	0	3	8	2	1	0	0	4	0	14	12	3	1	6	1	7
g195	775	850	1200	2149	1629	431	2325	1132	1539	2904	2253	1028	1598	2234	2753	4827	5462	2104
g196	14	9	3	18	9	6	50	21	1	3	14	6	5	18	5	14	14	22
g197	4	0	1	2	2	0	0	4	2	1	2	0	0	1	0	8	5	8
g198	6	16	8	11	21	19	8	3	13	2	12	22	15	7	17	24	20	6
g199	0	0	11	2	0	0	1	15	0	0	0	0	0	0	0	5	0	0
g200	325	32	357	155	75	6	148	269	262	204	6	615	33	316	577	164	765	79
g201	926	1177	1231	1259	1760	1105	1009	1152	1304	2586	1645	1381	2739	2480	2060	5489	3003	1201
g202	19	6	5	42	72	6	4	14	8	25	12	28	32	64	59	24	19	51
g203	4430	6203	5873	7864	5206	4425	6340	7982	4153	17966	12024	15627	17126	15143	12674	27911	24518	16663
g204	354	740	923	354	541	428	1057	292	302	961	486	1735	554	1061	923	2429	1699	1195
g205	26	20	28	14	28	38	125	39	93	281	32	360	66	159	192	52	230	78
g206	382	884	164	280	201	227	884	657	292	1001	980	1215	2335	1012	580	1552	1335	705
g207	654	1072	648	1296	778	631	984	855	555	3743	2406	2314	2220	2298	1652	2726	3224	1574
g208	20	23	29	23	24	21	29	23	19	33	29	26	58	42	21	25	72	74
g209	1759	2860	1752	1837	1477	1270	2398	2308	1815	2072	2586	3433	6558	3542	2938	6375	7117	3377
g210	2190	2666	2503	1477	4417	1312	1270	1215	813	9859	4968	12720	5945	4461	1999	5457	26053	5630
g211	804	1320	866	1489	1445	605	1540	1263	1273	1864	1101	1465	1375	1718	1130	2904	1791	907
g212	626	788	628	1188	581	491	1068	636	560	1745	1153	1301	1560	923	892	1919	1843	977
g213	2	9	0	1	3	7	8	16	1	25	3	8	30	13	12	27	4	5
g214	0	0	7	3	23	8	7	2	1	0	0	0	2	18	1	0	14	1
g215	5	203	133	34	85	29	170	185	311	302	360	437	85	329	277	342	392	144
g216	119	189	119	142	172	96	129	417	125	227	187	163	228	81	194	203	367	103
g217	2962	1664	1846	2211	2604	2121	5897	2575	1594	2928	990	2505	4607	2311	1425	5055	8065	2844
g218	2	2	3	1	3	0	1	0	2	8	6	2	18	4	5	11	2	4
g219	454	527	352	488	718	767	861	2089	480	563	739	980	1607	767	861	3296	1521	1445
g220	72	153	102	216	95	141	273	152	62	342	284	373	594	324	130	485	280	223
g221	1211	706	1298	2755	704	261	874	2149	615	3337	1440	2181	847	2727	429	2285	3052	1244
g222	56	94	57	67	83	75	108	120	73	249	87	160	169	164	134	297	239	113
g223	13	13	2	31	12	9	12	9	7	35	11	9	14	13	6	47	18	12
g224	299	346	237	287	245	211	687	534	234	564	371	380	623	306	335	798	568	314
g225	4	18	66	3	2	61	92	39	2	135	79	2	0	186	63	40	117	22
g226	103	123	69	164	149	92	93	123	82	207	187	184	132	229	111	421	480	174
g227	11	13	8	11	15	9	13	16	7	27	21	8	30	23	15	35	43	16
g228	7	8	5	2	5	7	11	15	10	25	26	27	43	22	11	48	20	16
g229	93	169	59	277	182	73	168	284	114	348	275	344	263	276	207	517	662	195
g230	8	64	41	89	93	53	35	65	59	43	53	40	59	15	46	100	67	37
g231	205	333	185	513	166	155	159	344	136	619	812	546	1487	237	1273	857	1948	518
g232	56	65	50	63	34	66	43	92	67	267	150	101	166	205	144	242	135	53
g233	275	480	255	268	439	409	380	439	101	440	383	601	506	577	358	820	480	459
g234	890	764	1110	1248	687	789	1259	1807	1417	2429	1994	1818	1495	1586	1355	4388	2769	1385
g235	722	370	525	1067	1137	547	698	732	843	944	676	942	1271	825	447	2427	1476	594
g236	79	64	28	132	92	48	82	50	49	302	73	163	311	180	95	359	58	140
g237	108	335	169	163	481	184	97	175	101	235	184	731	454	271	264	1114	441	566
g238	57	284	269	1877	843	456	702	1374	277	442	1476	1383	1529	833	250	1671	4987	1225
g239	207	5	182	380	433	6	20	150	176	307	55	555	81	315	179	2609	1489	3
g240	1046	795	830	795	758	842	1104	847	961	2158	1156	1493	1504	1016	1069	2102	1363	844
g241	3630	3478	2865	4781	2979	2631	4041	2961	2757	7493	5745	6899	7746	4786	5750	7124	9380	6046
g242	3	16	38	19	20	14	41	4	4	7	14	107	13	43	7	26	79	19
g243	0	2	0	8	2	5	4	0	1	1	9	1	5	5	1	0	3	5
g244	1	0	2	22	9	20	30	26	12	15	11	86	72	30	31	2	59	1
g245	6	78	54	22	23	31	16	24	8	134	112	65	97	8	242	257	211	282
g246	215	113	213	101	349	246	222	102	337	365	315	401	705	153	194	134	104	244
g247	850	195	1392	804	517	267	2377	2431	1063	477	383	2046	1281	858	880	1636	665	592
g248	21	69	32	6	22	52	38	43	45	89	107	247	100	135	56	290	103	221
g249	8	6	17	31	31	13	16	22	11	8	18	10	11	12	2	50	22	18
g250	102	26	21	119	35	112	182	41	52	745	317	317	30	375	934	226	318	71
g251	220	166	111	580	206	181	186	236	209	119	46	185	186	488	118	428	549	269
g252	5	0	3	2	5	2	2	5	3	6	2	7	7	4	11	6	5	2
g253	2	13	1	8	10	5	3	2	1	25	19	0	4	5	10	5	12	6
g254	35	126	88	45	28	50	110	93	52	74	67	72	111	105	63	87	80	68
g255	148	561	178	234	178	211	246	335	207	383	191	239	380	184	293	494	328	217
g256	53	57	23	154	40	73	105	90	63	136	49	45	118	53	57	175	133	46
g257	28	36	7	41	34	14	31	20	28	52	43	51	20	72	61	75	44	20
g258	1817	4040	921	3033	2311	2951	3833	5842	5238	4918	2882	2451	6250	8042	2972	8899	3952	5984
g259	4	6	0	2	16	5	7	2	5	9	2	3	33	10	22	9	0	15
g260	1035	676	511	1380	1471	987	1796	672	849	3362	2672	1475	3657	983	2375	3370	3145	1797
g261	265	268	307	414	445	287	298	352	284	554	308	479	568	609	431	941	857	282
g262	1380	2731	1260	1482	2528	1576	3136	2346	1696	3024	2117	2773	3728	3009	1803	3823	5416	1961
g263	21954	7580	4444	18185	14726	5974	23283	9782	13775	63411	29213	60019	23824	37231	27993	21344	61574	20322
g264	1977	11080	19114	4929	7311	5828	7279	6556	5880	17233	8247	9410	31368	11673	10296	15857	6283	8791
g265	7	1	4	0	0	1	1	17	2	7	0	1	6	3	1	3	7	0
g266	45	47	57	35	102	42	75	82	41	42	96	104	37	48	168	101	122	27
g267	479	482	406	731	596	424	564	527	642	1444	183	727	2332	255	724	1194	1332	1025
g268	1156	1977	1662	3115	1409	1321	895	1418	2360	2634	1739	2045	5386	1210	1676	4030	3165	2848
g269	7	2	170	356	272	195	114	322	150	81	222	239	3	589	83	0	44	306
g270	572	528	405	319	571	433	868	616	558	817	540	685	753	619	549	1526	533	563
g271	6	66	8	33	5	5	37	8	10	1	95	79	32	55	13	66	31	157
g272	67	38	36	37	30	55	22	82	37	68	61	78	24	47	78	63	51	21
g273	39	14	21	72	66	14	70	45	18	43	29	47	14	13	41	18	79	26
g274	1593	3328	314	1448	1294	357	754	1218	460	701	1702	1509	1792	2465	1765	8805	913	1160
g275	3	2	0	8	0	9	7	13	0	7	10	58	1	3	15	7	10	0
g276	44	37	31	110	79	19	75	72	53	129	69	268	230	136	196	118	227	352
g277	1180	1013	462	867	594	668	1185	1340	644	1453	1025	1208	1354	1586	1351	1715	1698	1359
g278	233	363	350	356	144	100	883	568	89	120	321	435	182	425	213	190	596	189
g279	121	93	150	405	88	240	278	31	183	190	364	353	385	184	168	323	174	208
g280	131	152	82	146	45	136	50	122	150	148	127	133	124	97	77	173	344	76
g281	267	434	397	501	500	194	355	545	453	652	310	401	715	651	46	754	1730	557
g282	3	4	2	2	4	2	7	2	2	9	6	4	7	6	7	5	6	4
g283	279	190	92	378	162	157	643	300	359	474	240	308	402	233	238	536	1036	326
g284	46	7	11	11	6	9	12	7	8	43	8	53	132	2	31	189	126	17
g285	270	241	157	118	525	195	235	418	233	297	381	512	1381	1403	1045	490	915	447
g286	1310	1587	1023	2165	2054	1205	2072	2073	1017	1854	1335	1586	1825	2042	1856	2971	3287	1141
g287	858	1018	1300	1112	1214	705	909	1143	710	1870	836	1244	864	919	1337	2038	1170	1820
g288	269	290	385	182	543	334	632	683	530	855	379	720	672	593	722	1205	963	684
g289	194	368	178	155	346	96	175	334	125	520	327	553	404	532	699	882	1600	436
g290	2	9	0	5	2	6	12	13	4	12	1	20	5	8	27	15	88	11
g291	30	117	49	103	53	34	52	82	55	122	115	189	196	37	66	200	277	50
g292	109	96	68	105	146	48	164	201	61	440	134	256	500	439	228	429	321	283
g293	363	584	319	471	543	106	293	773	265	812	787	487	2221	1354	1036	971	1098	1034
g294	61	125	90	119	145	84	136	106	73	244	201	132	262	234	233	387	461	252
g295	6472	3500	3765	5419	4914	3092	2869	4863	3344	14253	9057	5883	12248	15949	7137	13140	16501	7909
g296	329	493	424	641	591	356	731	683	567	934	658	622	902	691	960	1576	1238	772
g297	4222	5265	3240	8397	5777	3614	10849	3991	6356	7617	5260	6257	8605	5161	4639	10035	7905	6139
g298	901	1447	1339	2724	1152	823	1931	1786	1056	1981	1634	1844	1640	1635	1304	3232	3301	1710
g299	1	44	2	102	16	5	51	21	9	85	36	2	73	14	112	2	60	49
g300	7	13	5	11	7	6	15	17	3	14	8	18	16	13	12	18	11	16
g301	4194	4026	3866	4835	3963	4173	4284	5792	6199	10795	15083	12970	19144	8477	18235	25605	30073	11027
g302	4	4	1	6	0	1	5	4	2	10	16	19	23	17	14	31	22	8
g303	592	1765	1067	904	640	643	1886	1067	808	3487	1955	868	2141	1668	1406	1991	1661	2834
g304	1184	1382	632	2002	852	631	2048	1824	970	1858	1564	1931	2224	1228	1785	2535	2943	1652
g305	417	240	272	347	295	251	520	252	404	442	203	375	361	391	255	694	511	193
g306	27	60	13	87	24	29	97	26	62	116	21	89	157	65	79	164	64	63
g307	17	8	13	21	12	2	16	11	8	17	32	7	18	7	21	35	22	20
g308	148	294	150	393	206	236	228	151	83	297	214	199	360	129	129	255	365	135
g309	312	366	176	624	168	208	827	578	309	375	603	568	691	531	442	1397	448	413
g310	1	1	8	2	14	0	0	4	1	2	4	8	3	2	1	34	1	42
g311	260	478	216	570	224	97	517	336	240	1201	447	298	833	482	548	1050	441	856
g312	1574	1931	1033	2064	938	1475	2238	1839	903	1717	1061	1643	2636	2221	1504	2844	3327	1413
g313	37	13	16	39	61	12	21	17	28	59	77	100	19	23	67	86	299	56
g314	673	1099	490	956	584	655	816	714	635	5443	4252	5856	4839	4419	3348	8240	6107	3816
g315	369	592	462	985	772	514	710	462	537	1417	1302	1357	1134	1301	982	2250	1855	1249
g316	5084	5455	3462	9772	6593	3081	6901	8681	3119	14497	9707	9407	11313	10548	13941	21351	15751	8895
g317	894	962	1255	1433	1304	815	1362	1082	751	2311	1499	2105	2400	2516	1407	3562	3002	1779
